 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   9. 6.    Time:  16:22:34
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001  0.00000E+00  0.00000E+00  0.94704E-04  0.00000E+00 -0.82820E-03  0.00000E+00  0.00000E+00  0.94704E-08  0.00000E+00 -0.82820E-07 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.94704E-08      1  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00  0.94704E-04  0.00000E+00 -0.49708E-03  0.00000E+00  0.00000E+00  0.21647E-07  0.00000E+00 -0.14673E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.21647E-07      2  0.00000E+00      0.000
      10.0004  0.00000E+00  0.00000E+00  0.94703E-04  0.00000E+00 -0.30396E-03  0.00000E+00  0.00000E+00  0.36258E-07  0.00000E+00 -0.19363E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.36258E-07      3  0.00000E+00      0.000
      10.0006  0.00000E+00  0.00000E+00  0.94703E-04  0.00000E+00 -0.62518E-04  0.00000E+00  0.00000E+00  0.55740E-07  0.00000E+00 -0.20649E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.55740E-07      4  0.00000E+00      0.000
      10.0010  0.00000E+00  0.00000E+00  0.94703E-04  0.00000E+00 -0.42476E-03  0.00000E+00  0.00000E+00  0.94703E-07  0.00000E+00 -0.38125E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.94703E-07      5  0.00000E+00      0.000
      10.0014  0.00000E+00  0.00000E+00  0.94701E-04  0.00000E+00 -0.54228E-03  0.00000E+00  0.00000E+00  0.12987E-06  0.00000E+00 -0.58259E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.12987E-06      6  0.00000E+00      0.000
      10.0019  0.00000E+00  0.00000E+00  0.94703E-04  0.00000E+00 -0.26453E-03  0.00000E+00  0.00000E+00  0.17558E-06  0.00000E+00 -0.71027E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.17558E-06      7  0.00000E+00      0.000
      10.0025  0.00000E+00  0.00000E+00  0.94701E-04  0.00000E+00 -0.28838E-03  0.00000E+00  0.00000E+00  0.23500E-06  0.00000E+00 -0.89123E-06 -0.10122E+05  0.00000E+00 -0.18097E+04  0.00000E+00  0.00000E+00  0.41942E+03  0.00000E+00  0.23500E-06      8  0.00000E+00      0.000
