 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   9. 6.    Time:  17:32:49
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001  0.00000E+00  0.00000E+00  0.35666E-03  0.00000E+00 -0.12393E-02  0.00000E+00  0.00000E+00  0.35666E-07  0.00000E+00 -0.12393E-06 -0.15674E+05  0.00000E+00 -0.24516E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.35666E-07      1  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00  0.35666E-03  0.00000E+00 -0.14051E-02  0.00000E+00  0.00000E+00  0.81522E-07  0.00000E+00 -0.30458E-06 -0.15674E+05  0.00000E+00 -0.24516E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.81522E-07      2  0.00000E+00      0.000
      10.0004  0.00000E+00  0.00000E+00  0.35666E-03  0.00000E+00 -0.63304E-03  0.00000E+00  0.00000E+00  0.13655E-06  0.00000E+00 -0.40225E-06 -0.15674E+05  0.00000E+00 -0.24516E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.13655E-06      3  0.00000E+00      0.000
      10.0006  0.00000E+00  0.00000E+00  0.35665E-03  0.00000E+00 -0.11165E-02  0.00000E+00  0.00000E+00  0.20992E-06  0.00000E+00 -0.63194E-06 -0.15674E+05  0.00000E+00 -0.24516E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.20992E-06      4  0.00000E+00      0.000
      10.0010  0.00000E+00  0.00000E+00 -0.55335E-05  0.00000E+00 -0.11182E-02  0.00000E+00  0.00000E+00  0.20764E-06  0.00000E+00 -0.10920E-05 -0.15674E+05  0.00000E+00 -0.24516E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.20992E-06      5  0.00000E+00      0.000
      10.0014  0.00000E+00  0.00000E+00 -0.44687E-04  0.00000E+00 -0.11878E-02  0.00000E+00  0.00000E+00  0.19105E-06  0.00000E+00 -0.15330E-05 -0.15674E+05  0.00000E+00 -0.24517E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.20992E-06      6  0.00000E+00      0.000
      10.0019  0.00000E+00  0.00000E+00  0.47913E-04  0.00000E+00 -0.10970E-02  0.00000E+00  0.00000E+00  0.21418E-06  0.00000E+00 -0.20625E-05 -0.15674E+05  0.00000E+00 -0.24517E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.23304E-06      7  0.00000E+00      0.000
      10.0025  0.00000E+00  0.00000E+00 -0.11833E-03  0.00000E+00 -0.10517E-02  0.00000E+00  0.00000E+00  0.13993E-06  0.00000E+00 -0.27224E-05 -0.15674E+05  0.00000E+00 -0.24517E+04  0.00000E+00  0.00000E+00  0.41966E+03  0.00000E+00  0.23304E-06      8  0.00000E+00      0.000
