Time	RunOff		Time	Runoff (mm/hr)
[T]	[L/T]			
				
10.0001	0.00E+00		10.0001	0.00E+00
10.0002	0.00E+00		10.0002	0.00E+00
10.0004	0.00E+00		10.0004	0.00E+00
10.0006	0.00E+00		10.0006	0.00E+00
10.001	0.00E+00		10.001	0.00E+00
10.0014	0.00E+00		10.0014	0.00E+00
10.0019	0.00E+00		10.0019	0.00E+00
10.0025	0.00E+00		10.0025	0.00E+00
10.0033	0.00E+00		10.0033	0.00E+00
10.0044	0.00E+00		10.0044	0.00E+00
10.0057	0.00E+00		10.0057	0.00E+00
10.0075	0.00E+00		10.0075	0.00E+00
10.0099	0.00E+00		10.0099	0.00E+00
10.0129	0.00E+00		10.0129	0.00E+00
10.0168	0.00E+00		10.0168	0.00E+00
10.0219	0.00E+00		10.0219	0.00E+00
10.0286	0.00E+00		10.0286	0.00E+00
10.0372	0.00E+00		10.0372	0.00E+00
10.0485	0.00E+00		10.0485	0.00E+00
10.0631	0.00E+00		10.0631	0.00E+00
10.0821	0.00E+00		10.0821	0.00E+00
10.1068	0.00E+00		10.1068	0.00E+00
10.1389	0.00E+00		10.1389	0.00E+00
10.1807	0.00E+00		10.1807	0.00E+00
10.235	0.00E+00		10.235	0.00E+00
10.3055	0.00E+00		10.3055	0.00E+00
10.3973	0.00E+00		10.3973	0.00E+00
10.5165	0.00E+00		10.5165	0.00E+00
10.6716	0.00E+00		10.6716	0.00E+00
10.8731	0.00E+00		10.8731	0.00E+00
11.1351	0.00E+00		11.1351	0.00E+00
11.4757	0.00E+00		11.4757	0.00E+00
11.9185	0.00E+00		11.9185	0.00E+00
12.4941	0.00E+00		12.4941	0.00E+00
13.2447	0.00E+00		13.2447	0.00E+00
14.2097	0.00E+00		14.2097	0.00E+00
15.3678	0.00E+00		15.3678	0.00E+00
16.9119	0.00E+00		16.9119	0.00E+00
20	0.00E+00		20	0.00E+00
22.5	0.00E+00		22.5	0.00E+00
26.25	0.00E+00		26.25	0.00E+00
30	0.00E+00		30	0.00E+00
-30.0001	1.09E-04		30.0001	6.51E-03
-30.0002	1.07E-04		30.0002	6.41E-03
-30.0004	2.48E-04		30.0004	1.49E-02
-30.0006	1.99E-05		30.0006	1.19E-03
-30.0009	2.24E-04		30.0009	1.35E-02
-30.0013	1.02E-04		30.0013	6.12E-03
-30.0018	1.07E-04		30.0018	6.42E-03
-30.0024	7.42E-05		30.0024	4.45E-03
-30.0032	6.55E-05		30.0032	3.93E-03
-30.0043	7.37E-05		30.0043	4.42E-03
-30.0056	3.27E-05		30.0056	1.96E-03
-30.0074	0.00E+00		30.0074	0.00E+00
-30.0098	2.79E-05		30.0098	1.67E-03
-30.0128	0.00E+00		30.0128	0.00E+00
-30.0167	1.74E-05		30.0167	1.04E-03
-30.0218	1.02E-05		30.0218	6.11E-04
-30.0285	0.00E+00		30.0285	0.00E+00
-30.0372	0.00E+00		30.0372	0.00E+00
-30.0484	0.00E+00		30.0484	0.00E+00
-30.063	0.00E+00		30.063	0.00E+00
-30.082	0.00E+00		30.082	0.00E+00
-30.1067	0.00E+00		30.1067	0.00E+00
-30.1388	0.00E+00		30.1388	0.00E+00
-30.1806	0.00E+00		30.1806	0.00E+00
-30.2349	0.00E+00		30.2349	0.00E+00
-30.3054	0.00E+00		30.3054	0.00E+00
-30.3972	0.00E+00		30.3972	0.00E+00
-30.5164	0.00E+00		30.5164	0.00E+00
-30.6715	0.00E+00		30.6715	0.00E+00
-30.873	0.00E+00		30.873	0.00E+00
-31.135	0.00E+00		31.135	0.00E+00
-31.4756	0.00E+00		31.4756	0.00E+00
-31.9184	0.00E+00		31.9184	0.00E+00
-32.494	0.00E+00		32.494	0.00E+00
-33.2446	0.00E+00		33.2446	0.00E+00
-34.2096	0.00E+00		34.2096	0.00E+00
