 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   9. 6.    Time:  16:45:27
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001  0.00000E+00  0.00000E+00  0.34484E-03  0.00000E+00 -0.28480E-02  0.00000E+00  0.00000E+00  0.34484E-07  0.00000E+00 -0.28480E-06 -0.28615E+04  0.00000E+00 -0.96441E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.34484E-07      1  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00  0.34483E-03  0.00000E+00 -0.21859E-02  0.00000E+00  0.00000E+00  0.78819E-07  0.00000E+00 -0.56585E-06 -0.28615E+04  0.00000E+00 -0.96441E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.78819E-07      2  0.00000E+00      0.000
      10.0004  0.00000E+00  0.00000E+00  0.34483E-03  0.00000E+00 -0.17998E-02  0.00000E+00  0.00000E+00  0.13202E-06  0.00000E+00 -0.84354E-06 -0.28615E+04  0.00000E+00 -0.96441E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.13202E-06      3  0.00000E+00      0.000
      10.0006  0.00000E+00  0.00000E+00  0.34483E-03  0.00000E+00 -0.20415E-02  0.00000E+00  0.00000E+00  0.20296E-06  0.00000E+00 -0.12635E-05 -0.28615E+04  0.00000E+00 -0.96442E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.20296E-06      4  0.00000E+00      0.000
      10.0010  0.00000E+00  0.00000E+00 -0.17358E-04  0.00000E+00 -0.20421E-02  0.00000E+00  0.00000E+00  0.19582E-06  0.00000E+00 -0.21037E-05 -0.28615E+04  0.00000E+00 -0.96442E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.20296E-06      5  0.00000E+00      0.000
      10.0014  0.00000E+00  0.00000E+00 -0.56527E-04  0.00000E+00 -0.22774E-02  0.00000E+00  0.00000E+00  0.17483E-06  0.00000E+00 -0.29493E-05 -0.28615E+04  0.00000E+00 -0.96442E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.20296E-06      6  0.00000E+00      0.000
      10.0019  0.00000E+00  0.00000E+00  0.36058E-04  0.00000E+00 -0.23399E-02  0.00000E+00  0.00000E+00  0.19223E-06  0.00000E+00 -0.40787E-05 -0.28615E+04  0.00000E+00 -0.96442E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.22036E-06      7  0.00000E+00      0.000
      10.0025  0.00000E+00  0.00000E+00  0.10727E-03  0.00000E+00 -0.22458E-02  0.00000E+00  0.00000E+00  0.25954E-06  0.00000E+00 -0.54879E-05 -0.28615E+04  0.00000E+00 -0.96443E+03  0.00000E+00  0.00000E+00  0.43369E+03  0.00000E+00  0.28767E-06      8  0.00000E+00      0.000
