 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   9. 6.    Time:  18: 6: 5
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001  0.00000E+00  0.00000E+00  0.42292E-03  0.00000E+00 -0.11164E+01  0.00000E+00  0.00000E+00  0.42292E-07  0.00000E+00 -0.11164E-03 -0.15424E+03  0.00000E+00 -0.79246E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      1  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00 -0.23740E-03  0.00000E+00 -0.12370E+01  0.00000E+00  0.00000E+00  0.11769E-07  0.00000E+00 -0.27069E-03 -0.15425E+03  0.00000E+00 -0.15493E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      2  0.00000E+00      0.000
      10.0004  0.00000E+00  0.00000E+00 -0.22923E-03  0.00000E+00 -0.11682E+01  0.00000E+00  0.00000E+00 -0.23598E-07  0.00000E+00 -0.45093E-03 -0.15426E+03  0.00000E+00 -0.95524E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      3  0.00000E+00      0.000
      10.0006  0.00000E+00  0.00000E+00 -0.20207E-03  0.00000E+00 -0.12315E+01  0.00000E+00  0.00000E+00 -0.65168E-07  0.00000E+00 -0.70426E-03 -0.15428E+03  0.00000E+00 -0.17017E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      4  0.00000E+00      0.000
      10.0010  0.00000E+00  0.00000E+00 -0.28759E-04  0.00000E+00 -0.11207E+01  0.00000E+00  0.00000E+00 -0.77000E-07  0.00000E+00 -0.11654E-02 -0.15431E+03  0.00000E+00 -0.15266E+01  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      5  0.00000E+00      0.000
      10.0014  0.00000E+00  0.00000E+00 -0.36955E-05  0.00000E+00 -0.12124E+01  0.00000E+00  0.00000E+00 -0.78372E-07  0.00000E+00 -0.16155E-02 -0.15434E+03  0.00000E+00 -0.23605E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.42292E-07      6  0.00000E+00      0.000
      10.0019  0.00000E+00  0.00000E+00  0.27761E-04  0.00000E+00 -0.10489E+01  0.00000E+00  0.00000E+00 -0.64973E-07  0.00000E+00 -0.21218E-02 -0.15438E+03  0.00000E+00 -0.26501E+01  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.55691E-07      7  0.00000E+00      0.000
      10.0025  0.00000E+00  0.00000E+00 -0.32306E-04  0.00000E+00 -0.11521E+01  0.00000E+00  0.00000E+00 -0.85244E-07  0.00000E+00 -0.28447E-02 -0.15442E+03  0.00000E+00 -0.49151E+00  0.00000E+00  0.00000E+00  0.42072E+03  0.00000E+00  0.55691E-07      8  0.00000E+00      0.000
