"Plot Title: Arnulfo's  Camp rain gage 3"
"#","Date Time, GMT+00:00","Ext. Line Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,05/20/15 02:26:13 PM,0.00,,,,
2,05/20/15 02:26:20 PM,,Logged,,,
3,05/20/15 06:54:05 PM,1.00,,,,
4,05/20/15 07:06:35 PM,2.00,,,,
5,05/21/15 04:50:25 AM,3.00,,,,
6,05/21/15 04:52:11 PM,4.00,,,,
7,05/21/15 04:53:32 PM,5.00,,,,
8,05/21/15 04:54:31 PM,6.00,,,,
9,05/21/15 04:55:01 PM,7.00,,,,
10,05/21/15 04:55:27 PM,8.00,,,,
11,05/21/15 04:55:47 PM,9.00,,,,
12,05/21/15 04:56:12 PM,10.00,,,,
13,05/21/15 04:56:32 PM,11.00,,,,
14,05/21/15 04:57:02 PM,12.00,,,,
15,05/21/15 04:57:28 PM,13.00,,,,
16,05/21/15 04:58:07 PM,14.00,,,,
17,05/21/15 04:58:43 PM,15.00,,,,
18,05/21/15 04:59:36 PM,16.00,,,,
19,05/21/15 05:00:26 PM,17.00,,,,
20,05/21/15 05:01:31 PM,18.00,,,,
21,05/21/15 05:02:44 PM,19.00,,,,
22,05/21/15 05:05:19 PM,20.00,,,,
23,05/21/15 05:10:54 PM,21.00,,,,
24,05/21/15 07:32:05 PM,22.00,,,,
25,05/21/15 07:32:33 PM,23.00,,,,
26,05/21/15 07:32:56 PM,24.00,,,,
27,05/21/15 07:33:13 PM,25.00,,,,
28,05/21/15 07:33:31 PM,26.00,,,,
29,05/21/15 07:33:50 PM,27.00,,,,
30,05/21/15 07:34:17 PM,28.00,,,,
31,05/21/15 07:34:36 PM,29.00,,,,
32,05/21/15 07:34:58 PM,30.00,,,,
33,05/21/15 07:35:16 PM,31.00,,,,
34,05/21/15 07:35:32 PM,32.00,,,,
35,05/21/15 07:35:40 PM,33.00,,,,
36,05/21/15 07:35:49 PM,34.00,,,,
37,05/21/15 07:35:56 PM,35.00,,,,
38,05/21/15 07:36:05 PM,36.00,,,,
39,05/21/15 07:36:11 PM,37.00,,,,
40,05/21/15 07:36:19 PM,38.00,,,,
41,05/21/15 07:36:29 PM,39.00,,,,
42,05/21/15 07:36:37 PM,40.00,,,,
43,05/21/15 07:36:47 PM,41.00,,,,
44,05/21/15 07:36:58 PM,42.00,,,,
45,05/21/15 07:37:08 PM,43.00,,,,
46,05/21/15 07:37:19 PM,44.00,,,,
47,05/21/15 07:37:27 PM,45.00,,,,
48,05/21/15 07:37:37 PM,46.00,,,,
49,05/21/15 07:37:46 PM,47.00,,,,
50,05/21/15 07:37:56 PM,48.00,,,,
51,05/21/15 07:38:05 PM,49.00,,,,
52,05/21/15 07:38:14 PM,50.00,,,,
53,05/21/15 07:38:23 PM,51.00,,,,
54,05/21/15 07:38:37 PM,52.00,,,,
55,05/21/15 07:38:46 PM,53.00,,,,
56,05/21/15 07:38:59 PM,54.00,,,,
57,05/21/15 07:39:13 PM,55.00,,,,
58,05/21/15 07:39:30 PM,56.00,,,,
59,05/21/15 07:39:45 PM,57.00,,,,
60,05/21/15 07:39:59 PM,58.00,,,,
61,05/21/15 07:40:10 PM,59.00,,,,
62,05/21/15 07:40:21 PM,60.00,,,,
63,05/21/15 07:40:32 PM,61.00,,,,
64,05/21/15 07:40:45 PM,62.00,,,,
65,05/21/15 07:40:55 PM,63.00,,,,
66,05/21/15 07:41:05 PM,64.00,,,,
67,05/21/15 07:41:15 PM,65.00,,,,
68,05/21/15 07:41:28 PM,66.00,,,,
69,05/21/15 07:41:41 PM,67.00,,,,
70,05/21/15 07:41:55 PM,68.00,,,,
71,05/21/15 07:42:10 PM,69.00,,,,
72,05/21/15 07:42:27 PM,70.00,,,,
73,05/21/15 07:42:42 PM,71.00,,,,
74,05/21/15 07:42:59 PM,72.00,,,,
75,05/21/15 07:43:17 PM,73.00,,,,
76,05/21/15 07:43:36 PM,74.00,,,,
77,05/21/15 07:43:53 PM,75.00,,,,
78,05/21/15 07:44:13 PM,76.00,,,,
79,05/21/15 07:44:32 PM,77.00,,,,
80,05/21/15 07:44:55 PM,78.00,,,,
81,05/21/15 07:45:13 PM,79.00,,,,
82,05/21/15 07:45:38 PM,80.00,,,,
83,05/21/15 07:45:57 PM,81.00,,,,
84,05/21/15 07:46:21 PM,82.00,,,,
85,05/21/15 07:46:43 PM,83.00,,,,
86,05/21/15 07:47:10 PM,84.00,,,,
87,05/21/15 07:47:36 PM,85.00,,,,
88,05/21/15 07:48:07 PM,86.00,,,,
89,05/21/15 07:48:31 PM,87.00,,,,
90,05/21/15 07:48:58 PM,88.00,,,,
91,05/21/15 07:49:32 PM,89.00,,,,
92,05/21/15 07:50:12 PM,90.00,,,,
93,05/21/15 07:50:42 PM,91.00,,,,
94,05/21/15 07:51:19 PM,92.00,,,,
95,05/21/15 07:51:48 PM,93.00,,,,
96,05/21/15 07:52:28 PM,94.00,,,,
97,05/21/15 07:53:02 PM,95.00,,,,
98,05/21/15 07:53:45 PM,96.00,,,,
99,05/21/15 07:54:26 PM,97.00,,,,
100,05/21/15 07:55:18 PM,98.00,,,,
101,05/21/15 07:56:17 PM,99.00,,,,
102,05/21/15 07:57:14 PM,100.00,,,,
103,05/21/15 07:58:29 PM,101.00,,,,
104,05/21/15 07:59:38 PM,102.00,,,,
105,05/21/15 08:00:46 PM,103.00,,,,
106,05/21/15 08:01:32 PM,104.00,,,,
107,05/21/15 08:02:09 PM,105.00,,,,
108,05/21/15 08:02:38 PM,106.00,,,,
109,05/21/15 08:03:09 PM,107.00,,,,
110,05/21/15 08:04:27 PM,108.00,,,,
111,05/21/15 08:05:29 PM,109.00,,,,
112,05/21/15 08:06:17 PM,110.00,,,,
113,05/21/15 08:06:54 PM,111.00,,,,
