"Plot Title: Arnulfo's  Camp rain gage 3"
"#","Date Time, GMT+00:00","Ext. Line Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,07/30/14 04:02:16 PM,0.00,,,,
2,07/30/14 04:02:25 PM,,Logged,,,
3,07/30/14 04:02:27 PM,1.00,,,,
4,08/07/14 04:38:05 AM,2.00,,,,
5,08/07/14 04:38:28 AM,3.00,,,,
6,08/07/14 04:38:40 AM,4.00,,,,
7,08/07/14 04:38:54 AM,5.00,,,,
8,08/07/14 04:39:06 AM,6.00,,,,
9,08/07/14 04:39:18 AM,7.00,,,,
10,08/07/14 04:39:26 AM,8.00,,,,
11,08/07/14 04:39:37 AM,9.00,,,,
12,08/07/14 04:39:46 AM,10.00,,,,
13,08/07/14 04:39:58 AM,11.00,,,,
14,08/07/14 04:40:07 AM,12.00,,,,
15,08/07/14 04:40:20 AM,13.00,,,,
16,08/07/14 04:40:29 AM,14.00,,,,
17,08/07/14 04:40:39 AM,15.00,,,,
18,08/07/14 04:40:47 AM,16.00,,,,
19,08/07/14 04:41:00 AM,17.00,,,,
20,08/07/14 04:41:11 AM,18.00,,,,
21,08/07/14 04:41:26 AM,19.00,,,,
22,08/07/14 04:41:36 AM,20.00,,,,
23,08/07/14 04:41:53 AM,21.00,,,,
24,08/07/14 04:42:07 AM,22.00,,,,
25,08/07/14 04:42:27 AM,23.00,,,,
26,08/07/14 04:42:40 AM,24.00,,,,
27,08/07/14 04:42:54 AM,25.00,,,,
28,08/07/14 04:43:03 AM,26.00,,,,
29,08/07/14 04:43:20 AM,27.00,,,,
30,08/07/14 04:43:32 AM,28.00,,,,
31,08/07/14 04:43:48 AM,29.00,,,,
32,08/07/14 04:44:01 AM,30.00,,,,
33,08/07/14 04:44:18 AM,31.00,,,,
34,08/07/14 04:44:30 AM,32.00,,,,
35,08/07/14 04:44:46 AM,33.00,,,,
36,08/07/14 04:44:57 AM,34.00,,,,
37,08/07/14 04:45:09 AM,35.00,,,,
38,08/07/14 04:45:18 AM,36.00,,,,
39,08/07/14 04:45:31 AM,37.00,,,,
40,08/07/14 04:45:38 AM,38.00,,,,
41,08/07/14 04:45:50 AM,39.00,,,,
42,08/07/14 04:45:59 AM,40.00,,,,
43,08/07/14 04:46:10 AM,41.00,,,,
44,08/07/14 04:46:19 AM,42.00,,,,
45,08/07/14 04:46:32 AM,43.00,,,,
46,08/07/14 04:46:42 AM,44.00,,,,
47,08/07/14 04:46:56 AM,45.00,,,,
48,08/07/14 04:47:06 AM,46.00,,,,
49,08/07/14 04:47:20 AM,47.00,,,,
50,08/07/14 04:47:37 AM,48.00,,,,
51,08/07/14 04:47:57 AM,49.00,,,,
52,08/07/14 04:48:08 AM,50.00,,,,
53,08/07/14 04:48:21 AM,51.00,,,,
54,08/07/14 04:48:33 AM,52.00,,,,
55,08/07/14 04:48:53 AM,53.00,,,,
56,08/07/14 04:49:07 AM,54.00,,,,
57,08/07/14 04:49:26 AM,55.00,,,,
58,08/07/14 04:49:39 AM,56.00,,,,
59,08/07/14 04:50:02 AM,57.00,,,,
60,08/07/14 04:50:18 AM,58.00,,,,
61,08/07/14 04:50:51 AM,59.00,,,,
62,08/07/14 04:51:14 AM,60.00,,,,
63,08/07/14 04:51:44 AM,61.00,,,,
64,08/07/14 04:52:04 AM,62.00,,,,
65,08/07/14 04:52:34 AM,63.00,,,,
66,08/07/14 04:52:55 AM,64.00,,,,
67,08/07/14 04:53:20 AM,65.00,,,,
68,08/07/14 04:53:37 AM,66.00,,,,
69,08/07/14 04:54:02 AM,67.00,,,,
70,08/07/14 04:54:20 AM,68.00,,,,
71,08/07/14 04:54:52 AM,69.00,,,,
72,08/07/14 04:55:16 AM,70.00,,,,
73,08/07/14 04:55:53 AM,71.00,,,,
74,08/07/14 04:56:19 AM,72.00,,,,
75,08/07/14 04:57:13 AM,73.00,,,,
76,08/07/14 04:57:44 AM,74.00,,,,
77,08/07/14 04:58:07 AM,75.00,,,,
78,08/07/14 04:58:20 AM,76.00,,,,
79,08/07/14 04:58:46 AM,77.00,,,,
80,08/07/14 04:59:00 AM,78.00,,,,
81,08/07/14 04:59:31 AM,79.00,,,,
82,08/07/14 04:59:50 AM,80.00,,,,
83,08/07/14 05:00:11 AM,81.00,,,,
84,08/07/14 05:00:28 AM,82.00,,,,
85,08/07/14 05:00:46 AM,83.00,,,,
86,08/07/14 05:01:09 AM,84.00,,,,
87,08/07/14 05:02:42 AM,85.00,,,,
88,08/07/14 05:09:18 AM,86.00,,,,
89,08/07/14 10:38:51 AM,87.00,,,,
90,08/07/14 10:39:56 AM,88.00,,,,
91,08/07/14 10:47:50 AM,89.00,,,,
92,08/07/14 10:49:23 AM,90.00,,,,
93,08/07/14 03:28:41 PM,91.00,,,,
94,08/07/14 04:04:56 PM,92.00,,,,
95,08/07/14 09:29:46 PM,93.00,,,,
96,08/08/14 10:02:46 AM,94.00,,,,
97,08/10/14 12:57:13 AM,95.00,,,,
98,08/10/14 03:00:36 PM,96.00,,,,
99,08/10/14 03:04:41 PM,97.00,,,,
100,08/10/14 03:05:14 PM,98.00,,,,
101,08/10/14 03:05:56 PM,99.00,,,,
102,08/10/14 03:07:00 PM,100.00,,,,
103,08/10/14 03:08:03 PM,101.00,,,,
104,08/10/14 05:42:14 PM,102.00,,,,
105,08/10/14 05:51:28 PM,103.00,,,,
106,08/10/14 05:52:02 PM,104.00,,,,
107,08/10/14 05:52:36 PM,105.00,,,,
108,08/10/14 05:53:06 PM,106.00,,,,
109,08/10/14 05:53:40 PM,107.00,,,,
110,08/10/14 05:54:02 PM,108.00,,,,
111,08/10/14 05:54:31 PM,109.00,,,,
112,08/10/14 05:54:57 PM,110.00,,,,
113,08/10/14 05:55:25 PM,111.00,,,,
114,08/10/14 05:55:41 PM,112.00,,,,
115,08/10/14 05:55:57 PM,113.00,,,,
116,08/10/14 05:56:11 PM,114.00,,,,
117,08/10/14 05:56:29 PM,115.00,,,,
118,08/10/14 05:56:43 PM,116.00,,,,
119,08/10/14 05:56:57 PM,117.00,,,,
120,08/10/14 05:57:11 PM,118.00,,,,
121,08/10/14 05:57:28 PM,119.00,,,,
122,08/10/14 05:57:41 PM,120.00,,,,
123,08/10/14 05:57:51 PM,121.00,,,,
124,08/10/14 05:57:59 PM,122.00,,,,
125,08/10/14 05:58:12 PM,123.00,,,,
126,08/10/14 05:58:28 PM,124.00,,,,
127,08/10/14 05:58:50 PM,125.00,,,,
128,08/10/14 05:59:12 PM,126.00,,,,
129,08/10/14 05:59:40 PM,127.00,,,,
130,08/10/14 06:00:01 PM,128.00,,,,
131,08/10/14 06:00:25 PM,129.00,,,,
132,08/10/14 06:00:52 PM,130.00,,,,
133,08/10/14 06:04:42 PM,131.00,,,,
134,08/10/14 06:18:37 PM,132.00,,,,
135,08/11/14 08:45:43 PM,133.00,,,,
136,08/11/14 08:50:49 PM,134.00,,,,
137,08/11/14 08:57:44 PM,135.00,,,,
138,08/11/14 09:06:00 PM,136.00,,,,
