"Plot Title: El Guabo Rain Gage"
"#","Date Time, GMT+00:00","Ext. Line Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,03/25/13 03:46:30 PM,0.00,,,,
2,03/25/13 03:46:53 PM,,Logged,,,
3,03/28/13 12:09:03 AM,1.00,,,,
4,03/29/13 12:57:06 AM,2.00,,,,
5,03/30/13 01:31:53 AM,3.00,,,,
6,03/30/13 02:49:33 AM,4.00,,,,
7,03/30/13 04:59:20 PM,5.00,,,,
8,04/02/13 08:31:26 PM,6.00,,,,
9,04/02/13 08:32:46 PM,7.00,,,,
10,04/02/13 08:35:55 PM,8.00,,,,
11,04/02/13 08:42:20 PM,9.00,,,,
12,04/02/13 08:52:32 PM,10.00,,,,
13,04/05/13 05:40:27 PM,11.00,,,,
14,04/08/13 04:59:13 AM,12.00,,,,
15,04/08/13 06:03:02 AM,13.00,,,,
16,04/08/13 07:13:32 AM,14.00,,,,
17,04/08/13 08:44:04 AM,15.00,,,,
18,04/10/13 05:03:19 PM,16.00,,,,
19,04/10/13 05:04:10 PM,17.00,,,,
20,04/10/13 05:04:47 PM,18.00,,,,
21,04/10/13 05:05:47 PM,19.00,,,,
22,04/10/13 05:07:18 PM,20.00,,,,
23,04/10/13 05:08:18 PM,21.00,,,,
24,04/10/13 06:22:52 PM,22.00,,,,
25,04/10/13 08:07:14 PM,23.00,,,,
26,04/10/13 08:14:25 PM,24.00,,,,
27,04/14/13 03:10:04 PM,25.00,,,,
28,04/14/13 03:13:13 PM,26.00,,,,
29,04/14/13 03:30:53 PM,27.00,,,,
30,04/14/13 06:37:04 PM,28.00,,,,
31,04/14/13 08:37:26 PM,29.00,,,,
32,04/14/13 08:45:55 PM,30.00,,,,
33,04/18/13 07:42:42 PM,31.00,,,,
34,04/18/13 07:44:20 PM,32.00,,,,
35,04/18/13 07:46:51 PM,33.00,,,,
36,04/18/13 07:49:01 PM,34.00,,,,
37,04/18/13 07:51:54 PM,35.00,,,,
38,04/18/13 07:55:09 PM,36.00,,,,
39,04/18/13 08:25:41 PM,37.00,,,,
40,04/19/13 05:12:52 PM,38.00,,,,
41,04/19/13 05:14:43 PM,39.00,,,,
42,04/19/13 05:16:00 PM,40.00,,,,
43,04/19/13 05:17:15 PM,41.00,,,,
44,04/19/13 05:19:29 PM,42.00,,,,
45,04/20/13 05:54:33 AM,43.00,,,,
46,04/20/13 06:12:36 AM,44.00,,,,
47,04/20/13 07:51:49 PM,45.00,,,,
48,04/20/13 07:56:12 PM,46.00,,,,
49,04/20/13 07:58:43 PM,47.00,,,,
50,04/20/13 08:00:00 PM,48.00,,,,
51,04/20/13 08:03:02 PM,49.00,,,,
52,04/20/13 08:12:30 PM,50.00,,,,
53,04/20/13 08:21:00 PM,51.00,,,,
54,04/20/13 08:25:26 PM,52.00,,,,
55,04/21/13 03:55:38 PM,53.00,,,,
56,04/21/13 03:58:10 PM,54.00,,,,
57,04/21/13 04:00:11 PM,55.00,,,,
58,04/21/13 04:01:10 PM,56.00,,,,
59,04/21/13 04:02:06 PM,57.00,,,,
60,04/21/13 04:03:04 PM,58.00,,,,
61,04/21/13 04:06:17 PM,59.00,,,,
62,04/21/13 04:49:17 PM,60.00,,,,
63,04/21/13 04:51:33 PM,61.00,,,,
64,04/21/13 04:52:28 PM,62.00,,,,
65,04/21/13 04:53:12 PM,63.00,,,,
66,04/21/13 04:54:04 PM,64.00,,,,
67,04/21/13 04:55:05 PM,65.00,,,,
68,04/21/13 04:57:14 PM,66.00,,,,
69,04/21/13 08:54:32 PM,67.00,,,,
70,04/21/13 08:58:22 PM,68.00,,,,
71,04/21/13 09:06:09 PM,69.00,,,,
72,04/21/13 09:08:12 PM,70.00,,,,
73,04/21/13 09:09:10 PM,71.00,,,,
74,04/21/13 09:09:58 PM,72.00,,,,
75,04/21/13 09:10:43 PM,73.00,,,,
76,04/21/13 09:11:27 PM,74.00,,,,
77,04/21/13 09:12:37 PM,75.00,,,,
78,04/21/13 09:14:13 PM,76.00,,,,
79,04/21/13 10:02:13 PM,77.00,,,,
80,04/21/13 11:11:02 PM,78.00,,,,
81,04/21/13 11:21:39 PM,79.00,,,,
82,04/21/13 11:45:48 PM,80.00,,,,
83,05/04/13 12:29:51 PM,81.00,,,,
84,05/04/13 12:30:57 PM,82.00,,,,
85,05/04/13 12:34:27 PM,83.00,,,,
86,05/04/13 12:37:23 PM,84.00,,,,
87,05/04/13 12:41:38 PM,85.00,,,,
88,05/04/13 01:49:58 PM,86.00,,,,
89,05/04/13 02:24:40 PM,87.00,,,,
90,05/05/13 01:15:57 AM,88.00,,,,
91,05/05/13 03:39:21 AM,89.00,,,,
92,05/09/13 03:55:56 AM,90.00,,,,
93,05/09/13 04:05:05 AM,91.00,,,,
94,05/09/13 05:42:15 AM,92.00,,,,
95,05/09/13 05:45:01 AM,93.00,,,,
96,05/09/13 05:48:06 AM,94.00,,,,
97,05/09/13 06:47:59 AM,95.00,,,,
98,05/09/13 07:18:05 AM,96.00,,,,
99,05/09/13 07:35:01 AM,97.00,,,,
100,05/09/13 07:48:35 AM,98.00,,,,
101,05/09/13 07:52:00 AM,99.00,,,,
102,05/09/13 07:52:44 AM,100.00,,,,
103,05/09/13 07:53:41 AM,101.00,,,,
104,05/09/13 07:54:24 AM,102.00,,,,
105,05/09/13 07:55:16 AM,103.00,,,,
106,05/09/13 07:55:56 AM,104.00,,,,
107,05/09/13 07:56:45 AM,105.00,,,,
108,05/09/13 07:57:19 AM,106.00,,,,
109,05/09/13 07:58:00 AM,107.00,,,,
110,05/09/13 07:58:48 AM,108.00,,,,
111,05/09/13 07:59:46 AM,109.00,,,,
112,05/09/13 08:00:41 AM,110.00,,,,
113,05/09/13 08:01:43 AM,111.00,,,,
114,05/09/13 08:03:22 AM,112.00,,,,
115,05/09/13 08:06:20 AM,113.00,,,,
116,05/09/13 08:08:42 AM,114.00,,,,
117,05/09/13 08:10:34 AM,115.00,,,,
118,05/09/13 08:12:04 AM,116.00,,,,
119,05/09/13 08:13:33 AM,117.00,,,,
120,05/09/13 08:14:58 AM,118.00,,,,
121,05/09/13 08:16:47 AM,119.00,,,,
122,05/09/13 08:19:49 AM,120.00,,,,
123,05/09/13 08:28:41 AM,121.00,,,,
124,05/09/13 08:36:29 AM,122.00,,,,
