"Plot Title: El guabo novalinx"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","End Of File"
1,06/12/14 08:11:25 PM,0.00,,,
2,06/12/14 08:11:57 PM,,Logged,,
3,06/13/14 05:28:50 PM,1.00,,,
4,06/13/14 05:30:14 PM,2.00,,,
5,06/13/14 05:33:31 PM,3.00,,,
6,06/13/14 05:36:15 PM,4.00,,,
7,06/13/14 05:37:16 PM,5.00,,,
8,06/13/14 05:38:01 PM,6.00,,,
9,06/13/14 05:39:05 PM,7.00,,,
10,06/13/14 05:40:07 PM,8.00,,,
11,06/13/14 05:41:06 PM,9.00,,,
12,06/13/14 05:42:10 PM,10.00,,,
13,06/13/14 05:59:05 PM,11.00,,,
14,06/13/14 06:29:33 PM,12.00,,,
15,06/13/14 06:31:20 PM,13.00,,,
16,06/13/14 06:33:22 PM,14.00,,,
17,06/13/14 06:36:36 PM,15.00,,,
18,06/13/14 06:40:49 PM,16.00,,,
19,06/13/14 06:44:05 PM,17.00,,,
20,06/13/14 06:47:09 PM,18.00,,,
21,06/13/14 06:52:37 PM,19.00,,,
22,06/13/14 06:59:44 PM,20.00,,,
23,06/13/14 07:04:27 PM,21.00,,,
24,06/13/14 07:07:43 PM,22.00,,,
25,06/13/14 10:33:35 PM,23.00,,,
26,06/14/14 01:39:51 AM,24.00,,,
27,06/14/14 01:43:42 AM,25.00,,,
28,06/14/14 01:47:49 AM,26.00,,,
29,06/14/14 03:00:54 AM,27.00,,,
30,06/14/14 04:21:52 AM,28.00,,,
31,06/15/14 08:37:37 PM,29.00,,,
32,06/17/14 03:20:46 AM,30.00,,,
33,06/18/14 03:49:17 AM,31.00,,,
34,06/18/14 03:53:40 AM,32.00,,,
35,06/18/14 03:54:57 AM,33.00,,,
36,06/18/14 04:02:14 AM,34.00,,,
37,06/18/14 04:47:20 AM,35.00,,,
38,06/18/14 05:06:56 AM,36.00,,,
39,06/19/14 04:57:52 PM,36.00,,Logged,Logged
