"Plot Title: El Guabo 03-04-15"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,07/02/15 04:23:59 PM,0.00,,,,
2,07/02/15 04:24:05 PM,,Logged,,,
3,07/06/15 04:46:54 PM,1.00,,,,
4,07/06/15 09:49:45 PM,2.00,,,,
5,07/06/15 09:50:18 PM,3.00,,,,
6,07/06/15 09:51:25 PM,4.00,,,,
7,07/06/15 09:52:11 PM,5.00,,,,
8,07/06/15 09:55:43 PM,6.00,,,,
9,07/06/15 09:56:15 PM,7.00,,,,
10,07/06/15 09:58:02 PM,8.00,,,,
11,07/06/15 09:58:58 PM,9.00,,,,
12,07/06/15 09:59:56 PM,10.00,,,,
13,07/06/15 10:04:00 PM,11.00,,,,
14,07/06/15 10:11:44 PM,12.00,,,,
15,07/06/15 10:12:18 PM,13.00,,,,
16,07/06/15 10:13:03 PM,14.00,,,,
17,07/06/15 10:13:25 PM,15.00,,,,
18,07/06/15 10:14:12 PM,16.00,,,,
19,07/06/15 10:14:32 PM,17.00,,,,
20,07/06/15 10:17:07 PM,18.00,,,,
21,07/06/15 10:17:47 PM,19.00,,,,
22,07/06/15 10:18:38 PM,20.00,,,,
23,07/06/15 10:19:12 PM,21.00,,,,
24,07/06/15 10:20:03 PM,22.00,,,,
25,07/06/15 10:21:03 PM,23.00,,,,
26,07/06/15 10:25:40 PM,24.00,,,,
27,07/06/15 10:46:23 PM,25.00,,,,
28,07/06/15 11:11:35 PM,26.00,,,,
29,07/06/15 11:12:27 PM,27.00,,,,
30,07/06/15 11:16:04 PM,28.00,,,,
31,07/06/15 11:18:27 PM,29.00,,,,
32,07/06/15 11:21:54 PM,30.00,,,,
33,07/06/15 11:24:22 PM,31.00,,,,
34,07/07/15 07:49:00 AM,32.00,,,,
35,07/07/15 07:52:18 AM,33.00,,,,
36,07/07/15 07:53:21 AM,34.00,,,,
37,07/07/15 07:53:46 AM,35.00,,,,
38,07/07/15 07:54:26 AM,36.00,,,,
39,07/07/15 07:54:45 AM,37.00,,,,
40,07/07/15 07:55:26 AM,38.00,,,,
41,07/07/15 07:55:51 AM,39.00,,,,
42,07/07/15 07:57:08 AM,40.00,,,,
43,07/07/15 07:57:50 AM,41.00,,,,
44,07/07/15 07:58:48 AM,42.00,,,,
45,07/07/15 07:59:29 AM,43.00,,,,
46,07/07/15 08:01:16 AM,44.00,,,,
47,07/07/15 08:01:50 AM,45.00,,,,
48,07/07/15 08:02:52 AM,46.00,,,,
49,07/07/15 08:03:24 AM,47.00,,,,
50,07/07/15 08:04:15 AM,48.00,,,,
