"Plot Title: El Guabo Rain Gage"
"#","Date Time, GMT-05:00","Ext. Line Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,07/13/11 09:44:15 AM,0.00,,,,
2,07/13/11 09:44:18 AM,,Logged,,,
3,07/13/11 04:07:15 PM,1.00,,,,
4,07/13/11 04:09:36 PM,2.00,,,,
5,07/13/11 04:11:37 PM,3.00,,,,
6,07/13/11 04:13:13 PM,4.00,,,,
7,07/13/11 04:14:04 PM,5.00,,,,
8,07/13/11 04:14:58 PM,6.00,,,,
9,07/13/11 04:15:51 PM,7.00,,,,
10,07/13/11 04:17:10 PM,8.00,,,,
11,07/13/11 04:18:36 PM,9.00,,,,
12,07/13/11 04:19:11 PM,10.00,,,,
13,07/13/11 04:20:04 PM,11.00,,,,
14,07/13/11 04:20:41 PM,12.00,,,,
15,07/13/11 04:21:21 PM,13.00,,,,
16,07/13/11 04:21:57 PM,14.00,,,,
17,07/13/11 04:22:45 PM,15.00,,,,
18,07/13/11 04:23:26 PM,16.00,,,,
19,07/13/11 04:24:19 PM,17.00,,,,
20,07/13/11 04:25:28 PM,18.00,,,,
21,07/13/11 04:26:56 PM,19.00,,,,
22,07/13/11 04:29:21 PM,20.00,,,,
23,07/13/11 04:35:31 PM,21.00,,,,
24,07/13/11 04:42:29 PM,22.00,,,,
25,07/13/11 04:45:20 PM,23.00,,,,
26,07/13/11 04:47:29 PM,24.00,,,,
27,07/13/11 04:49:45 PM,25.00,,,,
28,07/13/11 04:52:21 PM,26.00,,,,
29,07/13/11 04:55:24 PM,27.00,,,,
30,07/13/11 04:57:23 PM,28.00,,,,
31,07/13/11 05:01:01 PM,29.00,,,,
32,07/13/11 05:04:18 PM,30.00,,,,
33,07/13/11 05:08:38 PM,31.00,,,,
34,07/13/11 05:11:17 PM,32.00,,,,
35,07/13/11 05:14:52 PM,33.00,,,,
36,07/13/11 05:18:43 PM,34.00,,,,
37,07/13/11 05:22:05 PM,35.00,,,,
38,07/13/11 05:25:33 PM,36.00,,,,
39,07/13/11 05:31:12 PM,37.00,,,,
40,07/13/11 05:37:16 PM,38.00,,,,
41,07/13/11 05:50:37 PM,39.00,,,,
42,07/13/11 06:12:30 PM,40.00,,,,
43,07/13/11 06:42:03 PM,41.00,,,,
44,07/13/11 07:35:08 PM,42.00,,,,
45,07/13/11 07:48:51 PM,43.00,,,,
46,07/13/11 07:57:27 PM,44.00,,,,
47,07/13/11 08:04:54 PM,45.00,,,,
48,07/13/11 08:13:25 PM,46.00,,,,
49,07/13/11 08:21:50 PM,47.00,,,,
50,07/13/11 08:29:17 PM,48.00,,,,
51,07/13/11 08:45:40 PM,49.00,,,,
52,07/13/11 09:06:42 PM,50.00,,,,
53,07/13/11 09:30:34 PM,51.00,,,,
54,07/14/11 02:55:09 AM,52.00,,,,
55,07/15/11 03:28:47 PM,53.00,,,,
56,07/15/11 03:48:31 PM,54.00,,,,
57,07/15/11 04:05:18 PM,55.00,,,,
58,07/15/11 04:27:19 PM,56.00,,,,
59,07/15/11 05:15:53 PM,57.00,,,,
60,07/15/11 07:52:08 PM,58.00,,,,
61,07/15/11 09:25:20 PM,59.00,,,,
62,07/15/11 10:15:10 PM,60.00,,,,
63,07/15/11 11:59:42 PM,61.00,,,,
64,07/16/11 04:58:06 AM,62.00,,,,
65,07/17/11 06:35:54 PM,63.00,,,,
66,07/17/11 06:36:54 PM,64.00,,,,
67,07/17/11 06:37:45 PM,65.00,,,,
68,07/17/11 06:39:20 PM,66.00,,,,
69,07/17/11 06:46:39 PM,67.00,,,,
70,07/17/11 06:53:14 PM,68.00,,,,
71,07/22/11 01:11:04 PM,69.00,,,,
72,07/22/11 01:19:04 PM,70.00,,,,
73,07/22/11 01:23:30 PM,71.00,,,,
74,07/22/11 01:25:39 PM,72.00,,,,
75,07/22/11 01:28:54 PM,73.00,,,,
76,07/22/11 01:30:46 PM,74.00,,,,
77,07/22/11 01:32:15 PM,75.00,,,,
78,07/22/11 01:33:18 PM,76.00,,,,
79,07/22/11 01:34:48 PM,77.00,,,,
80,07/22/11 01:37:44 PM,78.00,,,,
81,07/22/11 01:43:04 PM,79.00,,,,
82,07/22/11 01:46:40 PM,80.00,,,,
83,07/22/11 01:48:40 PM,81.00,,,,
84,07/22/11 02:06:03 PM,82.00,,,,
85,07/22/11 05:53:32 PM,83.00,,,,
86,07/23/11 12:22:38 PM,84.00,,,,
87,07/23/11 12:26:04 PM,85.00,,,,
88,07/23/11 01:52:41 PM,86.00,,,,
89,07/23/11 01:57:30 PM,87.00,,,,
90,07/23/11 02:01:20 PM,88.00,,,,
91,07/23/11 02:02:30 PM,89.00,,,,
92,07/23/11 02:04:24 PM,90.00,,,,
93,07/23/11 02:10:39 PM,91.00,,,,
94,07/23/11 02:28:23 PM,92.00,,,,
95,07/23/11 02:30:47 PM,93.00,,,,
96,07/23/11 02:32:30 PM,94.00,,,,
97,07/23/11 02:33:44 PM,95.00,,,,
98,07/23/11 02:34:24 PM,96.00,,,,
99,07/23/11 02:35:15 PM,97.00,,,,
100,07/23/11 02:35:59 PM,98.00,,,,
101,07/23/11 02:36:51 PM,99.00,,,,
102,07/23/11 02:37:47 PM,100.00,,,,
103,07/23/11 02:38:44 PM,101.00,,,,
104,07/23/11 02:39:18 PM,102.00,,,,
105,07/23/11 02:39:56 PM,103.00,,,,
106,07/23/11 02:40:29 PM,104.00,,,,
107,07/23/11 02:41:18 PM,105.00,,,,
108,07/23/11 02:41:58 PM,106.00,,,,
109,07/23/11 02:42:46 PM,107.00,,,,
110,07/23/11 02:43:37 PM,108.00,,,,
111,07/23/11 02:44:13 PM,109.00,,,,
112,07/23/11 02:44:46 PM,110.00,,,,
113,07/23/11 02:45:24 PM,111.00,,,,
114,07/23/11 02:45:55 PM,112.00,,,,
115,07/23/11 02:46:21 PM,113.00,,,,
116,07/23/11 02:46:51 PM,114.00,,,,
117,07/23/11 02:47:27 PM,115.00,,,,
118,07/23/11 02:49:18 PM,116.00,,,,
119,07/23/11 02:51:29 PM,117.00,,,,
120,07/23/11 02:54:29 PM,118.00,,,,
121,07/23/11 03:00:53 PM,119.00,,,,
122,07/23/11 04:11:48 PM,120.00,,,,
123,07/23/11 04:29:13 PM,121.00,,,,
124,07/23/11 04:35:04 PM,122.00,,,,
125,07/23/11 04:45:06 PM,123.00,,,,
126,07/23/11 04:50:33 PM,124.00,,,,
127,07/23/11 05:00:46 PM,125.00,,,,
128,07/23/11 05:07:19 PM,126.00,,,,
129,07/23/11 06:02:25 PM,127.00,,,,
130,07/23/11 07:50:38 PM,128.00,,,,
131,07/24/11 10:37:11 PM,129.00,,,,
132,07/24/11 10:37:54 PM,130.00,,,,
133,07/24/11 10:38:51 PM,131.00,,,,
134,07/24/11 10:39:37 PM,132.00,,,,
135,07/24/11 10:40:22 PM,133.00,,,,
136,07/24/11 10:41:03 PM,134.00,,,,
137,07/24/11 10:42:01 PM,135.00,,,,
138,07/24/11 10:43:40 PM,136.00,,,,
139,07/24/11 10:44:40 PM,137.00,,,,
140,07/24/11 10:45:57 PM,138.00,,,,
141,07/24/11 10:48:14 PM,139.00,,,,
142,07/24/11 10:58:55 PM,140.00,,,,
143,07/25/11 04:16:30 AM,141.00,,,,
144,07/25/11 11:43:54 AM,142.00,,,,
145,07/25/11 11:45:54 AM,143.00,,,,
146,07/25/11 11:52:30 AM,144.00,,,,
147,07/25/11 11:53:45 AM,145.00,,,,
148,07/25/11 11:54:58 AM,146.00,,,,
149,07/25/11 11:56:52 AM,147.00,,,,
150,07/25/11 12:00:49 PM,148.00,,,,
151,07/25/11 12:02:30 PM,149.00,,,,
152,07/25/11 12:04:02 PM,150.00,,,,
153,07/25/11 12:05:36 PM,151.00,,,,
154,07/25/11 12:06:45 PM,152.00,,,,
155,07/25/11 12:08:25 PM,153.00,,,,
156,07/25/11 12:09:10 PM,154.00,,,,
157,07/25/11 12:10:05 PM,155.00,,,,
158,07/25/11 12:11:00 PM,156.00,,,,
159,07/25/11 12:11:55 PM,157.00,,,,
160,07/25/11 12:12:45 PM,158.00,,,,
161,07/25/11 12:13:33 PM,159.00,,,,
162,07/25/11 12:14:18 PM,160.00,,,,
163,07/25/11 12:15:06 PM,161.00,,,,
164,07/25/11 12:15:44 PM,162.00,,,,
165,07/25/11 12:16:34 PM,163.00,,,,
166,07/25/11 12:17:33 PM,164.00,,,,
167,07/25/11 12:18:34 PM,165.00,,,,
168,07/25/11 12:19:35 PM,166.00,,,,
169,07/25/11 12:20:42 PM,167.00,,,,
170,07/25/11 12:21:50 PM,168.00,,,,
171,07/25/11 12:23:10 PM,169.00,,,,
172,07/25/11 12:24:21 PM,170.00,,,,
173,07/25/11 12:25:43 PM,171.00,,,,
174,07/25/11 12:26:35 PM,172.00,,,,
175,07/25/11 12:27:23 PM,173.00,,,,
176,07/25/11 12:28:03 PM,174.00,,,,
177,07/25/11 12:28:50 PM,175.00,,,,
178,07/25/11 12:29:36 PM,176.00,,,,
179,07/25/11 12:30:21 PM,177.00,,,,
180,07/25/11 12:31:08 PM,178.00,,,,
181,07/25/11 12:32:00 PM,179.00,,,,
182,07/25/11 12:32:58 PM,180.00,,,,
183,07/25/11 12:34:14 PM,181.00,,,,
184,07/25/11 12:35:15 PM,182.00,,,,
185,07/25/11 12:36:30 PM,183.00,,,,
186,07/25/11 12:37:30 PM,184.00,,,,
187,07/25/11 12:38:44 PM,185.00,,,,
188,07/25/11 12:39:52 PM,186.00,,,,
189,07/25/11 12:41:32 PM,187.00,,,,
190,07/25/11 12:43:16 PM,188.00,,,,
191,07/25/11 12:45:25 PM,189.00,,,,
192,07/25/11 12:48:36 PM,190.00,,,,
193,07/25/11 12:52:59 PM,191.00,,,,
194,07/25/11 12:56:30 PM,192.00,,,,
195,07/25/11 01:02:41 PM,193.00,,,,
