"Plot Title: El guabo novalinx"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,07/23/14 03:43:42 PM,0.00,,,,
2,07/23/14 03:43:46 PM,,Logged,,,
3,07/25/14 03:52:26 PM,1.00,,,,
4,07/25/14 03:53:28 PM,2.00,,,,
5,07/25/14 03:54:16 PM,3.00,,,,
6,07/25/14 03:55:27 PM,4.00,,,,
7,07/25/14 03:56:02 PM,5.00,,,,
8,07/25/14 03:56:38 PM,6.00,,,,
9,07/25/14 03:57:21 PM,7.00,,,,
10,07/25/14 04:14:06 PM,8.00,,,,
11,07/25/14 04:43:03 PM,9.00,,,,
12,07/25/14 09:15:09 PM,10.00,,,,
13,07/25/14 09:15:51 PM,11.00,,,,
14,07/25/14 09:16:30 PM,12.00,,,,
15,07/25/14 09:17:20 PM,13.00,,,,
16,07/25/14 09:18:14 PM,14.00,,,,
17,07/25/14 09:18:49 PM,15.00,,,,
18,07/25/14 09:19:55 PM,16.00,,,,
19,07/25/14 09:21:08 PM,17.00,,,,
20,07/25/14 09:22:42 PM,18.00,,,,
21,07/25/14 09:23:26 PM,19.00,,,,
22,07/25/14 09:24:16 PM,20.00,,,,
23,07/25/14 09:25:02 PM,21.00,,,,
24,07/25/14 09:29:17 PM,22.00,,,,
25,07/25/14 09:35:40 PM,23.00,,,,
26,07/26/14 04:17:24 AM,24.00,,,,
27,07/26/14 05:35:35 PM,25.00,,,,
28,07/26/14 05:36:52 PM,26.00,,,,
29,07/26/14 05:38:09 PM,27.00,,,,
30,07/26/14 05:39:31 PM,28.00,,,,
31,07/26/14 05:42:18 PM,29.00,,,,
32,07/26/14 05:53:47 PM,30.00,,,,
33,07/26/14 06:00:24 PM,31.00,,,,
34,07/26/14 06:01:30 PM,32.00,,,,
35,07/26/14 06:02:18 PM,33.00,,,,
36,07/26/14 06:02:44 PM,34.00,,,,
37,07/26/14 06:03:07 PM,35.00,,,,
38,07/26/14 06:03:33 PM,36.00,,,,
39,07/26/14 06:03:52 PM,37.00,,,,
40,07/26/14 06:04:16 PM,38.00,,,,
41,07/26/14 06:04:36 PM,39.00,,,,
42,07/26/14 06:05:00 PM,40.00,,,,
43,07/26/14 06:05:19 PM,41.00,,,,
44,07/26/14 06:05:47 PM,42.00,,,,
45,07/26/14 06:06:18 PM,43.00,,,,
46,07/26/14 06:06:49 PM,44.00,,,,
47,07/26/14 06:07:18 PM,45.00,,,,
48,07/26/14 06:07:57 PM,46.00,,,,
49,07/26/14 06:08:46 PM,47.00,,,,
50,07/26/14 06:09:44 PM,48.00,,,,
51,07/26/14 06:10:45 PM,49.00,,,,
52,07/26/14 06:11:42 PM,50.00,,,,
53,07/26/14 06:12:20 PM,51.00,,,,
54,07/26/14 06:13:05 PM,52.00,,,,
55,07/26/14 06:13:43 PM,53.00,,,,
56,07/26/14 06:14:26 PM,54.00,,,,
57,07/26/14 06:14:58 PM,55.00,,,,
58,07/26/14 06:15:44 PM,56.00,,,,
59,07/26/14 06:16:25 PM,57.00,,,,
60,07/26/14 06:17:19 PM,58.00,,,,
61,07/26/14 06:18:11 PM,59.00,,,,
62,07/26/14 07:15:10 PM,60.00,,,,
63,07/26/14 07:43:54 PM,61.00,,,,
64,07/27/14 10:42:24 AM,62.00,,,,
65,07/29/14 04:18:24 PM,63.00,,,,
66,07/29/14 08:14:26 PM,64.00,,,,
67,07/29/14 08:17:33 PM,65.00,,,,
68,07/29/14 08:20:41 PM,66.00,,,,
69,07/29/14 08:25:20 PM,67.00,,,,
70,07/29/14 08:27:03 PM,68.00,,,,
71,07/29/14 08:29:10 PM,69.00,,,,
72,07/29/14 08:32:18 PM,70.00,,,,
73,07/29/14 08:34:59 PM,71.00,,,,
74,07/29/14 08:40:35 PM,72.00,,,,
75,07/30/14 09:04:33 PM,73.00,,,,
76,08/02/14 08:09:54 AM,74.00,,,,
77,08/02/14 08:11:22 AM,75.00,,,,
78,08/02/14 08:35:00 AM,76.00,,,,
79,08/02/14 07:50:04 PM,77.00,,,,
80,08/05/14 09:44:58 AM,78.00,,,,
81,08/05/14 09:46:22 AM,79.00,,,,
82,08/07/14 02:14:42 AM,80.00,,,,
83,08/07/14 04:31:35 AM,81.00,,,,
84,08/07/14 04:33:05 AM,82.00,,,,
85,08/07/14 04:35:07 AM,83.00,,,,
86,08/07/14 04:36:09 AM,84.00,,,,
87,08/07/14 04:36:48 AM,85.00,,,,
88,08/07/14 04:37:25 AM,86.00,,,,
89,08/07/14 04:38:11 AM,87.00,,,,
90,08/07/14 04:38:57 AM,88.00,,,,
91,08/07/14 04:39:54 AM,89.00,,,,
92,08/07/14 04:40:44 AM,90.00,,,,
93,08/07/14 04:41:51 AM,91.00,,,,
94,08/07/14 04:43:00 AM,92.00,,,,
95,08/07/14 04:44:37 AM,93.00,,,,
96,08/07/14 04:46:36 AM,94.00,,,,
97,08/07/14 04:53:19 AM,95.00,,,,
98,08/07/14 05:52:33 AM,96.00,,,,
99,08/07/14 03:27:27 PM,97.00,,,,
100,08/07/14 04:00:32 PM,,,Logged,,
101,08/07/14 04:00:36 PM,97.00,,,Logged,Logged
