 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 2.    Time:   0:12:25
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05 -0.1502E-05  0.0000E+00      -1  -0.294E-05   20.00
   2   -10.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05 -0.1502E-05  0.0000E+00      -1  -0.294E-05   20.00
   3   -20.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05 -0.1502E-05  0.0000E+00      -1  -0.294E-05   20.00
   4   -30.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05 -0.1502E-05  0.0000E+00      -1  -0.294E-05   20.00
   5   -40.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05 -0.1502E-05  0.0000E+00      -1  -0.294E-05   20.00
   6   -50.0000   -8469.411 0.3966   0.1502E-05  0.7326E-05  0.6978E-02  0.0000E+00      -1   0.137E-01   20.00
   7   -60.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04  0.6943E-02  0.0000E+00      -1   0.136E-01   20.00
   8   -70.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
   9   -80.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
  10   -90.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
  11  -100.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
  12  -110.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
  13  -120.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
  14  -130.0000   -4624.440 0.3965   0.7128E-04  0.1509E-04 -0.7128E-04  0.0000E+00      -1  -0.140E-03   20.00
