 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   1: 4:18
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05 -0.1856E-05  0.0000E+00      -1  -0.309E-05   20.00
   2   -10.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05 -0.1856E-05  0.0000E+00      -1  -0.309E-05   20.00
   3   -20.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05 -0.1856E-05  0.0000E+00      -1  -0.309E-05   20.00
   4   -30.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05 -0.1856E-05  0.0000E+00      -1  -0.309E-05   20.00
   5   -40.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05 -0.1856E-05  0.0000E+00      -1  -0.309E-05   20.00
   6   -50.0000   -8277.812 0.3979   0.1856E-05  0.7513E-05  0.7253E-02  0.0000E+00      -1   0.121E-01   20.00
   7   -60.0000   -4531.617 0.3980   0.7580E-04  0.1551E-04  0.6354E-02  0.0000E+00      -1   0.106E-01   20.00
   8   -70.0000   -4779.477 0.3940   0.6374E-04  0.1440E-04 -0.1720E-02  0.0000E+00      -1  -0.287E-02   20.00
   9   -80.0000   -5043.900 0.3905   0.5584E-04  0.1353E-04 -0.1593E-02  0.0000E+00      -1  -0.265E-02   20.00
  10   -90.0000   -5326.246 0.3870   0.4984E-04  0.1277E-04 -0.1499E-02  0.0000E+00      -1  -0.250E-02   20.00
  11  -100.0000   -5628.020 0.3834   0.4342E-04  0.1195E-04 -0.1392E-02  0.0000E+00      -1  -0.232E-02   20.00
  12  -110.0000   -5950.857 0.3794   0.3656E-04  0.1107E-04 -0.1268E-02  0.0000E+00      -1  -0.211E-02   20.00
  13  -120.0000   -6296.570 0.3757   0.3114E-04  0.1031E-04 -0.1162E-02  0.0000E+00      -1  -0.194E-02   20.00
  14  -130.0000   -6667.141 0.3723   0.2772E-04  0.9703E-05 -0.1088E-02  0.0000E+00      -1  -0.181E-02   20.00
