 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   1: 4:18
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.92  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.83  0.4820 -0.787E-03
         10.0002    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.91  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.83  0.4820 -0.161E-02
         10.0004    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.91  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.83  0.4820 -0.123E-02
         10.0006    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.91  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.83  0.4820 -0.147E-02
         10.0010    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.91  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.84  0.4820 -0.111E-02
         10.0014    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.91  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.84  0.4820 -0.130E-02
         10.0019    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.90  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.84  0.4820 -0.115E-02
         10.0025    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.90  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.85  0.4820 -0.120E-02
         10.0033    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.90  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.85  0.4820 -0.113E-02
         10.0044    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.89  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.86  0.4820 -0.113E-02
         10.0057    -8277.81  0.3979 -0.186E-05      -5628.02  0.3834 -0.139E-02      -2698.89  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.87  0.4820 -0.114E-02
         10.0075    -8277.81  0.3979 -0.186E-05      -5628.01  0.3834 -0.139E-02      -2698.88  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.88  0.4820 -0.113E-02
         10.0099    -8277.81  0.3979 -0.186E-05      -5628.01  0.3834 -0.139E-02      -2698.87  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.89  0.4820 -0.116E-02
         10.0129    -8277.81  0.3979 -0.186E-05      -5628.01  0.3834 -0.139E-02      -2698.85  0.4358  0.865E-02      -1117.60  0.5064 -0.861E-02      -1496.91  0.4820 -0.118E-02
         10.0168    -8277.81  0.3979 -0.186E-05      -5628.01  0.3834 -0.139E-02      -2698.84  0.4358  0.865E-02      -1117.59  0.5064 -0.861E-02      -1496.93  0.4820 -0.116E-02
         10.0219    -8277.81  0.3979 -0.186E-05      -5628.00  0.3834 -0.139E-02      -2698.81  0.4358  0.865E-02      -1117.59  0.5064 -0.861E-02      -1496.96  0.4820 -0.118E-02
         10.0286    -8277.81  0.3979 -0.186E-05      -5627.99  0.3834 -0.139E-02      -2698.78  0.4358  0.865E-02      -1117.59  0.5064 -0.861E-02      -1497.01  0.4820 -0.118E-02
         10.0372    -8277.81  0.3979 -0.186E-05      -5627.98  0.3834 -0.139E-02      -2698.74  0.4358  0.865E-02      -1117.59  0.5064 -0.861E-02      -1497.06  0.4820 -0.117E-02
         10.0485    -8277.81  0.3979 -0.186E-05      -5627.97  0.3834 -0.139E-02      -2698.69  0.4358  0.865E-02      -1117.58  0.5064 -0.861E-02      -1497.13  0.4820 -0.117E-02
         10.0631    -8277.82  0.3979 -0.185E-05      -5627.96  0.3834 -0.139E-02      -2698.62  0.4358  0.866E-02      -1117.57  0.5064 -0.861E-02      -1497.22  0.4820 -0.117E-02
         10.0821    -8277.82  0.3979 -0.185E-05      -5627.94  0.3834 -0.139E-02      -2698.53  0.4358  0.866E-02      -1117.56  0.5064 -0.861E-02      -1497.33  0.4820 -0.117E-02
         10.1068    -8277.81  0.3979 -0.186E-05      -5627.91  0.3834 -0.139E-02      -2698.42  0.4358  0.866E-02      -1117.55  0.5064 -0.861E-02      -1497.48  0.4820 -0.117E-02
         10.1389    -8277.82  0.3979 -0.186E-05      -5627.88  0.3834 -0.139E-02      -2698.27  0.4358  0.866E-02      -1117.54  0.5064 -0.861E-02      -1497.66  0.4820 -0.117E-02
         10.1807    -8277.82  0.3979 -0.185E-05      -5627.84  0.3834 -0.139E-02      -2698.08  0.4358  0.866E-02      -1117.52  0.5064 -0.861E-02      -1497.91  0.4820 -0.117E-02
         10.2350    -8277.82  0.3979  0.890E-06      -5627.78  0.3834 -0.139E-02      -2697.83  0.4358  0.866E-02      -1117.49  0.5064 -0.861E-02      -1498.21  0.4820 -0.117E-02
         10.3055    -8277.82  0.3979  0.258E-06      -5627.71  0.3834 -0.139E-02      -2697.50  0.4358  0.867E-02      -1117.46  0.5064 -0.861E-02      -1498.60  0.4819 -0.117E-02
         10.3973    -8277.83  0.3979 -0.229E-06      -5627.62  0.3834 -0.139E-02      -2697.08  0.4358  0.867E-02      -1117.42  0.5064 -0.861E-02      -1499.09  0.4819 -0.117E-02
         10.5165    -8277.83  0.3979 -0.602E-06      -5627.50  0.3834 -0.139E-02      -2696.53  0.4359  0.867E-02      -1117.36  0.5064 -0.861E-02      -1499.70  0.4819 -0.117E-02
         10.6716    -8277.84  0.3979  0.723E-07      -5627.34  0.3834 -0.139E-02      -2695.81  0.4359  0.868E-02      -1117.29  0.5064 -0.862E-02      -1500.45  0.4818 -0.117E-02
         10.8731    -8277.85  0.3979 -0.370E-06      -5627.14  0.3834 -0.139E-02      -2694.88  0.4359  0.869E-02      -1117.19  0.5064 -0.862E-02      -1501.37  0.4818 -0.116E-02
         11.1351    -8277.87  0.3979 -0.140E-06      -5626.88  0.3834 -0.139E-02      -2693.66  0.4359  0.870E-02      -1117.07  0.5064 -0.862E-02      -1502.47  0.4817 -0.116E-02
         11.4757    -8277.88  0.3979 -0.937E-07      -5626.54  0.3834 -0.139E-02      -2692.08  0.4360  0.872E-02      -1116.91  0.5065 -0.862E-02      -1503.78  0.4816 -0.116E-02
         11.9185    -8277.91  0.3979 -0.156E-06      -5626.10  0.3834 -0.139E-02      -2690.02  0.4360  0.874E-02      -1116.71  0.5065 -0.862E-02      -1505.30  0.4815 -0.116E-02
         12.4941    -8277.93  0.3979 -0.215E-07      -5625.54  0.3834 -0.139E-02      -2687.34  0.4361  0.876E-02      -1116.44  0.5065 -0.862E-02      -1507.04  0.4814 -0.115E-02
         13.2447    -8277.97  0.3979 -0.398E-07      -5624.80  0.3834 -0.139E-02      -2683.82  0.4362  0.880E-02      -1116.10  0.5065 -0.862E-02      -1509.02  0.4813 -0.115E-02
         14.2097    -8278.02  0.3979  0.349E-07      -5623.87  0.3834 -0.139E-02      -2679.27  0.4363  0.884E-02      -1115.66  0.5066 -0.863E-02      -1511.22  0.4812 -0.115E-02
         15.3678    -8278.08  0.3979 -0.510E-08      -5622.76  0.3834 -0.139E-02      -2673.75  0.4365  0.889E-02      -1115.14  0.5066 -0.863E-02      -1513.52  0.4810 -0.114E-02
         16.9119    -8278.16  0.3979  0.412E-07      -5621.33  0.3834 -0.139E-02      -2666.30  0.4367  0.897E-02      -1114.46  0.5066 -0.863E-02      -1516.23  0.4809 -0.114E-02
         20.0000    -8278.32  0.3979  0.220E-07      -5618.75  0.3835 -0.139E-02      -2650.99  0.4371  0.911E-02      -1113.26  0.5067 -0.862E-02      -1521.08  0.4806 -0.113E-02
         22.5000    -8278.45  0.3979 -0.109E-07      -5616.87  0.3835 -0.138E-02      -2638.40  0.4375  0.924E-02      -1112.39  0.5068 -0.858E-02      -1525.00  0.4804 -0.112E-02
         26.2500    -8278.63  0.3979  0.139E-08      -5614.83  0.3835 -0.136E-02      -2619.09  0.4380  0.941E-02      -1111.49  0.5069 -0.848E-02      -1529.78  0.4802 -0.112E-02
         30.0000    -8278.81  0.3979 -0.767E-08      -5613.56  0.3835 -0.134E-02      -2599.66  0.4386  0.958E-02      -1110.98  0.5069 -0.834E-02      -1534.04  0.4800 -0.111E-02
         30.0001    -8278.71  0.3979 -0.298E-01      -5613.48  0.3835 -0.134E-02      -2599.68  0.4386  0.958E-02      -1110.94  0.5069 -0.834E-02      -1534.08  0.4800 -0.848E-03
