 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 8.    Time:  14: 3: 1
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.826E-03
         10.0002    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.165E-02
         10.0004    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.127E-02
         10.0006    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.151E-02
         10.0010    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.115E-02
         10.0014    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.74  0.4848 -0.134E-02
         10.0019    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.75  0.4848 -0.119E-02
         10.0025    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.75  0.4848 -0.124E-02
         10.0033    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.85  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.76  0.4848 -0.135E-02
         10.0044    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.84  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.76  0.4848 -0.131E-02
         10.0057    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.84  0.4613  0.948E-02      -1091.77  0.5084 -0.883E-02      -1451.77  0.4848 -0.129E-02
         10.0075    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.83  0.4613  0.948E-02      -1091.76  0.5084 -0.883E-02      -1451.78  0.4848 -0.134E-02
         10.0099    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.83  0.4613  0.948E-02      -1091.76  0.5084 -0.883E-02      -1451.80  0.4848 -0.126E-02
         10.0129    -8372.95  0.3972 -0.181E-05      -4577.75  0.3972 -0.736E-04      -1932.82  0.4613  0.948E-02      -1091.76  0.5084 -0.883E-02      -1451.82  0.4848 -0.131E-02
