 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  20. 6.    Time:  23: 4:43
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00  0.15278E-02  0.00000E+00  0.00000E+00 -0.26464E-12  0.00000E+00  0.15278E-07 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
      10.0000  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00  0.15278E-02  0.00000E+00  0.00000E+00 -0.60490E-12  0.00000E+00  0.34920E-07 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      2  0.00000E+00      0.000
      10.0000  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00  0.15277E-02  0.00000E+00  0.00000E+00 -0.10132E-11  0.00000E+00  0.58491E-07 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      3  0.00000E+00      0.000
      10.0001  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00  0.15277E-02  0.00000E+00  0.00000E+00 -0.15576E-11  0.00000E+00  0.89918E-07 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      4  0.00000E+00      0.000
      10.0001  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00 -0.20941E-02  0.00000E+00  0.00000E+00 -0.26464E-11  0.00000E+00  0.37625E-08 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      5  0.00000E+00      0.000
      10.0001  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00 -0.24856E-02  0.00000E+00  0.00000E+00 -0.36290E-11  0.00000E+00 -0.88528E-07 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      6  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00 -0.15595E-02  0.00000E+00  0.00000E+00 -0.49064E-11  0.00000E+00 -0.16380E-06 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      7  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00 -0.26464E-07  0.00000E+00 -0.84715E-03  0.00000E+00  0.00000E+00 -0.65670E-11  0.00000E+00 -0.21696E-06 -0.25394E+05  0.00000E+00 -0.17963E+04  0.00000E+00  0.00000E+00  0.40085E+03  0.00000E+00  0.00000E+00      8  0.00000E+00      0.000
