

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.140000E-03  0.000000E+00 -0.140080E-03  0.000000E+00 -0.112762E-05 -11146.230      0.000  -1478.621       1
    20.00000 -0.619952E+01  0.000000E+00 -0.619952E+01  0.000000E+00 -0.119680E-01   -298.064      0.000  -1500.345       2
    30.00000 -0.809952E+01  0.000000E+00 -0.809952E+01  0.000000E+00 -0.236118E-01   -456.531      0.000  -1509.933       3
    40.00000 -0.919952E+01  0.000000E+00 -0.919952E+01  0.000000E+00 -0.350402E-01   -543.693      0.000  -1517.517       4
    50.00000 -0.959952E+01  0.000000E+00 -0.959952E+01  0.000000E+00 -0.463133E-01   -716.035      0.000  -1525.233       5
    60.00000 -0.979953E+01  0.000000E+00 -0.979952E+01  0.000000E+00 -0.574977E-01   -853.576      0.000  -1531.865       6
    70.00000 -0.989952E+01  0.000000E+00 -0.989952E+01  0.000000E+00 -0.686069E-01   -977.400      0.000  -1537.684       7
    80.00000 -0.100995E+02  0.000000E+00 -0.100995E+02  0.000000E+00 -0.796492E-01   -986.754      0.000  -1542.956       8
    90.00000 -0.102995E+02  0.000000E+00 -0.102995E+02  0.000000E+00 -0.906241E-01  -1009.588      0.000  -1547.785       9
   100.00000 -0.103995E+02  0.000000E+00 -0.103995E+02  0.000000E+00 -0.101547E+00  -1097.335      0.000  -1552.322      10
   110.00000 -0.105995E+02  0.000000E+00 -0.105995E+02  0.000000E+00 -0.112416E+00  -1067.330      0.000  -1556.589      11
   120.00000 -0.107995E+02  0.000000E+00 -0.107995E+02  0.000000E+00 -0.123230E+00  -1067.748      0.000  -1560.607      12
   130.00000 -0.111995E+02  0.000000E+00 -0.111995E+02  0.000000E+00 -0.134000E+00   -939.228      0.000  -1564.448      13
   140.00000 -0.114995E+02  0.000000E+00 -0.114995E+02  0.000000E+00 -0.144724E+00   -950.189      0.000  -1568.113      14
   150.00000 -0.117995E+02  0.000000E+00 -0.117995E+02  0.000000E+00 -0.155401E+00   -939.974      0.000  -1571.605      15
   160.00000 -0.119995E+02  0.000000E+00 -0.119995E+02  0.000000E+00 -0.166039E+00   -989.498      0.000  -1574.967      16
   170.00000 -0.121995E+02  0.000000E+00 -0.121995E+02  0.000000E+00 -0.176634E+00  -1002.314      0.000  -1578.183      17
   180.00000 -0.122995E+02  0.000000E+00 -0.122995E+02  0.000000E+00 -0.187192E+00  -1078.639      0.000  -1581.284      18
   190.00000 -0.123995E+02  0.000000E+00 -0.123995E+02  0.000000E+00 -0.197711E+00  -1110.916      0.000  -1584.259      19
   200.00000 -0.124995E+02  0.000000E+00 -0.124995E+02  0.000000E+00 -0.208191E+00  -1134.937      0.000  -1587.111      20
   210.00000 -0.125995E+02  0.000000E+00 -0.125995E+02  0.000000E+00 -0.218636E+00  -1154.120      0.000  -1589.856      21
   220.00000 -0.126995E+02  0.000000E+00 -0.126995E+02  0.000000E+00 -0.229041E+00  -1170.179      0.000  -1592.466      22
   230.00000 -0.127995E+02  0.000000E+00 -0.127995E+02  0.000000E+00 -0.239415E+00  -1184.328      0.000  -1594.985      23
   240.00000 -0.127995E+02  0.000000E+00 -0.127995E+02  0.000000E+00 -0.249759E+00  -1290.057      0.000  -1597.405      24
   250.00000 -0.128995E+02  0.000000E+00 -0.128995E+02  0.000000E+00 -0.260086E+00  -1245.874      0.000  -1599.776      25
   260.00000 -0.128995E+02  0.000000E+00 -0.128995E+02  0.000000E+00 -0.270382E+00  -1348.542      0.000  -1602.038      26
   270.00000 -0.129995E+02  0.000000E+00 -0.129995E+02  0.000000E+00 -0.280653E+00  -1291.402      0.000  -1604.217      27
   280.00000 -0.129995E+02  0.000000E+00 -0.129995E+02  0.000000E+00 -0.290896E+00  -1389.474      0.000  -1606.298      28
end
