 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15:10:53
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05 -0.7426E-06  0.0000E+00      -1  -0.119E-05   20.00
   2   -10.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05 -0.7426E-06  0.0000E+00      -1  -0.119E-05   20.00
   3   -20.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05 -0.7426E-06  0.0000E+00      -1  -0.119E-05   20.00
   4   -30.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05 -0.7426E-06  0.0000E+00      -1  -0.119E-05   20.00
   5   -40.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05 -0.7426E-06  0.0000E+00      -1  -0.119E-05   20.00
   6   -50.0000  -11961.589 0.3760   0.7426E-06  0.4775E-05  0.4566E-02  0.0000E+00      -1   0.732E-02   20.00
   7   -60.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04  0.4551E-02  0.0000E+00      -1   0.729E-02   20.00
   8   -70.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
   9   -80.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
  10   -90.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
  11  -100.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
  12  -110.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
  13  -120.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
  14  -130.0000   -6268.747 0.3760   0.3140E-04  0.1035E-04 -0.3140E-04  0.0000E+00      -1  -0.503E-04   20.00
