 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15:10:24
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -5787.83  0.4207 -0.104E-01      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.200E-02
         10.0002    -5787.82  0.4207 -0.104E-01      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.200E-02
         10.0003    -5787.80  0.4207 -0.101E-01      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.126E-02
         10.0005    -5787.77  0.4207 -0.984E-02      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.170E-02
         10.0008    -5787.73  0.4207 -0.101E-01      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.141E-02
         10.0010    -5787.69  0.4207 -0.101E-01      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.23  0.4878 -0.141E-02
         10.0013    -5787.69  0.4207 -0.492E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.24  0.4878 -0.163E-02
         10.0017    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.24  0.4878 -0.143E-02
         10.0021    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.24  0.4878 -0.149E-02
         10.0028    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.25  0.4878 -0.140E-02
         10.0036    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.26  0.4878 -0.140E-02
         10.0046    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.26  0.4878 -0.142E-02
         10.0060    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.27  0.4878 -0.141E-02
         10.0078    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.76  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.29  0.4878 -0.144E-02
         10.0101    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.75  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.31  0.4878 -0.146E-02
         10.0132    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.75  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.33  0.4878 -0.140E-02
         10.0171    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.75  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.36  0.4878 -0.142E-02
         10.0222    -5787.69  0.4207 -0.493E-05      -3293.07  0.4208 -0.171E-03      -2306.75  0.4477  0.293E-02      -1711.49  0.4716 -0.152E-02      -1401.40  0.4878 -0.143E-02
