 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15:10:24
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001 -0.10000E-01  0.00000E+00 -0.10436E-01  0.00000E+00 -0.20014E-02 -0.10000E-05  0.00000E+00 -0.10436E-05  0.00000E+00 -0.20014E-06 -0.57878E+04  0.00000E+00 -0.14012E+04  0.43567E-03  0.43567E-07  0.45672E+03  0.10436E-05  0.00000E+00      1  0.00000E+00      0.000
      10.0002 -0.10000E-01  0.00000E+00 -0.10436E-01  0.00000E+00 -0.20015E-02 -0.20000E-05  0.00000E+00 -0.20871E-05  0.00000E+00 -0.40029E-06 -0.57878E+04  0.00000E+00 -0.14012E+04  0.43568E-03  0.87134E-07  0.45672E+03  0.20871E-05  0.00000E+00      2  0.00000E+00      0.000
      10.0003 -0.10000E-01  0.00000E+00 -0.10063E-01  0.00000E+00 -0.12567E-02 -0.33333E-05  0.00000E+00 -0.34289E-05  0.00000E+00 -0.56785E-06 -0.57878E+04  0.00000E+00 -0.14012E+04  0.63159E-04  0.95556E-07  0.45672E+03  0.34289E-05  0.00000E+00      3  0.00000E+00      0.000
      10.0005 -0.10000E-01  0.00000E+00 -0.98397E-02  0.00000E+00 -0.17039E-02 -0.50000E-05  0.00000E+00 -0.50688E-05  0.00000E+00 -0.85183E-06 -0.57878E+04  0.00000E+00 -0.14012E+04  0.16035E-03  0.12228E-06  0.45672E+03  0.50688E-05  0.00000E+00      4  0.00000E+00      0.000
      10.0008 -0.10000E-01  0.00000E+00 -0.10138E-01  0.00000E+00 -0.14062E-02 -0.75000E-05  0.00000E+00 -0.76033E-05  0.00000E+00 -0.12034E-05 -0.57877E+04  0.00000E+00 -0.14012E+04  0.13770E-03  0.15670E-06  0.45672E+03  0.76033E-05  0.00000E+00      5  0.00000E+00      0.000
      10.0010 -0.10000E-01  0.00000E+00 -0.10138E-01  0.00000E+00 -0.14064E-02 -0.10000E-04  0.00000E+00 -0.10138E-04  0.00000E+00 -0.15550E-05 -0.57877E+04  0.00000E+00 -0.14012E+04  0.13772E-03  0.19113E-06  0.45672E+03  0.10138E-04  0.00000E+00      6  0.00000E+00      0.000
      10.0013  0.00000E+00  0.00000E+00 -0.49249E-05  0.00000E+00 -0.16312E-02 -0.10000E-04  0.00000E+00 -0.10139E-04  0.00000E+00 -0.20209E-05 -0.57877E+04  0.00000E+00 -0.14012E+04  0.00000E+00  0.19113E-06  0.45672E+03  0.10138E-04  0.00000E+00      7  0.00000E+00      0.000
      10.0017  0.00000E+00  0.00000E+00 -0.49280E-05  0.00000E+00 -0.14310E-02 -0.10000E-04  0.00000E+00 -0.10141E-04  0.00000E+00 -0.25522E-05 -0.57877E+04  0.00000E+00 -0.14012E+04  0.00000E+00  0.19113E-06  0.45672E+03  0.10138E-04  0.00000E+00      8  0.00000E+00      0.000
