 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15: 9:17
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05 -0.3399E-05  0.0000E+00      -1  -0.340E-05   20.00
   2   -10.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05 -0.3399E-05  0.0000E+00      -1  -0.340E-05   20.00
   3   -20.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05 -0.3399E-05  0.0000E+00      -1  -0.340E-05   20.00
   4   -30.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05 -0.3399E-05  0.0000E+00      -1  -0.340E-05   20.00
   5   -40.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05 -0.3399E-05  0.0000E+00      -1  -0.340E-05   20.00
   6   -50.0000   -7884.665 0.4006   0.3399E-05  0.7897E-05  0.7821E-02  0.0000E+00      -1   0.782E-02   20.00
   7   -60.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04  0.7780E-02  0.0000E+00      -1   0.778E-02   20.00
   8   -70.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
   9   -80.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
  10   -90.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
  11  -100.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
  12  -110.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
  13  -120.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
  14  -130.0000   -4340.154 0.4011   0.8513E-04  0.1636E-04 -0.8513E-04  0.0000E+00      -1  -0.851E-04   20.00
