 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:48:38
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05 -0.4510E-05  0.0000E+00      -1  -0.106E-05   20.00
   2   -10.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05 -0.4510E-05  0.0000E+00      -1  -0.106E-05   20.00
   3   -20.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05 -0.4510E-05  0.0000E+00      -1  -0.106E-05   20.00
   4   -30.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05 -0.4510E-05  0.0000E+00      -1  -0.106E-05   20.00
   5   -40.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05 -0.4510E-05  0.0000E+00      -1  -0.106E-05   20.00
   6   -50.0000  -12371.462 0.3739   0.4510E-05  0.4546E-05  0.5043E-02  0.0000E+00      -1   0.118E-02   20.00
   7   -60.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04  0.5030E-02  0.0000E+00      -1   0.118E-02   20.00
   8   -70.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
   9   -80.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
  10   -90.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
  11  -100.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
  12  -110.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
  13  -120.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
  14  -130.0000   -6456.636 0.3743   0.2967E-04  0.1005E-04 -0.2967E-04  0.0000E+00      -1  -0.696E-05   20.00
