 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 8.    Time:  21:43:18
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.936E-03
         10.0002    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.936E-03
         10.0004    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.936E-03
         10.0006    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0010    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0014    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0019    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0025    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0033    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0044    -4795.64  0.3914 -0.550E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0057    -4795.64  0.3914  0.531E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0075    -4795.65  0.3914  0.282E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.937E-03
         10.0099    -4795.65  0.3914  0.900E-05      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.938E-03
         10.0129    -4795.65  0.3914 -0.574E-05      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.938E-03
         10.0168    -4795.65  0.3914  0.208E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.939E-03
         10.0219    -4795.66  0.3914  0.332E-05      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.939E-03
         10.0286    -4795.66  0.3914 -0.101E-04      -3211.70  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.940E-03
         10.0372    -4795.67  0.3914 -0.318E-05      -3211.69  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.941E-03
         10.0485    -4795.68  0.3914 -0.181E-05      -3211.69  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.929E-03
         10.0631    -4795.68  0.3914 -0.380E-05      -3211.69  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.934E-03
         10.0821    -4795.70  0.3914  0.186E-06      -3211.69  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.939E-03
         10.1068    -4795.71  0.3914 -0.331E-06      -3211.69  0.4138  0.914E-03      -1922.37  0.4543  0.118E-02      -1383.70  0.4825 -0.938E-03
         10.1389    -4795.73  0.3914  0.118E-05      -3211.69  0.4138  0.914E-03      -1922.36  0.4543  0.118E-02      -1383.70  0.4825 -0.935E-03
