 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  12. 7.    Time:   0: 6:49
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04 -0.5169E-04  0.0000E+00      -1  -0.304E-04   20.00
   2   -10.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04 -0.5169E-04  0.0000E+00      -1  -0.304E-04   20.00
   3   -20.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04 -0.5169E-04  0.0000E+00      -1  -0.304E-04   20.00
   4   -30.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04 -0.5169E-04  0.0000E+00      -1  -0.304E-04   20.00
   5   -40.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04 -0.5169E-04  0.0000E+00      -1  -0.304E-04   20.00
   6   -50.0000   -4885.007 0.3900   0.5169E-04  0.1440E-04  0.1161E-02  0.0000E+00      -1   0.683E-03   20.00
   7   -60.0000   -4406.431 0.3906   0.4967E-04  0.1654E-04  0.1383E-02  0.0000E+00      -1   0.814E-03   20.00
   8   -70.0000   -4319.545 0.3920   0.5226E-04  0.1694E-04  0.3960E-03  0.0000E+00      -1   0.233E-03   20.00
   9   -80.0000   -4234.790 0.3934   0.5480E-04  0.1734E-04  0.4041E-03  0.0000E+00      -1   0.238E-03   20.00
  10   -90.0000   -4151.982 0.3948   0.5727E-04  0.1772E-04  0.4110E-03  0.0000E+00      -1   0.242E-03   20.00
  11  -100.0000   -4071.181 0.3961   0.5969E-04  0.1810E-04  0.4169E-03  0.0000E+00      -1   0.245E-03   20.00
  12  -110.0000   -3992.219 0.3974   0.6205E-04  0.1846E-04  0.4218E-03  0.0000E+00      -1   0.248E-03   20.00
  13  -120.0000   -3915.150 0.3987   0.6435E-04  0.1882E-04  0.4267E-03  0.0000E+00      -1   0.251E-03   20.00
  14  -130.0000   -3839.816 0.4000   0.6714E-04  0.1922E-04  0.4363E-03  0.0000E+00      -1   0.257E-03   20.00
