

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.100000E-04  0.000000E+00 -0.101350E-04  0.000000E+00 -0.849981E-06 -10850.006      0.000  -1337.310       1
    20.00000 -0.349966E+01  0.000000E+00 -0.349966E+01  0.000000E+00 -0.979782E-02   -360.320      0.000  -1363.335       2
    30.00000 -0.669966E+01  0.000000E+00 -0.669966E+01  0.000000E+00 -0.193593E-01   -180.654      0.000  -1374.972       3
    40.00000 -0.959966E+01  0.000000E+00 -0.959966E+01  0.000000E+00 -0.287598E-01   -122.160      0.000  -1383.707       4
    50.00000 -0.116997E+02  0.000000E+00 -0.116997E+02  0.000000E+00 -0.380303E-01   -129.242      0.000  -1390.996       5
    60.00000 -0.128997E+02  0.000000E+00 -0.128997E+02  0.000000E+00 -0.471885E-01   -180.477      0.000  -1397.369       6
    70.00000 -0.130997E+02  0.000000E+00 -0.130997E+02  0.000000E+00 -0.562477E-01   -331.177      0.000  -1403.093       7
    80.00000 -0.130997E+02  0.000000E+00 -0.130997E+02  0.000000E+00 -0.652085E-01   -448.088      0.000  -1408.295       8
    90.00000 -0.131997E+02  0.000000E+00 -0.131997E+02  0.000000E+00 -0.740936E-01   -488.503      0.000  -1413.150       9
   100.00000 -0.131997E+02  0.000000E+00 -0.131997E+02  0.000000E+00 -0.828937E-01   -573.847      0.000  -1417.668      10
   110.00000 -0.132997E+02  0.000000E+00 -0.132997E+02  0.000000E+00 -0.916275E-01   -582.732      0.000  -1421.953      11
   120.00000 -0.132997E+02  0.000000E+00 -0.132997E+02  0.000000E+00 -0.100285E+00   -664.815      0.000  -1425.995      12
   130.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.108883E+00   -655.883      0.000  -1429.864      13
   140.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.117411E+00   -732.274      0.000  -1433.551      14
   150.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.125875E+00   -784.744      0.000  -1437.081      15
   160.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.134281E+00   -830.426      0.000  -1440.484      16
   170.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.142617E+00   -868.932      0.000  -1443.737      17
   180.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.150901E+00   -904.056      0.000  -1446.902      18
   190.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.159132E+00   -937.030      0.000  -1449.970      19
   200.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.167313E+00   -971.738      0.000  -1452.956      20
   210.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.175445E+00  -1006.569      0.000  -1455.862      21
   220.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.183529E+00  -1038.484      0.000  -1458.698      22
   230.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.191566E+00  -1068.301      0.000  -1461.467      23
   240.00000 -0.133997E+02  0.000000E+00 -0.133997E+02  0.000000E+00 -0.199558E+00  -1096.230      0.000  -1464.175      24
   250.00000 -0.134997E+02  0.000000E+00 -0.134997E+02  0.000000E+00 -0.207523E+00   -998.743      0.000  -1466.853      25
   260.00000 -0.134997E+02  0.000000E+00 -0.134997E+02  0.000000E+00 -0.215440E+00  -1084.066      0.000  -1469.465      26
end
