 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 8.    Time:  22:27:15
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    2     10.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    3     20.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    4     30.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    5     40.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    6     50.00     0.118     0.683       0.0   0.170E+01     1.000     0.000     1.000     1.000     1.000
    7     60.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
    8     70.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
    9     80.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   10     90.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   11    100.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   12    110.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   13    120.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   14    130.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   15    140.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   16    150.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   17    160.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   18    170.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   19    180.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   20    190.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   21    200.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   22    210.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   23    220.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   24    230.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   25    240.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   26    250.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   27    260.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   28    270.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   29    280.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   30    290.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   31    300.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   32    310.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   33    320.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   34    330.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   35    340.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   36    350.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   37    360.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   38    370.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   39    380.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   40    390.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   41    400.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   42    410.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   43    420.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   44    430.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   45    440.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   46    450.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   47    460.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   48    470.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   49    480.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   50    490.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   51    500.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   52    510.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   53    520.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
