 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  15: 2:22
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -4395.74  0.3981 -0.701E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.157E-02
         10.0002    -4395.67  0.3981 -0.701E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.157E-02
         10.0003    -4395.55  0.3981 -0.704E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.157E-02
         10.0005    -4395.42  0.3981 -0.698E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.681E-03
         10.0008    -4395.21  0.3981 -0.698E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.979E-03
         10.0010    -4395.00  0.3981 -0.698E-01      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.979E-03
         10.0013    -4395.02  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.105E-02
         10.0017    -4394.99  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.772E-03
         10.0021    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.39  0.4812 -0.957E-03
         10.0028    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.38  0.4812 -0.862E-03
         10.0036    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.38  0.4812 -0.844E-03
         10.0046    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.38  0.4812 -0.871E-03
         10.0060    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.38  0.4812 -0.925E-03
         10.0078    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.37  0.4812 -0.908E-03
         10.0101    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.37  0.4812 -0.933E-03
         10.0132    -4395.00  0.3981 -0.230E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.36  0.4812 -0.933E-03
         10.0171    -4395.00  0.3981  0.148E-04      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.35  0.4812 -0.890E-03
         10.0222    -4395.00  0.3981  0.609E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.34  0.4813 -0.901E-03
         10.0289    -4395.00  0.3981 -0.620E-06      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.33  0.4813 -0.898E-03
         10.0375    -4395.00  0.3981 -0.578E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.31  0.4813 -0.913E-03
         10.0488    -4395.01  0.3981  0.350E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.29  0.4813 -0.917E-03
         10.0634    -4395.01  0.3981 -0.261E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.26  0.4813 -0.911E-03
         10.0824    -4395.01  0.3981  0.534E-06      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.22  0.4813 -0.909E-03
         10.1071    -4395.02  0.3981  0.116E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.17  0.4813 -0.910E-03
         10.1392    -4395.03  0.3981  0.246E-06      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.10  0.4813 -0.909E-03
         10.1810    -4395.04  0.3981  0.206E-05      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1403.02  0.4813 -0.911E-03
         10.2353    -4395.06  0.3981 -0.932E-06      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1402.91  0.4813 -0.910E-03
         10.3058    -4395.08  0.3981  0.376E-06      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1402.77  0.4813 -0.909E-03
         10.3976    -4395.10  0.3981 -0.515E-07      -1961.05  0.4529  0.928E-03      -1503.46  0.4750  0.187E-03      -1402.60  0.4813 -0.911E-03
         10.5168    -4395.14  0.3981 -0.231E-06      -1961.05  0.4529  0.928E-03      -1503.47  0.4750  0.187E-03      -1402.38  0.4813 -0.911E-03
         10.6718    -4395.18  0.3981  0.441E-06      -1961.04  0.4529  0.928E-03      -1503.47  0.4750  0.187E-03      -1402.10  0.4813 -0.911E-03
         10.8734    -4395.23  0.3981 -0.329E-06      -1961.04  0.4529  0.928E-03      -1503.47  0.4750  0.187E-03      -1401.76  0.4813 -0.911E-03
         11.1354    -4395.30  0.3981 -0.171E-06      -1961.04  0.4529  0.928E-03      -1503.47  0.4750  0.187E-03      -1401.35  0.4814 -0.911E-03
         11.4760    -4395.39  0.3981  0.156E-06      -1961.03  0.4529  0.928E-03      -1503.47  0.4750  0.187E-03      -1400.84  0.4814 -0.912E-03
         11.9188    -4395.51  0.3981 -0.278E-07      -1961.03  0.4529  0.929E-03      -1503.47  0.4750  0.187E-03      -1400.25  0.4814 -0.913E-03
         12.4944    -4395.66  0.3981 -0.978E-07      -1961.02  0.4529  0.929E-03      -1503.48  0.4750  0.187E-03      -1399.55  0.4815 -0.913E-03
         13.2449    -4395.85  0.3981  0.621E-07      -1961.00  0.4529  0.929E-03      -1503.48  0.4750  0.187E-03      -1398.74  0.4815 -0.914E-03
         14.2099    -4396.09  0.3981  0.182E-07      -1960.99  0.4529  0.930E-03      -1503.48  0.4750  0.187E-03      -1397.84  0.4816 -0.915E-03
         15.3680    -4396.37  0.3981 -0.234E-07      -1960.96  0.4529  0.930E-03      -1503.49  0.4750  0.187E-03      -1396.88  0.4817 -0.916E-03
         16.9120    -4396.73  0.3981  0.290E-07      -1960.93  0.4529  0.931E-03      -1503.50  0.4750  0.187E-03      -1395.79  0.4817 -0.918E-03
         20.0000    -4397.40  0.3981  0.269E-07      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1394.00  0.4818 -0.921E-03
         20.0001    -4397.33  0.3981 -0.596E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.96  0.4818 -0.110E-02
         20.0002    -4397.24  0.3981 -0.596E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.97  0.4818 -0.110E-02
         20.0004    -4397.12  0.3981 -0.600E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.96  0.4818 -0.110E-02
         20.0006    -4396.96  0.3981 -0.597E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.97  0.4818 -0.110E-02
         20.0009    -4396.75  0.3981 -0.600E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.96  0.4818 -0.110E-02
         20.0013    -4396.49  0.3981 -0.598E-01      -1960.85  0.4529  0.932E-03      -1503.52  0.4750  0.187E-03      -1393.97  0.4818 -0.110E-02
