 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:21: 1
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04 -0.1446E-04  0.0000E+00      -1  -0.289E-04   20.00
   2   -10.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04 -0.1446E-04  0.0000E+00      -1  -0.289E-04   20.00
   3   -20.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04 -0.1446E-04  0.0000E+00      -1  -0.289E-04   20.00
   4   -30.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04 -0.1446E-04  0.0000E+00      -1  -0.289E-04   20.00
   5   -40.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04 -0.1446E-04  0.0000E+00      -1  -0.289E-04   20.00
   6   -50.0000   -5019.296 0.3884   0.1446E-04  0.1402E-04  0.7258E-03  0.0000E+00      -1   0.145E-02   20.00
   7   -60.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04  0.7100E-03  0.0000E+00      -1   0.142E-02   20.00
   8   -70.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
   9   -80.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
  10   -90.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
  11  -100.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
  12  -110.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
  13  -120.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
  14  -130.0000   -4525.263 0.3886   0.4611E-04  0.1598E-04 -0.4611E-04  0.0000E+00      -1  -0.922E-04   20.00
