 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:  11:23: 9
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.77  0.4848 -0.599E-03
         10.0002    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.77  0.4848 -0.930E-03
         10.0004    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.77  0.4848 -0.112E-02
         10.0006    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.77  0.4848 -0.136E-02
         10.0010    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.77  0.4848 -0.100E-02
         10.0014    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.76  0.4848 -0.885E-03
         10.0019    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.76  0.4848 -0.853E-03
         10.0025    -4165.01  0.4019 -0.821E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.76  0.4848 -0.114E-02
         10.0033    -4165.01  0.4019  0.101E-03      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.76  0.4848 -0.992E-03
         10.0044    -4165.01  0.4019  0.584E-04      -2111.07  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.75  0.4848 -0.963E-03
         10.0057    -4165.01  0.4019  0.260E-04      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.75  0.4848 -0.101E-02
         10.0075    -4165.01  0.4019  0.106E-05      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.74  0.4848 -0.101E-02
         10.0099    -4165.02  0.4019 -0.181E-04      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.73  0.4848 -0.998E-03
         10.0129    -4165.02  0.4019  0.164E-04      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.72  0.4848 -0.100E-02
         10.0168    -4165.03  0.4019 -0.631E-05      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.71  0.4848 -0.986E-03
         10.0219    -4165.03  0.4019  0.535E-05      -2111.06  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.69  0.4848 -0.100E-02
         10.0286    -4165.04  0.4019  0.766E-05      -2111.05  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.67  0.4848 -0.100E-02
         10.0372    -4165.04  0.4019  0.428E-05      -2111.05  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.64  0.4848 -0.101E-02
         10.0485    -4165.06  0.4019 -0.223E-05      -2111.04  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.60  0.4848 -0.101E-02
         10.0631    -4165.07  0.4019 -0.814E-07      -2111.03  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.55  0.4848 -0.101E-02
         10.0821    -4165.09  0.4019 -0.306E-05      -2111.02  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.49  0.4848 -0.101E-02
         10.1068    -4165.11  0.4019  0.316E-05      -2111.01  0.4472  0.349E-02      -1189.90  0.4949 -0.809E-03      -1346.41  0.4848 -0.101E-02
         10.1389    -4165.15  0.4019 -0.215E-05      -2110.99  0.4472  0.349E-02      -1189.91  0.4949 -0.809E-03      -1346.30  0.4848 -0.101E-02
         10.1807    -4165.18  0.4019  0.140E-05      -2110.97  0.4472  0.349E-02      -1189.91  0.4949 -0.809E-03      -1346.17  0.4848 -0.101E-02
         10.2350    -4165.24  0.4019 -0.641E-06      -2110.94  0.4472  0.349E-02      -1189.91  0.4949 -0.809E-03      -1345.99  0.4848 -0.101E-02
