 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:18:52
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001 -0.50000E-01  0.00000E+00 -0.50686E-01  0.00000E+00  0.24224E-04 -0.50000E-05  0.00000E+00 -0.50686E-05  0.00000E+00  0.24224E-08 -0.43653E+04  0.00000E+00 -0.14781E+04  0.68571E-03  0.68571E-07  0.42601E+03  0.50686E-05  0.00000E+00      1  0.00000E+00      0.000
      10.0002 -0.50000E-01  0.00000E+00 -0.49196E-01  0.00000E+00  0.24262E-04 -0.10000E-04  0.00000E+00 -0.99881E-05  0.00000E+00  0.48486E-08 -0.43653E+04  0.00000E+00 -0.14781E+04  0.80429E-03  0.14900E-06  0.42601E+03  0.99881E-05  0.00000E+00      2  0.00000E+00      0.000
      10.0003 -0.50000E-01  0.00000E+00 -0.50313E-01  0.00000E+00 -0.34821E-03 -0.16667E-04  0.00000E+00 -0.16697E-04  0.00000E+00 -0.41579E-07 -0.43652E+04  0.00000E+00 -0.14781E+04  0.31348E-03  0.19080E-06  0.42601E+03  0.16697E-04  0.00000E+00      3  0.00000E+00      0.000
      10.0005 -0.50000E-01  0.00000E+00 -0.50090E-01  0.00000E+00 -0.57172E-03 -0.25000E-04  0.00000E+00 -0.25045E-04  0.00000E+00 -0.13687E-06 -0.43651E+04  0.00000E+00 -0.14781E+04  0.90174E-04  0.20583E-06  0.42601E+03  0.25045E-04  0.00000E+00      4  0.00000E+00      0.000
      10.0008 -0.50000E-01  0.00000E+00 -0.50090E-01  0.00000E+00 -0.86967E-03 -0.37500E-04  0.00000E+00 -0.37568E-04  0.00000E+00 -0.35428E-06 -0.43649E+04  0.00000E+00 -0.14781E+04  0.90495E-04  0.22845E-06  0.42601E+03  0.37568E-04  0.00000E+00      5  0.00000E+00      0.000
      10.0010 -0.50000E-01  0.00000E+00 -0.50091E-01  0.00000E+00 -0.86967E-03 -0.50000E-04  0.00000E+00 -0.50090E-04  0.00000E+00 -0.57170E-06 -0.43648E+04  0.00000E+00 -0.14781E+04  0.90834E-04  0.25116E-06  0.42601E+03  0.50090E-04  0.00000E+00      6  0.00000E+00      0.000
      10.0011 -0.10000E+01  0.00000E+00 -0.99989E+00  0.00000E+00  0.24440E-04 -0.15000E-03  0.00000E+00 -0.15008E-03  0.00000E+00 -0.56926E-06 -0.43635E+04  0.00000E+00 -0.14781E+04  0.10628E-03  0.26179E-06  0.42601E+03  0.15008E-03  0.00000E+00      7  0.00000E+00      0.000
      10.0012 -0.10000E+01  0.00000E+00 -0.99955E+00  0.00000E+00 -0.31938E-03 -0.28000E-03  0.00000E+00 -0.28002E-03  0.00000E+00 -0.61077E-06 -0.43620E+04  0.00000E+00 -0.14781E+04  0.44692E-03  0.31988E-06  0.42601E+03  0.28002E-03  0.00000E+00      8  0.00000E+00      0.000
