 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:17:47
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04 -0.2502E-04  0.0000E+00      -1  -0.500E-04   20.00
   2   -10.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04 -0.2502E-04  0.0000E+00      -1  -0.500E-04   20.00
   3   -20.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04 -0.2502E-04  0.0000E+00      -1  -0.500E-04   20.00
   4   -30.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04 -0.2502E-04  0.0000E+00      -1  -0.500E-04   20.00
   5   -40.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04 -0.2502E-04  0.0000E+00      -1  -0.500E-04   20.00
   6   -50.0000   -4096.955 0.4031   0.2502E-04  0.1804E-04  0.9488E-03  0.0000E+00      -1   0.190E-02   20.00
   7   -60.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04  0.9232E-03  0.0000E+00      -1   0.185E-02   20.00
   8   -70.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
   9   -80.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
  10   -90.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
  11  -100.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
  12  -110.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
  13  -120.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
  14  -130.0000   -3707.175 0.4029   0.7623E-04  0.2023E-04 -0.7623E-04  0.0000E+00      -1  -0.152E-03   20.00
