 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  15:58: 1
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04 -0.1296E-03  0.0000E+00      -1  -0.162E-03   20.00
   2   -10.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04 -0.1296E-03  0.0000E+00      -1  -0.162E-03   20.00
   3   -20.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04 -0.1296E-03  0.0000E+00      -1  -0.162E-03   20.00
   4   -30.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04 -0.1296E-03  0.0000E+00      -1  -0.162E-03   20.00
   5   -40.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04 -0.1296E-03  0.0000E+00      -1  -0.162E-03   20.00
   6   -50.0000   -2603.206 0.4377   0.1296E-03  0.3094E-04  0.1975E-02  0.0000E+00      -1   0.247E-02   20.00
   7   -60.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04  0.1921E-02  0.0000E+00      -1   0.240E-02   20.00
   8   -70.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
   9   -80.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
  10   -90.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
  11  -100.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
  12  -110.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
  13  -120.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
  14  -130.0000   -2370.726 0.4374   0.2372E-03  0.3408E-04 -0.2372E-03  0.0000E+00      -1  -0.296E-03   20.00
