 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   0: 4:40
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -2603.21  0.4377 -0.275E-03      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.331E-03
         10.0002    -2603.21  0.4377 -0.275E-03      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.662E-03
         10.0004    -2603.21  0.4377 -0.275E-03      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.855E-03
         10.0006    -2603.21  0.4377 -0.275E-03      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.110E-02
         10.0010    -2603.21  0.4377  0.868E-04      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.734E-03
         10.0014    -2603.21  0.4377  0.126E-03      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.617E-03
         10.0019    -2603.21  0.4377  0.334E-04      -2731.25  0.4266 -0.841E-03      -2288.86  0.4405  0.147E-02      -1448.77  0.4784 -0.894E-03
         10.0025    -2603.21  0.4377 -0.378E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.77  0.4784 -0.870E-03
         10.0033    -2603.21  0.4377 -0.926E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.76  0.4784 -0.907E-03
         10.0044    -2603.21  0.4377  0.585E-05      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.76  0.4784 -0.836E-03
         10.0057    -2603.22  0.4377  0.492E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.76  0.4784 -0.847E-03
         10.0075    -2603.22  0.4377 -0.256E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.75  0.4784 -0.821E-03
         10.0099    -2603.22  0.4377 -0.191E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.74  0.4784 -0.859E-03
         10.0129    -2603.23  0.4377 -0.288E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.73  0.4784 -0.834E-03
         10.0168    -2603.24  0.4377 -0.962E-05      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.72  0.4784 -0.833E-03
         10.0219    -2603.25  0.4377 -0.123E-04      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.70  0.4784 -0.826E-03
         10.0286    -2603.26  0.4377 -0.524E-05      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.68  0.4784 -0.828E-03
         10.0372    -2603.27  0.4377  0.210E-05      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.66  0.4784 -0.830E-03
         10.0485    -2603.29  0.4377 -0.791E-05      -2731.25  0.4266 -0.841E-03      -2288.85  0.4405  0.147E-02      -1448.62  0.4784 -0.841E-03
         10.0631    -2603.32  0.4377  0.304E-05      -2731.25  0.4266 -0.841E-03      -2288.84  0.4405  0.147E-02      -1448.58  0.4784 -0.837E-03
         10.0821    -2603.36  0.4377 -0.463E-05      -2731.25  0.4266 -0.841E-03      -2288.84  0.4405  0.147E-02      -1448.52  0.4784 -0.836E-03
         10.1068    -2603.40  0.4377  0.147E-05      -2731.25  0.4266 -0.841E-03      -2288.84  0.4405  0.147E-02      -1448.44  0.4784 -0.836E-03
         10.1389    -2603.46  0.4377  0.786E-06      -2731.24  0.4266 -0.841E-03      -2288.83  0.4405  0.147E-02      -1448.35  0.4784 -0.836E-03
         10.1807    -2603.54  0.4377 -0.213E-05      -2731.24  0.4266 -0.841E-03      -2288.82  0.4405  0.147E-02      -1448.22  0.4784 -0.835E-03
         10.2350    -2603.64  0.4377 -0.731E-08      -2731.24  0.4266 -0.841E-03      -2288.81  0.4405  0.147E-02      -1448.06  0.4784 -0.837E-03
         10.3055    -2603.76  0.4377 -0.400E-06      -2731.23  0.4266 -0.841E-03      -2288.80  0.4405  0.147E-02      -1447.85  0.4785 -0.836E-03
         10.3973    -2603.93  0.4377  0.819E-06      -2731.23  0.4266 -0.841E-03      -2288.78  0.4405  0.147E-02      -1447.59  0.4785 -0.837E-03
         10.5165    -2604.13  0.4377 -0.475E-06      -2731.22  0.4266 -0.841E-03      -2288.76  0.4405  0.147E-02      -1447.26  0.4785 -0.837E-03
         10.6716    -2604.39  0.4377 -0.489E-06      -2731.21  0.4266 -0.841E-03      -2288.73  0.4405  0.147E-02      -1446.85  0.4785 -0.838E-03
         10.8731    -2604.72  0.4377 -0.249E-06      -2731.19  0.4266 -0.841E-03      -2288.69  0.4405  0.147E-02      -1446.34  0.4786 -0.838E-03
