***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
1	0	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
2	-10	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
3	-20	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
4	-30	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
5	-40	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
6	-50	-3970.229	0.4052		1.23E-05	1.86E-05	8.74E-04	0.00E+00	-1	3.80E-03	20
7	-60	-3594.399	0.4054		8.40E-05	2.11E-05	8.38E-04	0.00E+00	-1	3.64E-03	20
8	-70	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
9	-80	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
10	-90	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
11	-100	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
12	-110	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
13	-120	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
14	-130	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
15	-140	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
16	-150	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
17	-160	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
18	-170	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
19	-180	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
20	-190	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
21	-200	-3594.399	0.4054		8.40E-05	2.11E-05	1.06E-04	0.00E+00	-1	4.62E-04	20
22	-210	-3549.732	0.4064		8.70E-05	2.14E-05	2.99E-04	0.00E+00	-1	1.30E-03	20
23	-220	-3505.728	0.4074		9.00E-05	2.18E-05	3.03E-04	0.00E+00	-1	1.32E-03	20
24	-230	-3462.373	0.4083		9.30E-05	2.21E-05	3.07E-04	0.00E+00	-1	1.34E-03	20
25	-240	-3419.661	0.4092		9.60E-05	2.24E-05	3.11E-04	0.00E+00	-1	1.35E-03	20
26	-250	-3377.573	0.4102		9.88E-05	2.28E-05	3.14E-04	0.00E+00	-1	1.37E-03	20
27	-260	-3336.101	0.4111		1.02E-04	2.31E-05	3.17E-04	0.00E+00	-1	1.38E-03	20
28	-270	-3295.235	0.412		1.05E-04	2.34E-05	3.19E-04	0.00E+00	-1	1.39E-03	20
29	-280	-3254.962	0.4129		1.07E-04	2.37E-05	3.21E-04	0.00E+00	-1	1.40E-03	20
30	-290	-3215.274	0.4137		1.10E-04	2.40E-05	3.23E-04	0.00E+00	-1	1.41E-03	20
31	-300	-3176.16	0.4146		1.13E-04	2.43E-05	3.25E-04	0.00E+00	-1	1.41E-03	20
32	-310	-3137.608	0.4154		1.15E-04	2.46E-05	3.26E-04	0.00E+00	-1	1.42E-03	20
33	-320	-3099.61	0.4163		1.18E-04	2.49E-05	3.27E-04	0.00E+00	-1	1.42E-03	20
34	-330	-3062.153	0.4171		1.21E-04	2.52E-05	3.29E-04	0.00E+00	-1	1.43E-03	20
35	-340	-3025.232	0.4181		1.26E-04	2.56E-05	3.35E-04	0.00E+00	-1	1.46E-03	20
36	-350	-2988.835	0.4191		1.31E-04	2.60E-05	3.43E-04	0.00E+00	-1	1.49E-03	20
37	-360	-2952.954	0.4202		1.37E-04	2.65E-05	3.50E-04	0.00E+00	-1	1.52E-03	20
38	-370	-2917.58	0.4212		1.42E-04	2.69E-05	3.57E-04	0.00E+00	-1	1.55E-03	20
