 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   0:18:57
 Units: L = mm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0001  0.00000E+00  0.00000E+00 -0.90525E-04  0.00000E+00 -0.45512E-03  0.00000E+00  0.00000E+00 -0.90525E-08  0.00000E+00 -0.45512E-07 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
      10.0002  0.00000E+00  0.00000E+00 -0.90520E-04  0.00000E+00 -0.78620E-03  0.00000E+00  0.00000E+00 -0.20691E-07  0.00000E+00 -0.14660E-06 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      2  0.00000E+00      0.000
      10.0004  0.00000E+00  0.00000E+00 -0.90511E-04  0.00000E+00 -0.97934E-03  0.00000E+00  0.00000E+00 -0.34655E-07  0.00000E+00 -0.29769E-06 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      3  0.00000E+00      0.000
      10.0006  0.00000E+00  0.00000E+00 -0.90511E-04  0.00000E+00 -0.12207E-02  0.00000E+00  0.00000E+00 -0.53275E-07  0.00000E+00 -0.54881E-06 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      4  0.00000E+00      0.000
      10.0010  0.00000E+00  0.00000E+00 -0.90518E-04  0.00000E+00 -0.85842E-03  0.00000E+00  0.00000E+00 -0.90516E-07  0.00000E+00 -0.90199E-06 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      5  0.00000E+00      0.000
      10.0014  0.00000E+00  0.00000E+00 -0.90520E-04  0.00000E+00 -0.74085E-03  0.00000E+00  0.00000E+00 -0.12413E-06  0.00000E+00 -0.11771E-05 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      6  0.00000E+00      0.000
      10.0019  0.00000E+00  0.00000E+00 -0.90513E-04  0.00000E+00 -0.10185E-02  0.00000E+00  0.00000E+00 -0.16781E-06  0.00000E+00 -0.16687E-05 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      7  0.00000E+00      0.000
      10.0025  0.00000E+00  0.00000E+00 -0.90509E-04  0.00000E+00 -0.99464E-03  0.00000E+00  0.00000E+00 -0.22461E-06  0.00000E+00 -0.22928E-05 -0.39702E+04  0.00000E+00 -0.13837E+04  0.00000E+00  0.00000E+00  0.44806E+03  0.00000E+00  0.00000E+00      8  0.00000E+00      0.000
