 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   0:28:35
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -2220.45  0.4506 -0.417E-03      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.61  0.4850 -0.782E-03
         10.0002    -2220.44  0.4506 -0.417E-03      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.61  0.4850 -0.111E-02
         10.0004    -2220.45  0.4506 -0.417E-03      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.61  0.4850 -0.131E-02
         10.0006    -2220.45  0.4506  0.307E-03      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.60  0.4850 -0.823E-03
         10.0010    -2220.45  0.4506 -0.548E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.60  0.4850 -0.119E-02
         10.0014    -2220.45  0.4506 -0.156E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.60  0.4850 -0.107E-02
         10.0019    -2220.45  0.4506 -0.108E-03      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.60  0.4850 -0.104E-02
         10.0025    -2220.45  0.4506  0.581E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.60  0.4850 -0.108E-02
         10.0033    -2220.45  0.4506 -0.514E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.59  0.4850 -0.992E-03
         10.0044    -2220.45  0.4506  0.487E-05      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.59  0.4850 -0.101E-02
         10.0057    -2220.46  0.4506  0.158E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.58  0.4850 -0.973E-03
         10.0075    -2220.46  0.4506 -0.668E-06      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.58  0.4850 -0.102E-02
         10.0099    -2220.47  0.4506 -0.324E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.57  0.4850 -0.989E-03
         10.0129    -2220.47  0.4506 -0.223E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.56  0.4850 -0.104E-02
         10.0168    -2220.48  0.4506  0.729E-06      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.54  0.4850 -0.102E-02
         10.0219    -2220.49  0.4506 -0.753E-05      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.52  0.4850 -0.101E-02
         10.0286    -2220.51  0.4506  0.110E-04      -2858.01  0.4229 -0.151E-05      -2026.99  0.4504  0.163E-02      -1343.49  0.4850 -0.101E-02
