Fill Complete Time,Volume,,
14:50:00,0.5,,completed 6/14
14:50:30,1,,
14:51:00,1.5,,
14:51:30,2,,
14:52:00,2.5,,
14:52:30,3,,
14:53:00,3.5,,
14:53:30,4,,
14:54:00,4.5,,
14:54:30,5,,
14:55:00,5.5,,
14:55:30,6,,
14:56:00,6.5,,
14:56:30,7,,
14:57:00,7.5,,
14:57:30,8,,
14:58:00,8.5,,
14:58:30,9,,
14:59:00,9.5,,
14:59:30,10,,
15:00:00,10.5,,
15:00:30,11,,
15:01:00,11.5,,
15:01:30,12,,
15:02:00,12.5,,
15:02:30,13,,
15:03:00,13.5,,
15:03:30,14,,
15:04:00,14.5,,
15:04:30,15,,
15:05:00,15.5,,
15:05:30,16,,
15:06:00,16.5,,
15:06:30,17,,
15:07:00,17.5,,
15:07:30,18,,
15:08:00,18.5,,
15:08:30,19,,
