Site Name ,M4
Site Number ,2
Logger ,Capacitive Water Level
Logger Serial Number ,42804


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,12/06/2017 , 13:32:22,1573,1573
2,12/06/2017 , 13:32:32,1572,1572
3,12/06/2017 , 13:32:42,1572,1572
4,12/06/2017 , 13:32:52,1571,1571
5,12/06/2017 , 13:33:02,1575,1575
6,12/06/2017 , 13:33:12,1576,1576
7,12/06/2017 , 13:33:22,1576,1576
8,12/06/2017 , 13:33:32,1577,1577
9,12/06/2017 , 13:33:42,1576,1576
10,12/06/2017 , 13:33:52,1573,1573
11,12/06/2017 , 13:34:02,1573,1573
12,12/06/2017 , 13:34:12,1574,1574
13,12/06/2017 , 13:34:22,1574,1574
14,12/06/2017 , 13:34:32,1574,1574
15,12/06/2017 , 13:34:42,1575,1575
16,12/06/2017 , 13:34:52,1574,1574
17,12/06/2017 , 13:35:02,1576,1576
18,12/06/2017 , 13:35:12,1577,1577
19,12/06/2017 , 13:35:22,1578,1578
20,12/06/2017 , 13:35:32,1582,1582
21,12/06/2017 , 13:35:42,1581,1581
22,12/06/2017 , 13:35:52,1581,1581
23,12/06/2017 , 13:36:02,1583,1583
24,12/06/2017 , 13:36:12,1582,1582
25,12/06/2017 , 13:36:22,1582,1582
26,12/06/2017 , 13:36:32,1586,1586
27,12/06/2017 , 13:36:42,1585,1585
28,12/06/2017 , 13:36:52,1586,1586
29,12/06/2017 , 13:37:02,1597,1597
30,12/06/2017 , 13:37:12,1595,1595
31,12/06/2017 , 13:37:22,1596,1596
32,12/06/2017 , 13:37:32,1612,1612
33,12/06/2017 , 13:37:42,1612,1612
34,12/06/2017 , 13:37:52,1613,1613
35,12/06/2017 , 13:38:02,1627,1627
36,12/06/2017 , 13:38:12,1627,1627
37,12/06/2017 , 13:38:22,1627,1627
38,12/06/2017 , 13:38:32,1642,1642
39,12/06/2017 , 13:38:42,1642,1642
40,12/06/2017 , 13:38:52,1642,1642
41,12/06/2017 , 13:39:02,1657,1657
42,12/06/2017 , 13:39:12,1656,1656
43,12/06/2017 , 13:39:22,1657,1657
44,12/06/2017 , 13:39:32,1671,1671
45,12/06/2017 , 13:39:42,1671,1671
46,12/06/2017 , 13:39:52,1671,1671
47,12/06/2017 , 13:40:02,1686,1686
48,12/06/2017 , 13:40:12,1686,1686
49,12/06/2017 , 13:40:22,1686,1686
50,12/06/2017 , 13:40:32,1701,1701
51,12/06/2017 , 13:40:42,1700,1700
52,12/06/2017 , 13:40:52,1705,1705
53,12/06/2017 , 13:41:02,1718,1718
54,12/06/2017 , 13:41:12,1715,1715
55,12/06/2017 , 13:41:22,1717,1717
56,12/06/2017 , 13:41:32,1731,1731
57,12/06/2017 , 13:41:42,1730,1730
58,12/06/2017 , 13:41:52,1733,1733
59,12/06/2017 , 13:42:02,1745,1745
60,12/06/2017 , 13:42:12,1746,1746
61,12/06/2017 , 13:42:22,1747,1747
62,12/06/2017 , 13:42:32,1759,1759
63,12/06/2017 , 13:42:42,1759,1759
64,12/06/2017 , 13:42:52,1762,1762
65,12/06/2017 , 13:43:02,1772,1772
66,12/06/2017 , 13:43:12,1772,1772
67,12/06/2017 , 13:43:22,1774,1774
68,12/06/2017 , 13:43:32,1786,1786
69,12/06/2017 , 13:43:42,1785,1785
70,12/06/2017 , 13:43:52,1786,1786
71,12/06/2017 , 13:44:02,1800,1800
72,12/06/2017 , 13:44:12,1802,1802
73,12/06/2017 , 13:44:22,1803,1803
74,12/06/2017 , 13:44:32,1803,1803
75,12/06/2017 , 13:44:42,1816,1816
76,12/06/2017 , 13:44:52,1816,1816
77,12/06/2017 , 13:45:02,1829,1829
78,12/06/2017 , 13:45:12,1829,1829
79,12/06/2017 , 13:45:22,1830,1830
80,12/06/2017 , 13:45:32,1844,1844
81,12/06/2017 , 13:45:42,1844,1844
82,12/06/2017 , 13:45:52,1845,1845
83,12/06/2017 , 13:46:02,1858,1858
84,12/06/2017 , 13:46:12,1859,1859
85,12/06/2017 , 13:46:22,1859,1859
86,12/06/2017 , 13:46:32,1873,1873
87,12/06/2017 , 13:46:42,1873,1873
88,12/06/2017 , 13:46:52,1872,1872
89,12/06/2017 , 13:47:02,1887,1887
90,12/06/2017 , 13:47:12,1889,1889
91,12/06/2017 , 13:47:22,1889,1889
92,12/06/2017 , 13:47:32,1902,1902
93,12/06/2017 , 13:47:42,1904,1904
94,12/06/2017 , 13:47:52,1904,1904
95,12/06/2017 , 13:48:02,1915,1915
96,12/06/2017 , 13:48:12,1918,1918
97,12/06/2017 , 13:48:22,1918,1918
98,12/06/2017 , 13:48:32,1931,1931
99,12/06/2017 , 13:48:42,1931,1931
100,12/06/2017 , 13:48:52,1932,1932
101,12/06/2017 , 13:49:02,1945,1945
102,12/06/2017 , 13:49:12,1946,1946
