Site Name ,FORESTLOWER
Site Number ,3
Logger ,Capacitive Water Level
Logger Serial Number ,6570


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,12/11/2016 , 20:25:32,451,57.4
2,12/11/2016 , 20:25:42,437,50.5
3,12/11/2016 , 20:25:52,436,50
4,12/11/2016 , 20:26:02,436,50
5,12/11/2016 , 20:26:12,438,51
6,12/11/2016 , 20:26:22,438,51
7,12/11/2016 , 20:26:32,438,51
8,12/11/2016 , 20:26:42,438,51
9,12/11/2016 , 20:26:52,438,51
10,12/11/2016 , 20:27:02,439,51.5
11,12/11/2016 , 20:27:12,439,51.5
12,12/11/2016 , 20:27:22,439,51.5
13,12/11/2016 , 20:27:32,439,51.5
14,12/11/2016 , 20:27:42,439,51.5
15,12/11/2016 , 20:27:52,439,51.5
16,12/11/2016 , 20:28:02,439,51.5
17,12/11/2016 , 20:28:12,439,51.5
18,12/11/2016 , 20:28:22,439,51.5
19,12/11/2016 , 20:28:32,439,51.5
20,12/11/2016 , 20:28:42,439,51.5
21,12/11/2016 , 20:28:52,439,51.5
22,12/11/2016 , 20:29:02,439,51.5
23,12/11/2016 , 20:29:12,439,51.5
24,12/11/2016 , 20:29:22,439,51.5
25,12/11/2016 , 20:29:32,439,51.5
26,12/11/2016 , 20:29:42,439,51.5
27,12/11/2016 , 20:29:52,439,51.5
28,12/11/2016 , 20:30:02,439,51.5
29,12/11/2016 , 20:30:12,439,51.5
30,12/11/2016 , 20:30:22,439,51.5
31,12/11/2016 , 20:30:32,439,51.5
32,12/11/2016 , 20:30:42,439,51.5
33,12/11/2016 , 20:30:52,439,51.5
34,12/11/2016 , 20:31:02,439,51.5
35,12/11/2016 , 20:31:12,439,51.5
36,12/11/2016 , 20:31:22,439,51.5
37,12/11/2016 , 20:31:32,439,51.5
38,12/11/2016 , 20:31:42,439,51.5
39,12/11/2016 , 20:31:52,439,51.5
40,12/11/2016 , 20:32:02,439,51.5
41,12/11/2016 , 20:32:12,439,51.5
42,12/11/2016 , 20:32:22,439,51.5
43,12/11/2016 , 20:32:32,439,51.5
44,12/11/2016 , 20:32:42,439,51.5
45,12/11/2016 , 20:32:52,439,51.5
46,12/11/2016 , 20:33:02,439,51.5
47,12/11/2016 , 20:33:12,439,51.5
48,12/11/2016 , 20:33:22,439,51.5
49,12/11/2016 , 20:33:32,439,51.5
50,12/11/2016 , 20:33:42,439,51.5
51,12/11/2016 , 20:33:52,439,51.5
52,12/11/2016 , 20:34:02,439,51.5
53,12/11/2016 , 20:34:12,439,51.5
54,12/11/2016 , 20:34:22,439,51.5
55,12/11/2016 , 20:34:32,439,51.5
56,12/11/2016 , 20:34:42,439,51.5
57,12/11/2016 , 20:34:52,440,52
58,12/11/2016 , 20:35:02,440,52
59,12/11/2016 , 20:35:12,440,52
60,12/11/2016 , 20:35:22,441,52.5
61,12/11/2016 , 20:35:32,441,52.5
62,12/11/2016 , 20:35:42,441,52.5
63,12/11/2016 , 20:35:52,441,52.5
64,12/11/2016 , 20:36:02,441,52.5
65,12/11/2016 , 20:36:12,441,52.5
66,12/11/2016 , 20:36:22,442,52.9
67,12/11/2016 , 20:36:32,441,52.5
68,12/11/2016 , 20:36:42,441,52.5
69,12/11/2016 , 20:36:52,442,52.9
70,12/11/2016 , 20:37:02,442,52.9
71,12/11/2016 , 20:37:12,442,52.9
72,12/11/2016 , 20:37:22,450,56.9
73,12/11/2016 , 20:37:32,449,56.4
74,12/11/2016 , 20:37:42,449,56.4
75,12/11/2016 , 20:37:52,455,59.3
76,12/11/2016 , 20:38:02,455,59.3
77,12/11/2016 , 20:38:12,455,59.3
78,12/11/2016 , 20:38:22,460,61.8
79,12/11/2016 , 20:38:32,459,61.3
80,12/11/2016 , 20:38:42,459,61.3
81,12/11/2016 , 20:38:52,475,69.1
82,12/11/2016 , 20:39:02,474,68.6
83,12/11/2016 , 20:39:12,475,69.1
84,12/11/2016 , 20:39:22,493,77.9
85,12/11/2016 , 20:39:32,493,77.9
86,12/11/2016 , 20:39:42,493,77.9
87,12/11/2016 , 20:39:52,510,86.3
88,12/11/2016 , 20:40:02,511,86.8
89,12/11/2016 , 20:40:12,511,86.8
90,12/11/2016 , 20:40:22,528,95.1
91,12/11/2016 , 20:40:32,529,95.6
92,12/11/2016 , 20:40:42,530,96.1
93,12/11/2016 , 20:40:52,547,104.4
94,12/11/2016 , 20:41:02,548,104.9
95,12/11/2016 , 20:41:12,548,104.9
96,12/11/2016 , 20:41:22,566,113.7
97,12/11/2016 , 20:41:32,566,113.7
98,12/11/2016 , 20:41:42,566,113.7
99,12/11/2016 , 20:41:52,584,122.5
100,12/11/2016 , 20:42:02,583,122.1
101,12/11/2016 , 20:42:12,584,122.5
102,12/11/2016 , 20:42:22,602,131.4
103,12/11/2016 , 20:42:32,602,131.4
