Site Name ,FORESTLOWER
Site Number ,3
Logger ,Capacitive Water Level
Logger Serial Number ,6570


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/03/2017 , 21:37:30,446,54.9
2,08/03/2017 , 21:37:40,445,54.4
3,08/03/2017 , 21:37:50,444,53.9
4,08/03/2017 , 21:38:00,444,53.9
5,08/03/2017 , 21:38:10,444,53.9
6,08/03/2017 , 21:38:20,444,53.9
7,08/03/2017 , 21:38:30,444,53.9
8,08/03/2017 , 21:38:40,443,53.4
9,08/03/2017 , 21:38:50,443,53.4
10,08/03/2017 , 21:39:00,444,53.9
11,08/03/2017 , 21:39:10,444,53.9
12,08/03/2017 , 21:39:20,444,53.9
13,08/03/2017 , 21:39:30,457,60.3
14,08/03/2017 , 21:39:40,445,54.4
15,08/03/2017 , 21:39:50,444,53.9
16,08/03/2017 , 21:40:00,449,56.4
17,08/03/2017 , 21:40:10,444,53.9
18,08/03/2017 , 21:40:20,444,53.9
19,08/03/2017 , 21:40:30,454,58.8
20,08/03/2017 , 21:40:40,444,53.9
21,08/03/2017 , 21:40:50,444,53.9
22,08/03/2017 , 21:41:00,447,55.4
23,08/03/2017 , 21:41:10,444,53.9
24,08/03/2017 , 21:41:20,444,53.9
25,08/03/2017 , 21:41:30,457,60.3
26,08/03/2017 , 21:41:40,452,57.8
27,08/03/2017 , 21:41:50,450,56.9
28,08/03/2017 , 21:42:00,458,60.8
29,08/03/2017 , 21:42:10,456,59.8
30,08/03/2017 , 21:42:20,455,59.3
31,08/03/2017 , 21:42:30,464,63.7
32,08/03/2017 , 21:42:40,463,63.2
33,08/03/2017 , 21:42:50,463,63.2
34,08/03/2017 , 21:43:00,479,71.1
35,08/03/2017 , 21:43:10,480,71.6
36,08/03/2017 , 21:43:20,479,71.1
37,08/03/2017 , 21:43:30,499,80.9
38,08/03/2017 , 21:43:40,498,80.4
39,08/03/2017 , 21:43:50,497,79.9
40,08/03/2017 , 21:44:00,516,89.2
41,08/03/2017 , 21:44:10,515,88.7
42,08/03/2017 , 21:44:20,515,88.7
43,08/03/2017 , 21:44:30,533,97.5
44,08/03/2017 , 21:44:40,533,97.5
45,08/03/2017 , 21:44:50,533,97.5
46,08/03/2017 , 21:45:00,551,106.4
47,08/03/2017 , 21:45:10,551,106.4
48,08/03/2017 , 21:45:20,550,105.9
49,08/03/2017 , 21:45:30,561,111.3
50,08/03/2017 , 21:45:40,569,115.2
51,08/03/2017 , 21:45:50,568,114.7
52,08/03/2017 , 21:46:00,585,123
53,08/03/2017 , 21:46:10,585,123
54,08/03/2017 , 21:46:20,585,123
55,08/03/2017 , 21:46:30,602,131.4
56,08/03/2017 , 21:46:40,602,131.4
57,08/03/2017 , 21:46:50,602,131.4
58,08/03/2017 , 21:47:00,619,139.7
59,08/03/2017 , 21:47:10,619,139.7
60,08/03/2017 , 21:47:20,619,139.7
61,08/03/2017 , 21:47:30,637,148.5
62,08/03/2017 , 21:47:40,636,148
63,08/03/2017 , 21:47:50,636,148
64,08/03/2017 , 21:48:00,655,157.4
65,08/03/2017 , 21:48:10,653,156.4
66,08/03/2017 , 21:48:20,653,156.4
67,08/03/2017 , 21:48:30,670,164.7
68,08/03/2017 , 21:48:40,670,164.7
69,08/03/2017 , 21:48:50,670,164.7
70,08/03/2017 , 21:49:00,689,174
71,08/03/2017 , 21:49:10,688,173.5
72,08/03/2017 , 21:49:20,688,173.5
73,08/03/2017 , 21:49:30,705,181.9
74,08/03/2017 , 21:49:40,705,181.9
75,08/03/2017 , 21:49:50,705,181.9
76,08/03/2017 , 21:50:00,722,190.2
77,08/03/2017 , 21:50:10,723,190.7
78,08/03/2017 , 21:50:20,723,190.7
79,08/03/2017 , 21:50:30,742,200
80,08/03/2017 , 21:50:40,741,199.5
81,08/03/2017 , 21:50:50,741,199.5
82,08/03/2017 , 21:51:00,758,207.8
83,08/03/2017 , 21:51:10,758,207.8
84,08/03/2017 , 21:51:20,758,207.8
85,08/03/2017 , 21:51:30,776,216.7
86,08/03/2017 , 21:51:40,775,216.2
87,08/03/2017 , 21:51:50,775,216.2
88,08/03/2017 , 21:52:00,793,225
89,08/03/2017 , 21:52:10,792,224.5
90,08/03/2017 , 21:52:20,792,224.5
91,08/03/2017 , 21:52:30,809,232.8
92,08/03/2017 , 21:52:40,808,232.4
93,08/03/2017 , 21:52:50,809,232.8
94,08/03/2017 , 21:53:00,825,240.7
95,08/03/2017 , 21:53:10,825,240.7
96,08/03/2017 , 21:53:20,825,240.7
97,08/03/2017 , 21:53:30,843,249.5
98,08/03/2017 , 21:53:40,841,248.5
99,08/03/2017 , 21:53:50,841,248.5
100,08/03/2017 , 21:54:00,858,256.9
101,08/03/2017 , 21:54:10,857,256.4
102,08/03/2017 , 21:54:20,857,256.4
103,08/03/2017 , 21:54:30,874,264.7
