Site Name ,FORESTMIDDLE
Site Number ,2
Logger ,Capacitive Water Level
Logger Serial Number ,6572


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,15/02/2017 , 13:59:30,439,50.5
2,15/02/2017 , 13:59:40,436,49
3,15/02/2017 , 13:59:50,436,49
4,15/02/2017 , 14:00:00,451,56.6
5,15/02/2017 , 14:00:10,440,51
6,15/02/2017 , 14:00:20,439,50.5
7,15/02/2017 , 14:00:30,447,54.5
8,15/02/2017 , 14:00:40,440,51
9,15/02/2017 , 14:00:50,440,51
10,15/02/2017 , 14:01:00,440,51
11,15/02/2017 , 14:01:10,439,50.5
12,15/02/2017 , 14:01:20,439,50.5
13,15/02/2017 , 14:01:30,441,51.5
14,15/02/2017 , 14:01:40,439,50.5
15,15/02/2017 , 14:01:50,439,50.5
16,15/02/2017 , 14:02:00,441,51.5
17,15/02/2017 , 14:02:10,440,51
18,15/02/2017 , 14:02:20,440,51
19,15/02/2017 , 14:02:30,451,56.6
20,15/02/2017 , 14:02:40,446,54
21,15/02/2017 , 14:02:50,445,53.5
22,15/02/2017 , 14:03:00,453,57.6
23,15/02/2017 , 14:03:10,451,56.6
24,15/02/2017 , 14:03:20,450,56.1
25,15/02/2017 , 14:03:30,461,61.6
26,15/02/2017 , 14:03:40,459,60.6
27,15/02/2017 , 14:03:50,459,60.6
28,15/02/2017 , 14:04:00,475,68.7
29,15/02/2017 , 14:04:10,473,67.7
30,15/02/2017 , 14:04:20,473,67.7
31,15/02/2017 , 14:04:30,492,77.3
32,15/02/2017 , 14:04:40,492,77.3
33,15/02/2017 , 14:04:50,492,77.3
34,15/02/2017 , 14:05:00,513,87.9
35,15/02/2017 , 14:05:10,510,86.4
36,15/02/2017 , 14:05:20,510,86.4
37,15/02/2017 , 14:05:30,528,95.5
38,15/02/2017 , 14:05:40,528,95.5
39,15/02/2017 , 14:05:50,528,95.5
40,15/02/2017 , 14:06:00,546,104.5
41,15/02/2017 , 14:06:10,546,104.5
42,15/02/2017 , 14:06:20,546,104.5
43,15/02/2017 , 14:06:30,565,114.1
44,15/02/2017 , 14:06:40,564,113.6
45,15/02/2017 , 14:06:50,564,113.6
46,15/02/2017 , 14:07:00,582,122.7
47,15/02/2017 , 14:07:10,581,122.2
48,15/02/2017 , 14:07:20,581,122.2
49,15/02/2017 , 14:07:30,600,131.8
50,15/02/2017 , 14:07:40,600,131.8
51,15/02/2017 , 14:07:50,599,131.3
52,15/02/2017 , 14:08:00,617,140.4
53,15/02/2017 , 14:08:10,617,140.4
54,15/02/2017 , 14:08:20,617,140.4
55,15/02/2017 , 14:08:30,634,149
56,15/02/2017 , 14:08:40,634,149
57,15/02/2017 , 14:08:50,634,149
58,15/02/2017 , 14:09:00,652,158.1
59,15/02/2017 , 14:09:10,651,157.6
60,15/02/2017 , 14:09:20,651,157.6
61,15/02/2017 , 14:09:30,668,166.2
62,15/02/2017 , 14:09:40,668,166.2
63,15/02/2017 , 14:09:50,668,166.2
64,15/02/2017 , 14:10:00,686,175.3
65,15/02/2017 , 14:10:10,685,174.7
66,15/02/2017 , 14:10:20,685,174.7
67,15/02/2017 , 14:10:30,702,183.3
68,15/02/2017 , 14:10:40,702,183.3
69,15/02/2017 , 14:10:50,702,183.3
70,15/02/2017 , 14:11:00,719,191.9
71,15/02/2017 , 14:11:10,719,191.9
72,15/02/2017 , 14:11:20,719,191.9
73,15/02/2017 , 14:11:30,736,200.5
74,15/02/2017 , 14:11:40,736,200.5
75,15/02/2017 , 14:11:50,736,200.5
76,15/02/2017 , 14:12:00,752,208.6
77,15/02/2017 , 14:12:10,753,209.1
78,15/02/2017 , 14:12:20,753,209.1
79,15/02/2017 , 14:12:30,769,217.2
80,15/02/2017 , 14:12:40,769,217.2
81,15/02/2017 , 14:12:50,769,217.2
82,15/02/2017 , 14:13:00,786,225.8
83,15/02/2017 , 14:13:10,786,225.8
84,15/02/2017 , 14:13:20,786,225.8
85,15/02/2017 , 14:13:30,802,233.8
86,15/02/2017 , 14:13:40,802,233.8
87,15/02/2017 , 14:13:50,802,233.8
88,15/02/2017 , 14:14:00,818,241.9
89,15/02/2017 , 14:14:10,818,241.9
90,15/02/2017 , 14:14:20,818,241.9
91,15/02/2017 , 14:14:30,833,249.5
92,15/02/2017 , 14:14:40,833,249.5
93,15/02/2017 , 14:14:50,834,250
94,15/02/2017 , 14:15:00,850,258.1
95,15/02/2017 , 14:15:10,850,258.1
96,15/02/2017 , 14:15:20,850,258.1
97,15/02/2017 , 14:15:30,865,265.7
98,15/02/2017 , 14:15:40,865,265.7
99,15/02/2017 , 14:15:50,865,265.7
100,15/02/2017 , 14:16:00,881,273.7
101,15/02/2017 , 14:16:10,882,274.2
102,15/02/2017 , 14:16:20,881,273.7
103,15/02/2017 , 14:16:30,897,281.8
104,15/02/2017 , 14:16:40,897,281.8
105,15/02/2017 , 14:16:50,897,281.8
106,15/02/2017 , 14:17:00,914,290.4
107,15/02/2017 , 14:17:10,913,289.9
108,15/02/2017 , 14:17:20,913,289.9
109,15/02/2017 , 14:17:30,929,298
110,15/02/2017 , 14:17:40,929,298
111,15/02/2017 , 14:17:50,929,298
112,15/02/2017 , 14:18:00,944,305.6
113,15/02/2017 , 14:18:10,945,306.1
114,15/02/2017 , 14:18:20,945,306.1
115,15/02/2017 , 14:18:30,960,313.6
116,15/02/2017 , 14:18:40,960,313.6
117,15/02/2017 , 14:18:50,960,313.6
118,15/02/2017 , 14:19:00,960,313.6
