Site Name ,FORESTUPPER
Site Number ,1
Logger ,Capacitive Water Level
Logger Serial Number ,6571


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,13/02/2017 , 12:59:12,444,61.2
2,13/02/2017 , 12:59:22,444,61.2
3,13/02/2017 , 12:59:32,444,61.2
4,13/02/2017 , 12:59:42,444,61.2
5,13/02/2017 , 12:59:52,444,61.2
6,13/02/2017 , 13:00:02,446,62.1
7,13/02/2017 , 13:00:12,445,61.7
8,13/02/2017 , 13:00:22,445,61.7
9,13/02/2017 , 13:00:32,446,62.1
10,13/02/2017 , 13:00:42,445,61.7
11,13/02/2017 , 13:00:52,445,61.7
12,13/02/2017 , 13:01:02,445,61.7
13,13/02/2017 , 13:01:12,445,61.7
14,13/02/2017 , 13:01:22,445,61.7
15,13/02/2017 , 13:01:32,446,62.1
16,13/02/2017 , 13:01:42,445,61.7
17,13/02/2017 , 13:01:52,445,61.7
18,13/02/2017 , 13:02:02,448,63.1
19,13/02/2017 , 13:02:12,445,61.7
20,13/02/2017 , 13:02:22,445,61.7
21,13/02/2017 , 13:02:32,453,65.5
22,13/02/2017 , 13:02:42,452,65
23,13/02/2017 , 13:02:52,451,64.6
24,13/02/2017 , 13:03:02,458,68
25,13/02/2017 , 13:03:12,457,67.5
26,13/02/2017 , 13:03:22,457,67.5
27,13/02/2017 , 13:03:32,466,71.8
28,13/02/2017 , 13:03:42,465,71.4
29,13/02/2017 , 13:03:52,465,71.4
30,13/02/2017 , 13:04:02,481,79.1
31,13/02/2017 , 13:04:12,482,79.6
32,13/02/2017 , 13:04:22,482,79.6
33,13/02/2017 , 13:04:32,500,88.3
34,13/02/2017 , 13:04:42,500,88.3
35,13/02/2017 , 13:04:52,500,88.3
36,13/02/2017 , 13:05:02,517,96.6
37,13/02/2017 , 13:05:12,517,96.6
38,13/02/2017 , 13:05:22,517,96.6
39,13/02/2017 , 13:05:32,534,104.9
40,13/02/2017 , 13:05:42,535,105.3
41,13/02/2017 , 13:05:52,535,105.3
42,13/02/2017 , 13:06:02,555,115
43,13/02/2017 , 13:06:12,553,114.1
44,13/02/2017 , 13:06:22,551,113.1
45,13/02/2017 , 13:06:32,569,121.8
46,13/02/2017 , 13:06:42,569,121.8
47,13/02/2017 , 13:06:52,569,121.8
48,13/02/2017 , 13:07:02,586,130.1
49,13/02/2017 , 13:07:12,586,130.1
50,13/02/2017 , 13:07:22,586,130.1
51,13/02/2017 , 13:07:32,603,138.3
52,13/02/2017 , 13:07:42,603,138.3
53,13/02/2017 , 13:07:52,603,138.3
54,13/02/2017 , 13:08:02,621,147.1
55,13/02/2017 , 13:08:12,620,146.6
56,13/02/2017 , 13:08:22,620,146.6
57,13/02/2017 , 13:08:32,638,155.3
58,13/02/2017 , 13:08:42,637,154.9
59,13/02/2017 , 13:08:52,637,154.9
60,13/02/2017 , 13:09:02,654,163.1
61,13/02/2017 , 13:09:12,655,163.6
62,13/02/2017 , 13:09:22,655,163.6
63,13/02/2017 , 13:09:32,672,171.8
64,13/02/2017 , 13:09:42,672,171.8
65,13/02/2017 , 13:09:52,672,171.8
66,13/02/2017 , 13:10:02,688,179.6
67,13/02/2017 , 13:10:12,689,180.1
68,13/02/2017 , 13:10:22,688,179.6
69,13/02/2017 , 13:10:32,705,187.9
70,13/02/2017 , 13:10:42,705,187.9
71,13/02/2017 , 13:10:52,705,187.9
72,13/02/2017 , 13:11:02,722,196.1
73,13/02/2017 , 13:11:12,722,196.1
74,13/02/2017 , 13:11:22,722,196.1
75,13/02/2017 , 13:11:32,739,204.4
76,13/02/2017 , 13:11:42,739,204.4
77,13/02/2017 , 13:11:52,739,204.4
78,13/02/2017 , 13:12:02,756,212.6
79,13/02/2017 , 13:12:12,756,212.6
80,13/02/2017 , 13:12:22,756,212.6
81,13/02/2017 , 13:12:32,772,220.4
82,13/02/2017 , 13:12:42,772,220.4
83,13/02/2017 , 13:12:52,772,220.4
84,13/02/2017 , 13:13:02,787,227.7
85,13/02/2017 , 13:13:12,787,227.7
86,13/02/2017 , 13:13:22,787,227.7
87,13/02/2017 , 13:13:32,803,235.4
88,13/02/2017 , 13:13:42,803,235.4
89,13/02/2017 , 13:13:52,803,235.4
90,13/02/2017 , 13:14:02,818,242.7
91,13/02/2017 , 13:14:12,818,242.7
92,13/02/2017 , 13:14:22,818,242.7
93,13/02/2017 , 13:14:32,834,250.5
94,13/02/2017 , 13:14:42,834,250.5
95,13/02/2017 , 13:14:52,835,251
96,13/02/2017 , 13:15:02,851,258.7
97,13/02/2017 , 13:15:12,851,258.7
98,13/02/2017 , 13:15:22,851,258.7
99,13/02/2017 , 13:15:32,866,266
100,13/02/2017 , 13:15:42,866,266
101,13/02/2017 , 13:15:52,866,266
102,13/02/2017 , 13:16:02,881,273.3
103,13/02/2017 , 13:16:12,881,273.3
