Site Name ,PASTURELOWER
Site Number ,6
Logger ,Capacitive Water Level
Logger Serial Number ,6568


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,13/11/2016 , 21:12:54,445,44.1
2,13/11/2016 , 21:13:04,443,43.1
3,13/11/2016 , 21:13:14,441,42.1
4,13/11/2016 , 21:13:24,435,39.1
5,13/11/2016 , 21:13:34,436,39.6
6,13/11/2016 , 21:13:44,438,40.6
7,13/11/2016 , 21:13:54,438,40.6
8,13/11/2016 , 21:14:04,438,40.6
9,13/11/2016 , 21:14:14,438,40.6
10,13/11/2016 , 21:14:24,438,40.6
11,13/11/2016 , 21:14:34,438,40.6
12,13/11/2016 , 21:14:44,438,40.6
13,13/11/2016 , 21:14:54,438,40.6
14,13/11/2016 , 21:15:04,438,40.6
15,13/11/2016 , 21:15:14,438,40.6
16,13/11/2016 , 21:15:24,438,40.6
17,13/11/2016 , 21:15:34,438,40.6
18,13/11/2016 , 21:15:44,440,41.6
19,13/11/2016 , 21:15:54,441,42.1
20,13/11/2016 , 21:16:04,441,42.1
21,13/11/2016 , 21:16:14,442,42.6
22,13/11/2016 , 21:16:24,442,42.6
23,13/11/2016 , 21:16:34,441,42.1
24,13/11/2016 , 21:16:44,442,42.6
25,13/11/2016 , 21:16:54,442,42.6
26,13/11/2016 , 21:17:04,442,42.6
27,13/11/2016 , 21:17:14,443,43.1
28,13/11/2016 , 21:17:24,442,42.6
29,13/11/2016 , 21:17:34,442,42.6
30,13/11/2016 , 21:17:44,443,43.1
31,13/11/2016 , 21:17:54,442,42.6
32,13/11/2016 , 21:18:04,442,42.6
33,13/11/2016 , 21:18:14,451,47
34,13/11/2016 , 21:18:24,448,45.5
35,13/11/2016 , 21:18:34,448,45.5
36,13/11/2016 , 21:18:44,453,48
37,13/11/2016 , 21:18:54,454,48.5
38,13/11/2016 , 21:19:04,453,48
39,13/11/2016 , 21:19:14,456,49.5
40,13/11/2016 , 21:19:24,457,50
41,13/11/2016 , 21:19:34,458,50.5
42,13/11/2016 , 21:19:44,459,51
43,13/11/2016 , 21:19:54,472,57.4
44,13/11/2016 , 21:20:04,470,56.4
45,13/11/2016 , 21:20:14,487,64.9
46,13/11/2016 , 21:20:24,489,65.8
47,13/11/2016 , 21:20:34,489,65.8
48,13/11/2016 , 21:20:44,505,73.8
49,13/11/2016 , 21:20:54,508,75.2
50,13/11/2016 , 21:21:04,508,75.2
51,13/11/2016 , 21:21:14,529,85.6
52,13/11/2016 , 21:21:24,525,83.7
53,13/11/2016 , 21:21:34,526,84.2
54,13/11/2016 , 21:21:44,545,93.6
55,13/11/2016 , 21:21:54,544,93.1
56,13/11/2016 , 21:22:04,544,93.1
57,13/11/2016 , 21:22:14,548,95
58,13/11/2016 , 21:22:24,561,101.5
59,13/11/2016 , 21:22:34,561,101.5
60,13/11/2016 , 21:22:44,570,105.9
61,13/11/2016 , 21:22:54,579,110.4
62,13/11/2016 , 21:23:04,579,110.4
63,13/11/2016 , 21:23:14,592,116.8
64,13/11/2016 , 21:23:24,596,118.8
65,13/11/2016 , 21:23:34,597,119.3
66,13/11/2016 , 21:23:44,617,129.2
67,13/11/2016 , 21:23:54,614,127.7
68,13/11/2016 , 21:24:04,614,127.7
69,13/11/2016 , 21:24:14,614,127.7
70,13/11/2016 , 21:24:24,641,141.1
71,13/11/2016 , 21:24:34,632,136.6
72,13/11/2016 , 21:24:44,638,139.6
73,13/11/2016 , 21:24:54,650,145.5
74,13/11/2016 , 21:25:04,648,144.6
75,13/11/2016 , 21:25:14,653,147
76,13/11/2016 , 21:25:24,665,153
77,13/11/2016 , 21:25:34,665,153
78,13/11/2016 , 21:25:44,693,166.8
79,13/11/2016 , 21:25:54,685,162.9
80,13/11/2016 , 21:26:04,682,161.4
81,13/11/2016 , 21:26:14,699,169.8
82,13/11/2016 , 21:26:24,699,169.8
83,13/11/2016 , 21:26:34,699,169.8
84,13/11/2016 , 21:26:44,707,173.8
85,13/11/2016 , 21:26:54,716,178.2
86,13/11/2016 , 21:27:04,716,178.2
87,13/11/2016 , 21:27:14,721,180.7
88,13/11/2016 , 21:27:24,733,186.6
89,13/11/2016 , 21:27:34,733,186.6
90,13/11/2016 , 21:27:44,750,195
91,13/11/2016 , 21:27:54,749,194.6
92,13/11/2016 , 21:28:04,749,194.6
93,13/11/2016 , 21:28:14,763,201.5
94,13/11/2016 , 21:28:24,766,203
95,13/11/2016 , 21:28:34,765,202.5
96,13/11/2016 , 21:28:44,778,208.9
97,13/11/2016 , 21:28:54,782,210.9
98,13/11/2016 , 21:29:04,1165,210.9
99,13/11/2016 , 21:29:14,566,210.9
100,13/11/2016 , 21:29:24,671,210.9
101,13/11/2016 , 21:29:34,593,210.9
102,13/11/2016 , 21:29:44,464,210.9
103,13/11/2016 , 21:29:54,673,210.9
