Site Name ,PASTURELOWER
Site Number ,6
Logger ,Capacitive Water Level
Logger Serial Number ,6568


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/02/2017 , 15:46:40,446,44.6
2,20/02/2017 , 15:46:50,446,44.6
3,20/02/2017 , 15:47:00,446,44.6
4,20/02/2017 , 15:47:10,446,44.6
5,20/02/2017 , 15:47:20,446,44.6
6,20/02/2017 , 15:47:30,446,44.6
7,20/02/2017 , 15:47:40,446,44.6
8,20/02/2017 , 15:47:50,444,43.6
9,20/02/2017 , 15:48:00,444,43.6
10,20/02/2017 , 15:48:10,444,43.6
11,20/02/2017 , 15:48:20,444,43.6
12,20/02/2017 , 15:48:30,444,43.6
13,20/02/2017 , 15:48:40,444,43.6
14,20/02/2017 , 15:48:50,444,43.6
15,20/02/2017 , 15:49:00,444,43.6
16,20/02/2017 , 15:49:10,444,43.6
17,20/02/2017 , 15:49:20,444,43.6
18,20/02/2017 , 15:49:30,444,43.6
19,20/02/2017 , 15:49:40,444,43.6
20,20/02/2017 , 15:49:50,444,43.6
21,20/02/2017 , 15:50:00,446,44.6
22,20/02/2017 , 15:50:10,446,44.6
23,20/02/2017 , 15:50:20,446,44.6
24,20/02/2017 , 15:50:30,447,45
25,20/02/2017 , 15:50:40,446,44.6
26,20/02/2017 , 15:50:50,446,44.6
27,20/02/2017 , 15:51:00,447,45
28,20/02/2017 , 15:51:10,447,45
29,20/02/2017 , 15:51:20,447,45
30,20/02/2017 , 15:51:30,447,45
31,20/02/2017 , 15:51:40,447,45
32,20/02/2017 , 15:51:50,447,45
33,20/02/2017 , 15:52:00,448,45.5
34,20/02/2017 , 15:52:10,448,45.5
35,20/02/2017 , 15:52:20,447,45
36,20/02/2017 , 15:52:30,454,48.5
37,20/02/2017 , 15:52:40,453,48
38,20/02/2017 , 15:52:50,453,48
39,20/02/2017 , 15:53:00,458,50.5
40,20/02/2017 , 15:53:10,457,50
41,20/02/2017 , 15:53:20,457,50
42,20/02/2017 , 15:53:30,463,53
43,20/02/2017 , 15:53:40,463,53
44,20/02/2017 , 15:53:50,463,53
45,20/02/2017 , 15:54:00,479,60.9
46,20/02/2017 , 15:54:10,477,59.9
47,20/02/2017 , 15:54:20,477,59.9
48,20/02/2017 , 15:54:30,499,70.8
49,20/02/2017 , 15:54:40,496,69.3
50,20/02/2017 , 15:54:50,496,69.3
51,20/02/2017 , 15:55:00,514,78.2
52,20/02/2017 , 15:55:10,514,78.2
53,20/02/2017 , 15:55:20,514,78.2
54,20/02/2017 , 15:55:30,533,87.6
55,20/02/2017 , 15:55:40,531,86.6
56,20/02/2017 , 15:55:50,531,86.6
57,20/02/2017 , 15:56:00,551,96.5
58,20/02/2017 , 15:56:10,550,96
59,20/02/2017 , 15:56:20,550,96
60,20/02/2017 , 15:56:30,568,105
61,20/02/2017 , 15:56:40,568,105
62,20/02/2017 , 15:56:50,568,105
63,20/02/2017 , 15:57:00,587,114.4
64,20/02/2017 , 15:57:10,586,113.9
65,20/02/2017 , 15:57:20,586,113.9
66,20/02/2017 , 15:57:30,607,124.3
67,20/02/2017 , 15:57:40,605,123.3
68,20/02/2017 , 15:57:50,605,123.3
69,20/02/2017 , 15:58:00,625,133.2
70,20/02/2017 , 15:58:10,622,131.7
71,20/02/2017 , 15:58:20,622,131.7
72,20/02/2017 , 15:58:30,641,141.1
73,20/02/2017 , 15:58:40,640,140.6
74,20/02/2017 , 15:58:50,640,140.6
75,20/02/2017 , 15:59:00,658,149.5
76,20/02/2017 , 15:59:10,657,149
77,20/02/2017 , 15:59:20,657,149
78,20/02/2017 , 15:59:30,676,158.4
79,20/02/2017 , 15:59:40,675,157.9
80,20/02/2017 , 15:59:50,676,158.4
81,20/02/2017 , 16:00:00,695,167.8
82,20/02/2017 , 16:00:10,694,167.3
83,20/02/2017 , 16:00:20,694,167.3
84,20/02/2017 , 16:00:30,713,176.7
85,20/02/2017 , 16:00:40,712,176.2
86,20/02/2017 , 16:00:50,709,174.8
87,20/02/2017 , 16:01:00,726,183.2
88,20/02/2017 , 16:01:10,726,183.2
89,20/02/2017 , 16:01:20,726,183.2
90,20/02/2017 , 16:01:30,742,191.1
91,20/02/2017 , 16:01:40,744,192.1
92,20/02/2017 , 16:01:50,745,192.6
93,20/02/2017 , 16:02:00,758,199
94,20/02/2017 , 16:02:10,758,199
95,20/02/2017 , 16:02:20,758,199
96,20/02/2017 , 16:02:30,774,206.9
97,20/02/2017 , 16:02:40,775,207.4
98,20/02/2017 , 16:02:50,775,207.4
99,20/02/2017 , 16:03:00,789,214.4
100,20/02/2017 , 16:03:10,790,214.9
101,20/02/2017 , 16:03:20,790,214.9
102,20/02/2017 , 16:03:30,806,222.8
103,20/02/2017 , 16:03:40,806,222.8
104,20/02/2017 , 16:03:50,806,222.8
