Site Name ,PASTUREMIDDLE
Site Number ,5
Logger ,Capacitive Water Level
Logger Serial Number ,6567


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,12/11/2016 , 21:51:56,441,27.3
2,12/11/2016 , 21:52:06,441,27.3
3,12/11/2016 , 21:52:16,441,27.3
4,12/11/2016 , 21:52:26,441,27.3
5,12/11/2016 , 21:52:36,441,27.3
6,12/11/2016 , 21:52:46,441,27.3
7,12/11/2016 , 21:52:56,441,27.3
8,12/11/2016 , 21:53:06,438,25.6
9,12/11/2016 , 21:53:16,434,23.4
10,12/11/2016 , 21:53:26,435,24
11,12/11/2016 , 21:53:36,437,25.1
12,12/11/2016 , 21:53:46,437,25.1
13,12/11/2016 , 21:53:56,437,25.1
14,12/11/2016 , 21:54:06,437,25.1
15,12/11/2016 , 21:54:16,437,25.1
16,12/11/2016 , 21:54:26,437,25.1
17,12/11/2016 , 21:54:36,437,25.1
18,12/11/2016 , 21:54:46,437,25.1
19,12/11/2016 , 21:54:56,437,25.1
20,12/11/2016 , 21:55:06,437,25.1
21,12/11/2016 , 21:55:16,437,25.1
22,12/11/2016 , 21:55:26,437,25.1
23,12/11/2016 , 21:55:36,437,25.1
24,12/11/2016 , 21:55:46,437,25.1
25,12/11/2016 , 21:55:56,438,25.6
26,12/11/2016 , 21:56:06,438,25.6
27,12/11/2016 , 21:56:16,438,25.6
28,12/11/2016 , 21:56:26,439,26.2
29,12/11/2016 , 21:56:36,438,25.6
30,12/11/2016 , 21:56:46,439,26.2
31,12/11/2016 , 21:56:56,439,26.2
32,12/11/2016 , 21:57:06,439,26.2
33,12/11/2016 , 21:57:16,439,26.2
34,12/11/2016 , 21:57:26,441,27.3
35,12/11/2016 , 21:57:36,441,27.3
36,12/11/2016 , 21:57:46,442,27.9
37,12/11/2016 , 21:57:56,441,27.3
38,12/11/2016 , 21:58:06,441,27.3
39,12/11/2016 , 21:58:16,441,27.3
40,12/11/2016 , 21:58:26,445,29.5
41,12/11/2016 , 21:58:36,445,29.5
42,12/11/2016 , 21:58:46,446,30.1
43,12/11/2016 , 21:58:56,452,33.4
44,12/11/2016 , 21:59:06,452,33.4
45,12/11/2016 , 21:59:16,456,35.6
46,12/11/2016 , 21:59:26,460,37.8
47,12/11/2016 , 21:59:36,460,37.8
48,12/11/2016 , 21:59:46,478,47.8
49,12/11/2016 , 21:59:56,477,47.2
50,12/11/2016 , 22:00:06,477,47.2
51,12/11/2016 , 22:00:16,483,50.6
52,12/11/2016 , 22:00:26,496,57.7
53,12/11/2016 , 22:00:36,496,57.7
54,12/11/2016 , 22:00:46,497,58.3
55,12/11/2016 , 22:00:56,513,67.2
56,12/11/2016 , 22:01:06,513,67.2
57,12/11/2016 , 22:01:16,517,69.4
58,12/11/2016 , 22:01:26,532,77.7
59,12/11/2016 , 22:01:36,532,77.7
60,12/11/2016 , 22:01:46,540,82.1
61,12/11/2016 , 22:01:56,549,87.1
62,12/11/2016 , 22:02:06,549,87.1
63,12/11/2016 , 22:02:16,550,87.6
64,12/11/2016 , 22:02:26,566,96.5
65,12/11/2016 , 22:02:36,566,96.5
66,12/11/2016 , 22:02:46,566,96.5
67,12/11/2016 , 22:02:56,583,105.9
68,12/11/2016 , 22:03:06,583,105.9
69,12/11/2016 , 22:03:16,592,110.9
70,12/11/2016 , 22:03:26,600,115.3
71,12/11/2016 , 22:03:36,600,115.3
72,12/11/2016 , 22:03:46,608,119.7
73,12/11/2016 , 22:03:56,618,125.3
74,12/11/2016 , 22:04:06,618,125.3
75,12/11/2016 , 22:04:16,618,125.3
76,12/11/2016 , 22:04:26,635,134.7
77,12/11/2016 , 22:04:36,635,134.7
78,12/11/2016 , 22:04:46,651,143.5
79,12/11/2016 , 22:04:56,652,144.1
80,12/11/2016 , 22:05:06,653,144.6
81,12/11/2016 , 22:05:16,653,144.6
82,12/11/2016 , 22:05:26,670,154.1
83,12/11/2016 , 22:05:36,670,154.1
84,12/11/2016 , 22:05:46,671,154.6
85,12/11/2016 , 22:05:56,687,163.5
86,12/11/2016 , 22:06:06,687,163.5
87,12/11/2016 , 22:06:16,687,163.5
88,12/11/2016 , 22:06:26,704,172.9
89,12/11/2016 , 22:06:36,704,172.9
90,12/11/2016 , 22:06:46,704,172.9
91,12/11/2016 , 22:06:56,721,182.3
92,12/11/2016 , 22:07:06,721,182.3
93,12/11/2016 , 22:07:16,725,184.5
94,12/11/2016 , 22:07:26,738,191.7
95,12/11/2016 , 22:07:36,738,191.7
96,12/11/2016 , 22:07:46,754,200.6
97,12/11/2016 , 22:07:56,754,200.6
98,12/11/2016 , 22:08:06,754,200.6
99,12/11/2016 , 22:08:16,754,200.6
100,12/11/2016 , 22:08:26,771,210
101,12/11/2016 , 22:08:36,771,210
102,12/11/2016 , 22:08:46,771,210
