Site Name ,PASTUREMIDDLE
Site Number ,5
Logger ,Capacitive Water Level
Logger Serial Number ,6567


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,27/02/2017 , 15:51:24,454,34.5
2,27/02/2017 , 15:51:34,451,32.8
3,27/02/2017 , 15:51:44,450,32.3
4,27/02/2017 , 15:51:54,450,32.3
5,27/02/2017 , 15:52:04,452,33.4
6,27/02/2017 , 15:52:14,452,33.4
7,27/02/2017 , 15:52:24,451,32.8
8,27/02/2017 , 15:52:34,452,33.4
9,27/02/2017 , 15:52:44,451,32.8
10,27/02/2017 , 15:52:54,451,32.8
11,27/02/2017 , 15:53:04,451,32.8
12,27/02/2017 , 15:53:14,450,32.3
13,27/02/2017 , 15:53:24,450,32.3
14,27/02/2017 , 15:53:34,451,32.8
15,27/02/2017 , 15:53:44,451,32.8
16,27/02/2017 , 15:53:54,451,32.8
17,27/02/2017 , 15:54:04,451,32.8
18,27/02/2017 , 15:54:14,451,32.8
19,27/02/2017 , 15:54:24,451,32.8
20,27/02/2017 , 15:54:34,454,34.5
21,27/02/2017 , 15:54:44,453,33.9
22,27/02/2017 , 15:54:54,454,34.5
23,27/02/2017 , 15:55:04,458,36.7
24,27/02/2017 , 15:55:14,457,36.2
25,27/02/2017 , 15:55:24,457,36.2
26,27/02/2017 , 15:55:34,467,41.7
27,27/02/2017 , 15:55:44,467,41.7
28,27/02/2017 , 15:55:54,467,41.7
29,27/02/2017 , 15:56:04,478,47.8
30,27/02/2017 , 15:56:14,476,46.7
31,27/02/2017 , 15:56:24,477,47.2
32,27/02/2017 , 15:56:34,493,56.1
33,27/02/2017 , 15:56:44,492,55.5
34,27/02/2017 , 15:56:54,492,55.5
35,27/02/2017 , 15:57:04,511,66.1
36,27/02/2017 , 15:57:14,510,65.5
37,27/02/2017 , 15:57:24,510,65.5
38,27/02/2017 , 15:57:34,526,74.4
39,27/02/2017 , 15:57:44,526,74.4
40,27/02/2017 , 15:57:54,526,74.4
41,27/02/2017 , 15:58:04,544,84.3
42,27/02/2017 , 15:58:14,543,83.8
43,27/02/2017 , 15:58:24,543,83.8
44,27/02/2017 , 15:58:34,560,93.2
45,27/02/2017 , 15:58:44,560,93.2
46,27/02/2017 , 15:58:54,560,93.2
47,27/02/2017 , 15:59:04,576,102
48,27/02/2017 , 15:59:14,575,101.5
49,27/02/2017 , 15:59:24,575,101.5
50,27/02/2017 , 15:59:34,591,110.3
51,27/02/2017 , 15:59:44,591,110.3
52,27/02/2017 , 15:59:54,591,110.3
53,27/02/2017 , 16:00:04,608,119.7
54,27/02/2017 , 16:00:14,608,119.7
55,27/02/2017 , 16:00:24,608,119.7
56,27/02/2017 , 16:00:34,625,129.2
57,27/02/2017 , 16:00:44,624,128.6
58,27/02/2017 , 16:00:54,624,128.6
59,27/02/2017 , 16:01:04,641,138
60,27/02/2017 , 16:01:14,641,138
61,27/02/2017 , 16:01:24,640,137.5
62,27/02/2017 , 16:01:34,657,146.9
63,27/02/2017 , 16:01:44,657,146.9
64,27/02/2017 , 16:01:54,657,146.9
65,27/02/2017 , 16:02:04,676,157.4
66,27/02/2017 , 16:02:14,674,156.3
67,27/02/2017 , 16:02:24,674,156.3
68,27/02/2017 , 16:02:34,689,164.6
69,27/02/2017 , 16:02:44,689,164.6
70,27/02/2017 , 16:02:54,689,164.6
71,27/02/2017 , 16:03:04,706,174
72,27/02/2017 , 16:03:14,705,173.4
73,27/02/2017 , 16:03:24,705,173.4
74,27/02/2017 , 16:03:34,724,183.9
75,27/02/2017 , 16:03:44,723,183.4
76,27/02/2017 , 16:03:54,722,182.8
77,27/02/2017 , 16:04:04,739,192.3
78,27/02/2017 , 16:04:14,739,192.3
79,27/02/2017 , 16:04:24,738,191.7
80,27/02/2017 , 16:04:34,760,203.9
81,27/02/2017 , 16:04:44,759,203.3
82,27/02/2017 , 16:04:54,759,203.3
83,27/02/2017 , 16:05:04,776,212.7
84,27/02/2017 , 16:05:14,776,212.7
85,27/02/2017 , 16:05:24,776,212.7
86,27/02/2017 , 16:05:34,789,219.9
87,27/02/2017 , 16:05:44,789,219.9
88,27/02/2017 , 16:05:54,789,219.9
89,27/02/2017 , 16:06:04,812,232.7
90,27/02/2017 , 16:06:14,812,232.7
91,27/02/2017 , 16:06:24,812,232.7
92,27/02/2017 , 16:06:34,821,237.6
93,27/02/2017 , 16:06:44,821,237.6
94,27/02/2017 , 16:06:54,821,237.6
95,27/02/2017 , 16:07:04,837,246.5
96,27/02/2017 , 16:07:14,837,246.5
97,27/02/2017 , 16:07:24,837,246.5
98,27/02/2017 , 16:07:34,845,250.9
99,27/02/2017 , 16:07:44,845,250.9
100,27/02/2017 , 16:07:54,845,250.9
101,27/02/2017 , 16:08:04,861,259.8
102,27/02/2017 , 16:08:14,862,260.3
103,27/02/2017 , 16:08:24,862,260.3
104,27/02/2017 , 16:08:34,876,268.1
105,27/02/2017 , 16:08:44,877,268.6
106,27/02/2017 , 16:08:54,877,268.6
107,27/02/2017 , 16:09:04,892,276.9
108,27/02/2017 , 16:09:14,892,276.9
109,27/02/2017 , 16:09:24,892,276.9
110,27/02/2017 , 16:09:34,908,285.8
111,27/02/2017 , 16:09:44,908,285.8
112,27/02/2017 , 16:09:54,908,285.8
113,27/02/2017 , 16:10:04,921,293
114,27/02/2017 , 16:10:14,921,293
115,27/02/2017 , 16:10:24,921,293
116,27/02/2017 , 16:10:34,935,300.7
117,27/02/2017 , 16:10:44,936,301.3
