Site Name ,PASTUREUPPER
Site Number ,4
Logger ,Capacitive Water Level
Logger Serial Number ,6569


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,13/11/2016 , 16:26:08,446,55.6
2,13/11/2016 , 16:26:18,446,55.6
3,13/11/2016 , 16:26:28,436,50.5
4,13/11/2016 , 16:26:38,438,51.5
5,13/11/2016 , 16:26:48,438,51.5
6,13/11/2016 , 16:26:58,435,50
7,13/11/2016 , 16:27:08,433,49
8,13/11/2016 , 16:27:18,431,48
9,13/11/2016 , 16:27:28,432,48.5
10,13/11/2016 , 16:27:38,432,48.5
11,13/11/2016 , 16:27:48,431,48
12,13/11/2016 , 16:27:58,431,48
13,13/11/2016 , 16:28:08,431,48
14,13/11/2016 , 16:28:18,431,48
15,13/11/2016 , 16:28:28,431,48
16,13/11/2016 , 16:28:38,431,48
17,13/11/2016 , 16:28:48,431,48
18,13/11/2016 , 16:28:58,431,48
19,13/11/2016 , 16:29:08,431,48
20,13/11/2016 , 16:29:18,431,48
21,13/11/2016 , 16:29:28,431,48
22,13/11/2016 , 16:29:38,431,48
23,13/11/2016 , 16:29:48,431,48
24,13/11/2016 , 16:29:58,437,51
25,13/11/2016 , 16:30:08,437,51
26,13/11/2016 , 16:30:18,437,51
27,13/11/2016 , 16:30:28,437,51
28,13/11/2016 , 16:30:38,437,51
29,13/11/2016 , 16:30:48,437,51
30,13/11/2016 , 16:30:58,437,51
31,13/11/2016 , 16:31:08,437,51
32,13/11/2016 , 16:31:18,437,51
33,13/11/2016 , 16:31:28,437,51
34,13/11/2016 , 16:31:38,437,51
35,13/11/2016 , 16:31:48,437,51
36,13/11/2016 , 16:31:58,437,51
37,13/11/2016 , 16:32:08,437,51
38,13/11/2016 , 16:32:18,437,51
39,13/11/2016 , 16:32:28,437,51
40,13/11/2016 , 16:32:38,437,51
41,13/11/2016 , 16:32:48,439,52
42,13/11/2016 , 16:32:58,438,51.5
43,13/11/2016 , 16:33:08,438,51.5
44,13/11/2016 , 16:33:18,438,51.5
45,13/11/2016 , 16:33:28,438,51.5
46,13/11/2016 , 16:33:38,438,51.5
47,13/11/2016 , 16:33:48,441,53
48,13/11/2016 , 16:33:58,440,52.5
49,13/11/2016 , 16:34:08,440,52.5
50,13/11/2016 , 16:34:18,440,52.5
51,13/11/2016 , 16:34:28,440,52.5
52,13/11/2016 , 16:34:38,440,52.5
53,13/11/2016 , 16:34:48,440,52.5
54,13/11/2016 , 16:34:58,445,55.1
55,13/11/2016 , 16:35:08,445,55.1
56,13/11/2016 , 16:35:18,444,54.5
57,13/11/2016 , 16:35:28,443,54
58,13/11/2016 , 16:35:38,445,55.1
59,13/11/2016 , 16:35:48,451,58.1
60,13/11/2016 , 16:35:58,452,58.6
61,13/11/2016 , 16:36:08,451,58.1
62,13/11/2016 , 16:36:18,449,57.1
63,13/11/2016 , 16:36:28,450,57.6
64,13/11/2016 , 16:36:38,450,57.6
65,13/11/2016 , 16:36:48,460,62.6
66,13/11/2016 , 16:36:58,458,61.6
67,13/11/2016 , 16:37:08,459,62.1
68,13/11/2016 , 16:37:18,459,62.1
69,13/11/2016 , 16:37:28,458,61.6
70,13/11/2016 , 16:37:38,458,61.6
71,13/11/2016 , 16:37:48,458,61.6
72,13/11/2016 , 16:37:58,436,50.5
73,13/11/2016 , 16:38:08,434,49.5
74,13/11/2016 , 16:38:18,433,49
75,13/11/2016 , 16:38:28,438,51.5
76,13/11/2016 , 16:38:38,437,51
77,13/11/2016 , 16:38:48,436,50.5
78,13/11/2016 , 16:38:58,436,50.5
79,13/11/2016 , 16:39:08,436,50.5
80,13/11/2016 , 16:39:18,441,53
81,13/11/2016 , 16:39:28,441,53
82,13/11/2016 , 16:39:38,440,52.5
83,13/11/2016 , 16:39:48,440,52.5
84,13/11/2016 , 16:39:58,440,52.5
85,13/11/2016 , 16:40:08,440,52.5
86,13/11/2016 , 16:40:18,441,53
87,13/11/2016 , 16:40:28,440,52.5
88,13/11/2016 , 16:40:38,440,52.5
89,13/11/2016 , 16:40:48,440,52.5
90,13/11/2016 , 16:40:58,441,53
91,13/11/2016 , 16:41:08,440,52.5
92,13/11/2016 , 16:41:18,440,52.5
93,13/11/2016 , 16:41:28,440,52.5
94,13/11/2016 , 16:41:38,440,52.5
95,13/11/2016 , 16:41:48,440,52.5
96,13/11/2016 , 16:41:58,448,56.6
97,13/11/2016 , 16:42:08,442,53.5
98,13/11/2016 , 16:42:18,442,53.5
99,13/11/2016 , 16:42:28,446,55.6
100,13/11/2016 , 16:42:38,446,55.6
101,13/11/2016 , 16:42:48,445,55.1
102,13/11/2016 , 16:42:58,452,58.6
103,13/11/2016 , 16:43:08,451,58.1
104,13/11/2016 , 16:43:18,461,63.1
105,13/11/2016 , 16:43:28,460,62.6
106,13/11/2016 , 16:43:38,460,62.6
