Site Name ,PASTUREUPPER
Site Number ,4
Logger ,Capacitive Water Level
Logger Serial Number ,6569


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,16/02/2017 , 16:21:00,443,54
2,16/02/2017 , 16:21:10,437,51
3,16/02/2017 , 16:21:20,437,51
4,16/02/2017 , 16:21:30,437,51
5,16/02/2017 , 16:21:40,436,50.5
6,16/02/2017 , 16:21:50,436,50.5
7,16/02/2017 , 16:22:00,447,56.1
8,16/02/2017 , 16:22:10,443,54
9,16/02/2017 , 16:22:20,443,54
10,16/02/2017 , 16:22:30,443,54
11,16/02/2017 , 16:22:40,443,54
12,16/02/2017 , 16:22:50,443,54
13,16/02/2017 , 16:23:00,443,54
14,16/02/2017 , 16:23:10,442,53.5
15,16/02/2017 , 16:23:20,442,53.5
16,16/02/2017 , 16:23:30,443,54
17,16/02/2017 , 16:23:40,443,54
18,16/02/2017 , 16:23:50,443,54
19,16/02/2017 , 16:24:00,448,56.6
20,16/02/2017 , 16:24:10,443,54
21,16/02/2017 , 16:24:20,443,54
22,16/02/2017 , 16:24:30,449,57.1
23,16/02/2017 , 16:24:40,448,56.6
24,16/02/2017 , 16:24:50,448,56.6
25,16/02/2017 , 16:25:00,455,60.1
26,16/02/2017 , 16:25:10,454,59.6
27,16/02/2017 , 16:25:20,454,59.6
28,16/02/2017 , 16:25:30,463,64.1
29,16/02/2017 , 16:25:40,462,63.6
30,16/02/2017 , 16:25:50,462,63.6
31,16/02/2017 , 16:26:00,480,72.7
32,16/02/2017 , 16:26:10,480,72.7
33,16/02/2017 , 16:26:20,480,72.7
34,16/02/2017 , 16:26:30,500,82.8
35,16/02/2017 , 16:26:40,499,82.3
36,16/02/2017 , 16:26:50,498,81.8
37,16/02/2017 , 16:27:00,517,91.4
38,16/02/2017 , 16:27:10,516,90.9
39,16/02/2017 , 16:27:20,516,90.9
40,16/02/2017 , 16:27:30,539,102.5
41,16/02/2017 , 16:27:40,535,100.5
42,16/02/2017 , 16:27:50,534,100
43,16/02/2017 , 16:28:00,555,110.6
44,16/02/2017 , 16:28:10,553,109.6
45,16/02/2017 , 16:28:20,552,109.1
46,16/02/2017 , 16:28:30,572,119.2
47,16/02/2017 , 16:28:40,570,118.2
48,16/02/2017 , 16:28:50,570,118.2
49,16/02/2017 , 16:29:00,590,128.3
50,16/02/2017 , 16:29:10,589,127.8
51,16/02/2017 , 16:29:20,588,127.3
52,16/02/2017 , 16:29:30,588,127.3
53,16/02/2017 , 16:29:40,605,135.9
54,16/02/2017 , 16:29:50,605,135.9
55,16/02/2017 , 16:30:00,623,144.9
56,16/02/2017 , 16:30:10,622,144.4
57,16/02/2017 , 16:30:20,622,144.4
58,16/02/2017 , 16:30:30,640,153.5
59,16/02/2017 , 16:30:40,639,153
60,16/02/2017 , 16:30:50,639,153
61,16/02/2017 , 16:31:00,659,163.1
62,16/02/2017 , 16:31:10,656,161.6
63,16/02/2017 , 16:31:20,656,161.6
64,16/02/2017 , 16:31:30,673,170.2
65,16/02/2017 , 16:31:40,673,170.2
66,16/02/2017 , 16:31:50,673,170.2
67,16/02/2017 , 16:32:00,691,179.3
68,16/02/2017 , 16:32:10,690,178.8
69,16/02/2017 , 16:32:20,690,178.8
70,16/02/2017 , 16:32:30,707,187.4
71,16/02/2017 , 16:32:40,707,187.4
72,16/02/2017 , 16:32:50,707,187.4
73,16/02/2017 , 16:33:00,724,196
74,16/02/2017 , 16:33:10,723,195.5
75,16/02/2017 , 16:33:20,723,195.5
76,16/02/2017 , 16:33:30,740,204
77,16/02/2017 , 16:33:40,740,204
78,16/02/2017 , 16:33:50,740,204
79,16/02/2017 , 16:34:00,757,212.6
80,16/02/2017 , 16:34:10,757,212.6
81,16/02/2017 , 16:34:20,757,212.6
82,16/02/2017 , 16:34:30,774,221.2
83,16/02/2017 , 16:34:40,774,221.2
84,16/02/2017 , 16:34:50,774,221.2
85,16/02/2017 , 16:35:00,790,229.3
86,16/02/2017 , 16:35:10,790,229.3
87,16/02/2017 , 16:35:20,790,229.3
88,16/02/2017 , 16:35:30,806,237.4
89,16/02/2017 , 16:35:40,806,237.4
90,16/02/2017 , 16:35:50,806,237.4
91,16/02/2017 , 16:36:00,822,245.5
92,16/02/2017 , 16:36:10,822,245.5
93,16/02/2017 , 16:36:20,822,245.5
94,16/02/2017 , 16:36:30,840,254.5
95,16/02/2017 , 16:36:40,838,253.5
96,16/02/2017 , 16:36:50,838,253.5
97,16/02/2017 , 16:37:00,855,262.1
98,16/02/2017 , 16:37:10,854,261.6
99,16/02/2017 , 16:37:20,854,261.6
100,16/02/2017 , 16:37:30,869,269.2
101,16/02/2017 , 16:37:40,870,269.7
102,16/02/2017 , 16:37:50,869,269.2
103,16/02/2017 , 16:38:00,886,277.8
104,16/02/2017 , 16:38:10,885,277.3
