Fill Complete Time,Volume,,
13:33:00,0.5,,complete 6/12
13:33:30,1,,
13:34:00,1.5,,
13:34:30,2,,
13:35:00,2.5,,
13:35:30,3,,
13:36:00,3.5,,
13:36:30,4,,
13:37:00,4.5,,
13:37:30,5,,
13:38:00,5.5,,
13:38:30,6,,
13:39:00,6.5,,
13:39:30,7,,
13:40:00,7.5,,
13:40:30,8,,
13:41:00,8.5,,
13:41:30,9,,
13:42:00,9.5,,
13:42:30,10,,
13:43:00,10.5,,
13:43:30,11,,
13:44:00,11.5,,
13:44:30,12,,
13:45:00,12.5,,
13:45:30,13,,
13:46:00,13.5,,
13:46:30,14,,
13:47:00,14.5,,
13:47:30,15,,
13:48:00,15.5,,
13:48:30,16,,
13:49:00,16.5,,
13:49:30,17,,
13:50:00,17.5,,
13:50:30,18,,
13:51:00,18.5,,
13:51:30,19,,
