Fill Complete Time,Volume
21:39:00,0.5
21:39:30,1
21:40:00,1.5
21:40:30,2
21:41:00,2.5
21:41:30,3
21:42:00,3.5
21:42:30,4
21:43:00,4.5
21:43:30,5
21:44:00,5.5
21:44:30,6
21:45:00,6.5
21:45:30,7
21:46:00,7.5
21:46:30,8
21:47:00,8.5
21:47:30,9
21:48:00,9.5
21:48:30,10
21:49:00,10.5
21:49:30,11
21:50:00,11.5
21:50:30,12
21:51:00,12.5
21:51:30,13
21:52:00,13.5
21:52:30,14
21:53:00,14.5
21:53:30,15
21:54:00,15.5
21:54:30,16
21:55:00,16.5
21:55:30,17
21:56:00,17.5
21:56:30,18
21:57:00,18.5
21:57:30,19
