Fill Complete Time,Volume,,,Start Time: ,12:50
12:50:00,0.5,,,,
12:50:30,1,,,,
12:51:00,1.5,,,,
12:51:30,2,,,,
12:52:00,2.5,,,,
12:52:30,3,,,,
12:53:00,3.5,,,,
12:53:30,4,,,,
12:54:00,4.5,,,,
12:54:30,5,,,,
12:55:00,5.5,,,,
12:55:30,6,,,,
12:56:00,6.5,,,,
12:56:30,7,,,,
12:57:00,7.5,,,,
12:57:30,8,,,,
12:58:00,8.5,,,,
12:58:30,9,,,,
12:59:00,9.5,,,,
12:59:30,10,,,,
13:00:00,10.5,,,,
13:00:30,11,,,,
13:01:00,11.5,,,,
13:01:30,12,,,,
13:02:00,12.5,,,,
13:02:30,13,,,,
13:03:00,13.5,,,,
13:03:30,14,,,,
13:04:00,14.5,,,,
13:04:30,15,,,,
13:05:00,15.5,,,,
13:05:30,16,,,,
13:06:00,16.5,,,,
13:06:30,17,,,,
13:07:00,17.5,,,,
13:07:30,18,,,,
13:08:00,18.5,,,,
13:08:30,19,,,,
