Fill Complete Time,Volume,,Start Time: ,14:57:00
14:57:00,0.5,,completed,
14:57:30,1,,,
14:58:00,1.5,,,
14:58:30,2,,,
14:59:00,2.5,,,
14:59:30,3,,,
15:00:00,3.5,,,
15:00:30,4,,,
15:01:00,4.5,,,
15:01:30,5,,,
15:02:00,5.5,,,
15:02:30,6,,,
15:03:00,6.5,,,
15:03:30,7,,,
15:04:00,7.5,,,
15:04:30,8,,,
15:05:00,8.5,,,
15:05:30,9,,,
15:06:00,9.5,,,
15:06:30,10,,,
15:07:00,10.5,,,
15:07:30,11,,,
15:08:00,11.5,,,
15:08:30,12,,,
15:09:00,12.5,,,
15:09:30,13,,,
15:10:00,13.5,,,
15:10:30,14,,,
15:11:00,14.5,,,
15:11:30,15,,,
15:12:00,15.5,,,
15:12:30,16,,,
15:13:00,16.5,,,
15:13:30,17,,,
15:14:00,17.5,,,
15:14:30,18,,,
15:15:00,18.5,,,
15:15:30,19,,,
