Fill Complete Time,Volume,,,Start Time: ,12:25:00
12:25:00,0.5,,,,
12:25:30,1,,,,
12:26:00,1.5,,,,
12:26:30,2,,,,
12:27:00,2.5,,,,
12:27:30,3,,,,
12:28:00,3.5,,,,
12:28:30,4,,,,
12:29:00,4.5,,,,
12:29:30,5,,,,
12:30:00,5.5,,,,
12:30:30,6,,,,
12:31:00,6.5,,,,
12:31:30,7,,,,
12:32:00,7.5,,,,
12:32:30,8,,,,
12:33:00,8.5,,,,
12:33:30,9,,,,
12:34:00,9.5,,,,
12:34:30,10,,,,
12:35:00,10.5,,,,
12:35:30,11,,,,
12:36:00,11.5,,,,
12:36:30,12,,,,
12:37:00,12.5,,,,
12:37:30,13,,,,
12:38:00,13.5,,,,
12:38:30,14,,,,
12:39:00,14.5,,,,
12:39:30,15,,,,
12:40:00,15.5,,,,
12:40:30,16,,,,
12:41:00,16.5,,,,
12:41:30,17,,,,
12:42:00,17.5,,,,
12:42:30,18,,,,
12:43:00,18.5,,,,
12:43:30,19,,,,
