Actual Time,Volume(L)
21:16:00,0.5
21:16:30,1
21:17:00,1.5
21:17:30,2
21:18:00,2.5
21:18:30,3
21:19:00,3.5
21:19:30,4
21:20:00,4.5
21:20:30,5
21:21:00,5.5
21:21:30,6
21:22:00,6.5
21:22:30,7
21:23:00,7.5
21:23:30,8
21:24:00,8.5
21:24:30,9
21:25:00,9.5
21:25:30,10
21:26:00,10.5
21:26:30,11
21:27:00,11.5
21:27:30,12
21:28:00,12.5
21:28:30,13
21:29:00,13.5
21:33:00,14
21:33:30,14.5
21:34:00,15
21:34:30,15.5
21:35:00,16
21:35:30,16.5
21:36:00,17
21:36:30,17.5
21:37:00,18
21:37:30,18.5
21:38:00,19
