Actual Time,Volume(L)
21:56:00,0.5
21:56:30,1
21:57:00,1.5
21:57:30,2
21:58:00,2.5
21:58:30,3
21:59:00,3.5
21:59:30,4
22:00:00,4.5
22:00:30,5
22:01:00,5.5
22:01:30,6
22:02:00,6.5
22:02:30,7
22:03:00,7.5
22:03:30,8
22:04:00,8.5
22:04:30,9
22:05:00,9.5
22:05:30,10
22:06:00,10.5
22:06:30,11
22:07:00,11.5
22:07:30,12
22:08:00,12.5
22:08:30,13
22:09:00,13.5
22:09:30,14
22:10:00,14.5
22:10:30,15
22:11:00,15.5
22:11:30,16
22:12:00,16.5
22:12:30,17
22:13:00,17.5
22:13:30,18
22:14:00,18.5
22:14:30,19
