Fill Complete Time,Volume
11:40:00,0.5
11:40:30,1
11:41:00,1.5
11:41:30,2
11:42:00,2.5
11:42:30,3
11:43:00,3.5
11:43:30,4
11:44:00,4.5
11:44:30,5
11:45:00,5.5
11:45:30,6
11:46:00,6.5
11:46:30,7
11:47:00,7.5
11:47:30,8
11:48:00,8.5
11:48:30,9
11:49:00,9.5
11:49:30,10
11:50:00,10.5
11:50:30,11
11:51:00,11.5
11:51:30,12
11:52:00,12.5
11:52:30,13
11:53:00,13.5
11:53:30,14
11:54:00,14.5
11:54:30,15
11:55:00,15.5
11:55:30,16
11:56:00,16.5
11:56:30,17
11:57:00,17.5
11:57:30,18
11:58:00,18.5
11:58:30,19
