Actual Time,Volume,,,,Logger: ,Pasture Upper
16:40:00,0.5,,,,,
16:40:30,1,,,,,
16:41:00,1.5,,,,,
16:41:30,2,,,,,
16:42:00,2.5,,,,,
16:42:30,3,,,,,
16:43:00,3.5,,,,,
16:43:30,4,,,,,
16:44:00,4.5,,,,,
16:44:30,5,,,,,
16:45:00,5.5,,,,,
16:45:30,6,,,,,
16:46:00,6.5,,,,,
16:46:30,7,,,,,
16:47:00,7.5,,,,,
16:47:30,8,,,,,
16:48:00,8.5,,,,,
16:48:30,9,,,,,
16:49:00,9.5,,,,,
16:49:30,10,,,,,
16:50:00,10.5,,,,,
16:50:30,11,,,,,
16:51:00,11.5,,,,,
16:51:30,12,,,,,
16:52:00,12.5,,,,,
16:52:30,13,,,,,
16:53:00,13.5,,,,,
16:53:30,14,,,,,
16:54:00,14.5,,,,,
16:54:30,15,,,,,
16:55:00,15.5,,,,,
16:55:30,16,,,,,
16:56:00,16.5,,,,,
16:56:30,17,,,,,
16:57:00,17.5,,,,,
16:57:30,18,,,,,
16:58:00,18.5,,,,,
16:58:30,19,,,,,
