Fill Complete Time,Volume
15:55:00,0.5
15:55:30,1
15:56:00,1.5
15:56:30,2
15:57:00,2.5
15:57:30,3
15:58:00,3.5
15:58:30,4
15:59:00,4.5
15:59:30,5
16:00:00,5.5
16:00:30,6
16:01:00,6.5
16:01:30,7
16:02:00,7.5
16:02:30,8
16:03:00,8.5
16:03:30,9
16:04:00,9.5
16:04:30,10
16:05:00,10.5
16:05:30,11
16:06:00,11.5
16:06:30,12
16:07:00,12.5
16:07:30,13
16:08:00,13.5
16:08:30,14
16:09:00,14.5
16:09:30,15
16:10:00,15.5
16:10:30,16
16:11:00,16.5
16:11:30,17
16:12:00,17.5
16:12:30,18
16:13:00,18.5
16:13:30,19
