Fill Complete Time,Volume,,
15:35:00,0.5,,completed 3/10
15:35:30,1,,
15:36:00,1.5,,
15:36:30,2,,
15:37:00,2.5,,
15:37:30,3,,
15:38:00,3.5,,
15:38:30,4,,
15:39:00,4.5,,
15:39:30,5,,
15:40:00,5.5,,
15:40:30,6,,
15:41:00,6.5,,
15:41:30,7,,
15:42:00,7.5,,
15:42:30,8,,
15:43:00,8.5,,
15:43:30,9,,
15:44:00,9.5,,
15:44:30,10,,
15:45:00,10.5,,
15:45:30,11,,
15:46:00,11.5,,
15:46:30,12,,
15:47:00,12.5,,
15:47:30,13,,
15:48:00,13.5,,
15:48:30,14,,
15:49:00,14.5,,
15:49:30,15,,
15:50:00,15.5,,
15:50:30,16,,
15:51:00,16.5,,
15:51:30,17,,
15:52:00,17.5,,
15:52:30,18,,
15:53:00,18.5,,
15:53:30,19,,
