PreTimes,PreVals,meanRunTimes,meanRun
26/05/16 15:40,1,26/05/16 15:40,0
26/05/16 15:50,0.3,26/05/16 15:50,0
26/05/16 16:00,3.1,26/05/16 16:00,0
26/05/16 16:10,5.3,26/05/16 16:10,0.0177385984939384
26/05/16 16:20,0.4,26/05/16 16:20,0
26/05/16 16:30,0.1,26/05/16 16:30,0
26/05/16 16:40,0,26/05/16 16:40,0
26/05/16 16:50,0.1,26/05/16 16:50,0
26/05/16 17:00,5.1,26/05/16 17:00,0.00886929924696921
26/05/16 17:10,7.8,26/05/16 17:10,0.133039488704538
26/05/16 17:20,12.2,26/05/16 17:20,0.407987765360584
26/05/16 17:30,7.3,26/05/16 17:30,0.310425473643922
26/05/16 17:40,2.6,26/05/16 17:40,0
26/05/16 17:50,0.8,26/05/16 17:50,0
26/05/16 18:00,0.1,26/05/16 18:00,0
26/05/16 18:10,0.1,26/05/16 18:10,0
26/05/16 18:20,0.3,26/05/16 18:20,0.00886929924696921
26/05/16 18:30,0.3,26/05/16 18:30,0
26/05/16 18:40,0.1,26/05/16 18:40,0
26/05/16 18:50,0,26/05/16 18:50,0
26/05/16 19:00,0,26/05/16 19:00,0
26/05/16 19:10,0,26/05/16 19:10,0
26/05/16 19:20,0,26/05/16 19:20,0
26/05/16 19:30,0,26/05/16 19:30,0
26/05/16 19:40,0,26/05/16 19:40,0
26/05/16 19:50,0,26/05/16 19:50,0
26/05/16 20:00,0,26/05/16 20:00,0
26/05/16 20:10,0,26/05/16 20:10,0
26/05/16 20:20,0.1,26/05/16 20:20,0
26/05/16 20:30,0,26/05/16 20:30,0
26/05/16 20:40,0.1,26/05/16 20:40,0
26/05/16 20:50,0,26/05/16 20:50,0
