Site,Num,obsRunRateMaxTime,hydRunRateMaxTime
MAT,10,2.7,53.7404
MAT,12,1.03333333333333,47.6856
MAT,13,7.53333333333333,17.8461
MAT,17,105.066666666667,17.7777
MAT,25,4.33333333333333,89.9999
MAT,28,2.9,57.9166
MAT,30,2.9,19.9999
MAT,31,2.9,7.9405
MAT,40,1.93333333333333,29.9999
MAT,41,23.4,18.4558
MAT,42,3.4,89.9999
MAT,51,126.333333333333,109.3069
MAT,54,119.533333333333,128.2628
MAT,60,8.26666666666667,59.9999
MAT,66,11.3333333333333,19.9999
PAS,15,75,77.3002
PAS,19,35,39.9999
PAS,20,35,49.9999
PAS,25,0.0666666666666667,118.4001
PAS,34,24.2,16.9686
PAS,37,10.5333333333333,57.1177
PAS,40,20.5333333333333,16.7988
PAS,43,0.533333333333333,49.9999
PAS,56,14.7,7.1699
PAS,57,44.7,27.5873
PAS,58,4.7,59.9999
PAS,72,160.2,157.4946
PAS,80,160.2,160.0819
PAS,89,63.1666666666667,56.8397
PAS,98,8.93333333333333,7.474
