Site,Num,obsRunStart,hydRunStart
MAT,10,2.7,50.1805
MAT,12,1.03333333333333,NaN
MAT,13,5.06666666666667,13.7809
MAT,17,1.03333333333333,130.0819
MAT,25,2.9,NaN
MAT,28,2.9,NaN
MAT,30,2.9,NaN
MAT,31,2.9,NaN
MAT,40,1.93333333333333,NaN
MAT,41,23.4,NaN
MAT,42,3.4,NaN
MAT,51,3.5,102.7415
MAT,54,119.533333333333,NaN
MAT,60,8.26666666666667,NaN
MAT,66,11.3333333333333,NaN
PAS,15,NaN,51.4409
PAS,19,40.3333333333333,NaN
PAS,20,NaN,NaN
PAS,25,0.0666666666666667,110.3805
PAS,34,4.2,6.2957
PAS,37,5.06666666666667,16.8742
PAS,40,10.5333333333333,10.0924
PAS,43,NaN,17.1861
PAS,56,2.43333333333333,NaN
PAS,57,4.7,NaN
PAS,58,4.7,NaN
PAS,72,11.8666666666667,108.226
PAS,80,0.2,158.9279
PAS,89,NaN,NaN
PAS,98,1.56666666666667,NaN
