PreTimes,PreVals,meanRunTimes,meanRun
"2016-05-31 14:20:00",0.6,"2016-05-31 14:20:28",0.0044346496234846
"2016-05-31 14:30:00",0.9,"2016-05-31 14:30:28",0
"2016-05-31 14:40:00",0.6,"2016-05-31 14:40:28",0.0044346496234846
"2016-05-31 14:50:00",0.9,"2016-05-31 14:50:28",0.0916282080449777
"2016-05-31 15:00:00",2.6,"2016-05-31 15:00:28",0.428597926908694
"2016-05-31 15:10:00",9.8,"2016-05-31 15:10:28",0.869191326202982
"2016-05-31 15:20:00",13.5,"2016-05-31 15:20:28",2.2830163760767
"2016-05-31 15:30:00",15.8,"2016-05-31 15:30:28",3.57689949644407
"2016-05-31 15:40:00",14.9,"2016-05-31 15:40:28",3.89927417244329
"2016-05-31 15:50:00",7.5,"2016-05-31 15:50:28",0.453345025323484
"2016-05-31 16:00:00",3,"2016-05-31 16:00:28",0.128673635638476
"2016-05-31 16:10:00",1.6,"2016-05-31 16:10:28",0.0044346496234846
"2016-05-31 16:20:00",0.9,"2016-05-31 16:20:28",0.0044346496234846
"2016-05-31 16:30:00",0.3,"2016-05-31 16:30:28",0.0133039488704538
"2016-05-31 16:40:00",0.1,"2016-05-31 16:40:28",0.0044346496234846
"2016-05-31 16:50:00",0,"2016-05-31 16:50:28",0
"2016-05-31 17:00:00",0.1,"2016-05-31 17:00:28",0
"2016-05-31 17:10:00",0,"2016-05-31 17:10:28",0
"2016-05-31 17:20:00",0.1,"2016-05-31 17:20:28",0
"2016-05-31 17:30:00",0.1,"2016-05-31 17:30:28",0
"2016-05-31 17:40:00",0,"2016-05-31 17:40:28",0
